date,open,high,low,close,volume,adj_close
2009-06-03,1500.33,1514.71,1471.569,1502.535,1014738,1502.535
2009-06-04,1502.535,1543.47,1502.535,1543.47,1373795,1543.47
2009-06-05,1548.264,1600.032,1524.297,1581.817,555585,1581.817
2009-06-08,1581.817,1581.434,1553.057,1572.23,229034,1572.23
2009-06-09,1572.23,1581.817,1553.057,1566.478,342150,1566.478
2009-06-10,1566.478,1577.024,1524.201,1573.093,701420,1573.093
2009-06-11,1573.093,1567.437,1524.297,1526.885,1158432,1526.885
2009-06-12,1526.885,1533.787,1514.71,1526.022,911953,1526.022
2009-06-15,1526.022,1532.925,1476.267,1479.526,812852,1479.526
2009-06-16,1479.526,1481.156,1438.016,1441.85,474152,1441.85
2009-06-17,1441.85,1442.809,1379.536,1380.495,590090,1380.495
2009-06-18,1383.371,1409.255,1356.528,1360.075,785126,1360.075
2009-06-19,1360.075,1409.255,1351.735,1381.55,688603,1381.55
2009-06-22,1381.55,1382.412,1346.941,1366.115,305077,1366.115
2009-06-23,1366.115,1375.797,1342.148,1343.107,648029,1343.107
2009-06-24,1343.107,1390.082,1332.561,1332.945,158836,1332.945
2009-06-25,1332.944,1361.321,1332.561,1352.885,674902,1352.885
2009-06-26,1352.885,1370.908,1351.831,1363.431,1045346,1363.431
2009-06-30,1363.431,1380.495,1322.974,1341.86,563805,1341.86
2009-07-01,1341.86,1370.908,1343.107,1361.321,129009,1361.321
2009-07-02,1361.321,1385.288,1359.404,1379.153,1266190,1379.153
2009-07-03,1379.153,1380.495,1366.115,1378.386,658360,1378.386
2009-07-06,1378.386,1380.495,1366.115,1376.564,133373,1376.564
2009-07-07,1376.564,1387.685,1366.115,1366.69,500265,1366.69
2009-07-08,1366.115,1371.004,1356.528,1361.321,406644,1361.321
2009-07-09,1361.322,1380.591,1361.321,1366.115,562456,1366.115
2009-07-10,1366.115,1370.908,1361.513,1362.28,790220,1362.28
2009-07-13,1362.28,1375.702,1363.239,1369.374,473737,1369.374
2009-07-14,1369.374,1377.619,1361.321,1364.198,380258,1364.198
2009-07-15,1364.197,1382.892,1365.54,1381.262,1718279,1381.262
2009-07-17,1382.892,1418.842,1382.412,1400.531,842607,1400.531
2009-07-20,1400.531,1500.425,1399.668,1494.578,1165028,1494.578
2009-07-21,1494.578,1572.23,1505.123,1514.806,1750399,1514.806
2009-07-22,1515.668,1531.966,1514.614,1523.625,859302,1523.625
2009-07-23,1523.625,1533.883,1514.71,1523.913,2455747,1523.913
2009-07-24,1523.913,1524.297,1514.614,1517.49,637636,1517.49
2009-07-27,1517.49,1519.503,1485.949,1491.606,574329,1491.606
2009-07-28,1491.606,1505.123,1485.374,1505.123,400951,1505.123
2009-07-29,1505.123,1519.503,1495.536,1514.71,342921,1514.71
2009-07-30,1519.503,1533.883,1519.503,1523.625,806569,1523.625
2009-07-31,1523.625,1553.057,1523.338,1552.386,1294707,1552.386
2009-08-03,1552.386,1591.404,1548.167,1590.062,666357,1590.062
2009-08-04,1590.062,1610.578,1579.421,1610.578,859180,1610.578
2009-08-05,1610.578,1706.445,1573.189,1683.245,1036973,1683.245
2009-08-06,1648.925,1666.181,1638.379,1639.913,803414,1639.913
2009-08-07,1639.338,1677.685,1629.751,1660.237,217160,1660.237
2009-08-10,1660.237,1658.511,1591.883,1600.895,1017163,1600.895
2009-08-11,1600.895,1596.197,1567.437,1576.065,396952,1576.065
2009-08-12,1576.065,1572.326,1543.47,1543.47,1435052,1543.47
2009-08-13,1543.47,1577.024,1555.454,1572.23,278771,1572.23
2009-08-14,1572.23,1605.784,1567.341,1593.417,346787,1593.417
2009-08-17,1595.239,1600.991,1543.47,1597.635,617816,1597.635
2009-08-18,1597.635,1635.503,1600.991,1603.387,1311634,1603.387
2009-08-19,1603.387,1587.569,1568.012,1569.546,865330,1569.546
2009-08-20,1569.546,1591.116,1567.341,1572.23,321751,1572.23
2009-08-21,1572.23,1600.799,1567.437,1578.845,513407,1578.845
2009-08-24,1578.845,1579.037,1557.85,1578.845,242532,1578.845
2009-08-25,1578.845,1587.665,1572.23,1587.569,221249,1587.569
2009-08-26,1587.569,1634.544,1587.569,1612.207,539956,1612.207
2009-08-27,1610.577,1612.303,1567.437,1570.601,6063583,1570.601
2009-08-28,1570.601,1577.024,1553.057,1558.329,5945798,1558.329
2009-08-31,1558.329,1562.644,1534.842,1547.113,592911,1547.113
2009-09-01,1547.113,1562.644,1485.949,1505.123,562932,1505.123
2009-09-02,1505.123,1533.883,1503.206,1514.71,426586,1514.71
2009-09-03,1514.71,1543.47,1513.559,1543.47,257288,1543.47
2009-09-04,1543.47,1572.23,1543.47,1572.23,197360,1572.23
2009-09-07,1572.23,1581.817,1543.47,1543.47,268704,1543.47
2009-09-08,1543.47,1553.536,1543.47,1548.359,611504,1548.359
2009-09-09,1548.359,1571.272,1519.982,1539.827,862895,1539.827
2009-09-10,1539.827,1570.313,1520.462,1567.821,807280,1567.821
