date,open,high,low,close,volume,adj_close
2009-06-03,127.5,128,125,126.24,11315030,126.24
2009-06-04,126.24,128.8,126,128.05,37561010,128.05
2009-06-05,128.05,131,128.5,130.7,18848350,130.7
2009-06-08,130.7,130.6,128.5,130.6,10977970,130.6
2009-06-09,130.6,133,130,132.5,11668990,132.5
2009-06-10,133,138,133,137.81,16755850,137.81
2009-06-11,136.49,139.5,136.49,138.5,16161180,138.5
2009-06-12,138,139,137,137.43,8783184,137.43
2009-06-15,137.43,144.1,135.6,143.07,41315850,143.07
2009-06-16,143.5,147,141.5,143.5,31608930,143.5
2009-06-17,143.5,142.5,138,139.9,10039200,139.9
2009-06-18,140,141,138,138,7803164,138
2009-06-19,138,140,137,138.13,11303600,138.13
2009-06-22,138.13,138.5,136.01,136.37,6333582,136.37
2009-06-23,136.37,137,133,133.82,11400290,133.82
2009-06-24,133,136.01,130,132.1,8637843,132.1
2009-06-25,132.1,135.95,132,135.46,9718725,135.46
2009-06-26,135.46,138,135.21,137.98,14933850,137.98
2009-06-30,138.1,142,134.02,134.48,8337822,134.48
2009-07-01,134.48,137.11,134,134.51,4462871,134.51
2009-07-02,134.51,136.99,132,134.15,4105147,134.15
2009-07-03,134,135.5,134,135.5,10262870,135.5
2009-07-06,135.5,135,130.5,134.5,8765409,134.5
2009-07-07,134.5,133.51,130.99,131.96,3924166,131.96
2009-07-08,132,132.51,130,130.01,5020315,130.01
2009-07-09,130.01,133,130.1,132.49,2091942,132.49
2009-07-10,132.49,134,132,133.94,3609211,133.94
2009-07-13,133.94,136.8,133.94,136.28,4045239,136.28
2009-07-14,134,139.81,134,138.22,10280670,138.22
2009-07-15,138.22,141,138.01,140,15732020,140
2009-07-17,140,140,138.5,139.44,4330521,139.44
2009-07-20,139.44,139.9,138,138.01,2439758,138.01
2009-07-21,138.01,140,137.9,138,5582199,138
2009-07-22,138,139.9,138,138.8,7824532,138.8
2009-07-23,138.8,139.9,138.1,138.9,19615960,138.9
