date,open,high,low,close,volume,adj_close
2009-06-03,192.79,195,193,195,67997,195
2009-06-04,195,195,186,187,301832,187
2009-06-05,187,188.1,187,188.1,30986,188.1
2009-06-08,188.1,191,189,191,69375,191
2009-06-09,195,205,195,204,181202,204
2009-06-10,204,210,200,200,154150,200
2009-06-11,200,200,200,200,17767,200
2009-06-12,200,205,200,205,91938,205
2009-06-15,210,200,200,200,17309,200
2009-06-16,200,199.9,190,191.02,40000,191.02
2009-06-17,191.02,189,185,185,20128,185
2009-06-18,185,185.1,185,185,52908,185
2009-06-19,185,185,185,185,49767,185
2009-06-22,185,187.5,185.2,187.5,23700,187.5
2009-06-23,187.5,185,185,185,71186,185
2009-06-25,185,186,186,186,5774,186
2009-06-26,186,186.01,186.01,186.01,11000,186.01
2009-06-30,186.01,186.01,186.01,186.01,3114,186.01
2009-07-01,188,188.1,188,188.1,6500,188.1
2009-07-03,188.1,188.5,188.5,188.5,23076,188.5
2009-07-06,190,190,190,190,12094,190
2009-07-07,190,191,191,191,8643,191
2009-07-08,191,195,195,195,10627,195
2009-07-09,195,200,195,200,99579,200
2009-07-10,200,204,200,202,64066,202
2009-07-13,202,204,200,200,27529,200
2009-07-14,202,202,202,202,51949,202
2009-07-15,202,202,202,202,60405,202
2009-07-17,202,202,200.05,200.05,5655,200.05
2009-07-20,200.05,202,201,202,8898,202
2009-07-21,202,202.1,202,202,11110,202
2009-07-22,202,203,202,202,25175,202
2009-07-23,203,203,202,202,41353,202
2009-07-24,202,210,204.99,206,246494,206
2009-07-27,206,210,206,206,41749,206
2009-07-28,206,210,210,210,195731,210
2009-07-29,210,209,209,209,14748,209
2009-07-30,209,208,208,208,35586,208
2009-07-31,208,207,207,207,22909,207
2009-08-03,207,207,205,206,42607,206
2009-08-04,206,204.5,200,204.5,37099,204.5
2009-08-05,204.5,204.5,200,202.5,39030,202.5
2009-08-06,202.5,202.5,202.5,202.5,2050,202.5
2009-08-10,202.5,200.1,199,199,32338,199
2009-08-11,199,198,196,196,9764,196
2009-08-12,196,196,191,191,56732,191
2009-08-13,191,190,189,189,23828,189
2009-08-14,189,188,186.5,186.5,60972,186.5
2009-08-17,186.5,193.1,190,193,28812,193
2009-08-18,193,193,193,193,271052,193
2009-08-19,193,193,192.99,193,115592,193
2009-08-20,193,193,190,190.02,101528,190.02
2009-08-21,192,192,189,190,51470,190
2009-08-24,190,190,190,190,2806,190
2009-08-25,190,195,194,194,20874,194
2009-08-26,194,194,188,190,27480,190
2009-08-27,190,190,188,188,58097,188
2009-08-28,188,189,189,189,2875,189
2009-08-31,189,192,192,192,32454,192
2009-09-01,192,192,190,190,13130,190
2009-09-02,190,190,186,190,39320,190
2009-09-03,190,190,190,190,2000,190
2009-09-07,190,190,186,186,11428,186
2009-09-08,186,186,186,186,3332,186
2009-09-09,186,186.1,186.1,186.1,5488,186.1
2009-09-10,186.1,194,190,194,14893,194
2009-09-11,194,191,191,191,8293,191
2009-09-14,191,191,191,191,4146,191
