date,open,high,low,close,volume,adj_close
2009-06-03,521,521,521,521,48,521
2009-06-04,521,530,530,530,96963,530
2009-06-05,530,540,540,540,46296,540
2009-06-08,540,575,570.11,575,407993,575
2009-06-09,575,575,575,575,159,575
2009-06-10,575,600,600,600,3500,600
2009-06-11,600,590,520,520,7500,520
2009-06-16,520,525,525,525,987,525
2009-06-18,525,540,540,540,2000,540
2009-06-23,540,545,545,545,2000,545
2009-06-24,545,560,560,560,7000,560
2009-06-25,560,560,560,560,317,560
2009-06-26,560,562,562,562,1462,562
2009-07-02,562,550,550,550,1000,550
2009-07-06,550,550,550,550,716,550
2009-07-07,550,550,550,550,154,550
2009-07-08,550,550,550,550,351,550
2009-07-10,550,550,550,550,668,550
2009-07-14,550,550,550,550,159,550
2009-07-20,550,550,550,550,1152,550
2009-07-23,550,565,565,565,275000,565
2009-07-24,565,575,575,575,364190,575
2009-07-28,575,590,585,590,257000,590
2009-07-31,590,600,600,600,1500,600
2009-09-07,600,590,590,590,1000,590
2009-09-08,590,588,588,588,85000,588
2009-09-14,588,575,570,575,309395,575
2009-09-16,575,575,575,575,89361,575
2009-10-14,575,568,568,568,1739,568
2009-11-09,568,568,568,568,542,568
2009-11-10,568,550,550,550,2550,550
2009-11-19,550,535,535,535,1500,535
2009-11-23,535,515,515,515,10561,515
2009-11-30,515,495,495,495,2150,495
2009-12-01,495,485,485,485,3350,485
2009-12-02,485,470,470,470,5000,470
2009-12-03,470,460,460,460,2650,460
2009-12-11,460,460,460,460,649,460
2009-12-14,460,460,460,460,2150,460
2009-12-17,460,460,460,460,606,460
2009-12-18,460,470,470,470,6785,470
2009-12-23,470,470,470,470,3116,470
2009-12-29,470,471,450,471,6062,471
2010-01-04,471,470,470,470,5000,470
2010-01-11,470,470,470,470,12054,470
2010-01-15,470,470,470,470,250,470
2010-01-19,470,465,460,460,17986,460
2010-01-21,460,452.9,450,450,14832,450
2010-01-25,450,450,450,450,2289,450
2010-01-27,450,451,451,451,2820,451
2010-02-01,451,456,451,451,6268,451
2010-02-02,451,455,455,455,6000,455
2010-02-04,455,450,450,450,3093,450
2010-02-08,450,450,450,450,5262,450
