date,open,high,low,close,volume,adj_close
2009-06-03,1100.8,1100,1080,1099,555084,1099
2009-06-04,1099,1090,1070,1072.8,403549,1072.8
2009-06-05,1072.8,1090,1070,1071.9,855997,1071.9
2009-06-08,1071.9,1085,1060,1085,82527,1085
2009-06-09,1085,1085,1069.9,1070,2036782,1070
2009-06-10,1070,1085,1065,1082,230435,1082
2009-06-11,1082,1082,1075,1079.3,207327,1079.3
2009-06-12,1079.3,1080,1067.9,1075.5,109256,1075.5
2009-06-15,1075.5,1089.9,1050,1081.3,297101,1081.3
2009-06-16,1081.3,1080,1065,1065.4,100383,1065.4
2009-06-17,1065.4,1080.1,1030,1031.4,63417,1031.4
2009-06-18,1031.4,1080.1,1030,1035,80783,1035
2009-06-19,1035,1045,1030,1045,135899,1045
2009-06-22,1045,1045,970,970.01,67800,970.01
2009-06-23,970.01,990,960,983.15,1319036,983.15
2009-06-24,983.15,984,970,972.06,32991,972.06
2009-06-25,972.06,984,972,984,100718,984
2009-06-26,984,980.01,969.99,980,820574,980
2009-06-30,980,990,960.1,965.3,231161,965.3
2009-07-01,965.3,975.02,963,963.91,1419313,963.91
2009-07-02,963.91,980,970,975,786247,975
2009-07-03,980,1005,980,1001,2228478,1001
2009-07-06,1001,1021,981,1020,116089,1020
2009-07-07,1020,1030.1,1020,1030,989350,1030
2009-07-08,1030,1050,1030,1030,422643,1030
2009-07-09,1030,1050,1040,1045.6,293346,1045.6
2009-07-10,1045.6,1085,1051,1070,707766,1070
2009-07-13,1070,1075,1070,1073.8,477923,1073.8
2009-07-14,1073.8,1085,1070,1070.3,153916,1070.3
2009-07-15,1070.3,1100,1070,1091.2,2251122,1091.2
2009-07-17,1099,1100,1090,1099.8,101077,1099.8
2009-07-20,1100,1100,1085,1089.8,31142,1089.8
2009-07-21,1089.8,1090,1075,1080,66616,1080
2009-07-22,1080,1090,1075,1075,73840,1075
2009-07-23,1075,1090,1075,1085,1170567,1085
2009-07-24,1085,1125,1085,1120.5,2577808,1120.5
2009-07-27,1120.5,1150,1125,1148,937590,1148
2009-07-28,1148,1150,1136,1150,650894,1150
2009-07-29,1150,1160,1145,1159,617133,1159
2009-07-30,1159,1160,1130,1135.8,301892,1135.8
2009-07-31,1135.8,1135.8,1119.9,1120.1,1288805,1120.1
2009-08-03,1120.1,1136,1120,1135.2,177572,1135.2
2009-08-04,1135.2,1134.9,1120,1125,300190,1125
2009-08-05,1125,1135,1109,1119.5,149331,1119.5
2009-08-06,1119.5,1140,1115,1123,35930,1123
2009-08-07,1123,1140,1123,1140,18517,1140
2009-08-10,1140,1165,1139,1165,57797,1165
2009-08-11,1165,1185,1160,1170.1,165087,1170.1
2009-08-12,1170.2,1172,1160,1160,49842,1160
2009-08-13,1160,1160,1158,1160,53483,1160
2009-08-14,1160,1184,1150,1150,141547,1150
2009-08-17,1150,1145,1125,1125.8,103974,1125.8
2009-08-18,1125.8,1180,1130,1169.3,274312,1169.3
2009-08-19,1169.3,1175,1150,1150,133916,1150
2009-08-20,1150,1160,1150,1159.5,55979,1159.5
