date,open,high,low,close,volume,adj_close
2009-10-14,310,260,260,260,7739,260
2009-10-28,260,260,260,260,5000,260
2009-12-10,260,237.5,237.5,237.5,4384,237.5
2010-02-03,237.5,237.5,237.5,237.5,13770,237.5
2010-03-25,237.5,237.5,237.5,237.5,131,237.5
2010-05-31,237.5,237.5,237.5,237.5,16,237.5
2010-08-16,237.5,237.5,237.5,237.5,2853,237.5
2011-01-28,237.5,237.5,237.5,237.5,200,237.5
2011-04-07,237.5,225,225,225,179429,225
2011-06-17,225,224,224,224,12166,224
2011-10-19,224,220,220,220,3658,220
2012-06-26,220,220,220,220,149360,220
2012-09-07,220,200,200,200,150000,200
2013-01-31,200,200,200,200,80,200
2013-07-01,200,200,200,200,80,200
2013-09-05,200,200,200,200,25427,200
2014-06-27,200,196,195,196,54397,196
2014-07-15,196,196,196,196,169480,196
2015-03-04,196,196,195.99,195.99,11346,195.99
2015-07-08,195.99,195.99,195.99,195.99,2000,195.99
2015-08-18,195.99,195.99,195.99,195.99,1935,195.99
2016-07-21,195.99,195.99,195.99,195.99,1738,195.99
2016-07-22,195.99,185,185,185,15770,185
2016-08-05,185,185,185,185,2983,185
2016-09-21,185,185,185,185,2162,185
2016-09-22,185,250,250,250,2162,250
2016-09-23,250,250,249,250,17773,250
2016-10-03,250,282,282,282,3255,282
2016-10-14,282,250,250,250,15751,250
2016-10-19,250,250,250,250,859,250
2016-10-26,250,250,250,250,3534,250
2016-11-17,250,250,250,250,255,250
2016-12-02,250,272,272,272,6540,272
2016-12-05,272,295,295,295,3350,295
2016-12-14,295,310,310,310,2000,310
2016-12-20,310,328,328,328,2373,328
2017-01-06,328,342,342,342,1587,342
2017-02-09,342,342,342,342,300,342
2017-03-01,342,373,372,373,5449,373
2017-03-31,373,380,380,380,1600,380
2017-05-31,380,380,380,380,3147,380
2017-07-10,380,400,400,400,1597,400
2018-03-21,400,400,400,400,250,400
2018-03-22,400,400,400,400,270,400
2018-04-02,400,380,380,380,12000,380
2018-04-20,380,380,380,380,11787,380
2018-04-25,380,379,379,379,2252,379
2018-07-12,379,379,379,379,17200,379
2018-07-24,379,379,379,379,380,379
2018-07-31,379,379,379,379,2638,379
2018-08-10,379,379,377,377,5276,377
2018-09-20,377,377,377,377,1463,377
2018-10-25,377,377,377,377,250,377
2018-11-06,377,377,377,377,685,377
2018-11-16,377,436,436,436,1320,436
2018-12-11,436,470,470,470,1200,470
2019-02-22,470,510,510,510,1200,510
2019-02-25,510,500,500,500,3882,500
2019-02-27,500,500,500,500,2075,500
2019-03-01,500,500,500,500,1700,500
2019-04-17,500,500,500,500,10407,500
2019-05-09,500,499.9,499.9,499.9,27900,499.9
2019-05-14,499.9,500,500,500,12007,500
2019-05-20,500,500,500,500,343,500
2019-10-22,500,500,500,500,0,500
2019-11-19,500,500,500,500,0,500
2019-11-20,500,500,500,500,0,500
2019-11-21,500,500,500,500,0,500
2019-11-23,500,500,500,500,0,500
2019-12-20,500,500,500,500,0,500
2020-01-27,500,500,500,500,928,500
2020-04-04,500,500,500,500,0,500
2020-04-09,500,500,500,500,0,500
