date,open,high,low,close,volume,adj_close
2009-06-03,7095.8,7095,6900,7034.8,382936,7034.8
2009-06-04,7034.8,7119.9,7010,7068.3,238212,7068.3
2009-06-05,7068.3,7200,7040,7167.6,521241,7167.6
2009-06-08,7167.6,7100,7000,7087.9,138114,7087.9
2009-06-09,7100,7100,7010,7026.8,287427,7026.8
2009-06-10,7026.8,7130,7000,7074.2,346173,7074.2
2009-06-11,7074.2,7090,6950,6968.7,622774,6968.7
2009-06-12,6968.7,6980,6850,6878.9,383208,6878.9
2009-06-15,6878.9,6850,6680,6840.6,402314,6840.6
2009-06-16,6840.6,6850,6690,6694,262991,6694
2009-06-17,6694,6694,6400,6482.7,777647,6482.7
2009-06-18,6480,6750,6410,6585.5,344087,6585.5
2009-06-19,6585.5,6751,6600,6629.6,337760,6629.6
2009-06-22,6629.6,6650,6349.9,6445.6,322638,6445.6
2009-06-23,6451,6550,6330,6347.6,701279,6347.6
2009-06-24,6347.6,6600,6370,6409.7,435650,6409.7
2009-06-25,6409.7,6490,6400,6471.5,435558,6471.5
2009-06-26,6471.5,6550,6471.5,6520,528815,6520
2009-06-30,6550,6600,6350,6366.7,1440033,6366.7
2009-07-01,6366.7,6550,6400,6513.8,170647,6513.8
2009-07-02,6513.8,6600,6400,6500,198598,6500
2009-07-03,6500,6601.1,6550,6599,83838,6599
2009-07-06,6599,6650,6500,6602.2,628990,6602.2
2009-07-07,6602.2,6650,6551,6600.6,364119,6600.6
2009-07-08,6600.6,6620,6500,6501,214512,6501
2009-07-09,6501,6650,6522,6600.6,159990,6600.6
2009-07-10,6600,6648,6421,6583.7,141159,6583.7
2009-07-13,6583.7,6650,6570,6594,190819,6594
2009-07-14,6594,6650,6514.2,6564,171220,6564
2009-07-15,6564,6850,6560,6777,554982,6777
2009-07-17,6777,6900,6740,6833.8,129234,6833.8
2009-07-20,6833.8,7045,6900,7009.6,437136,7009.6
2009-07-21,7000,7099,6950,7015.3,357050,7015.3
2009-07-22,7000,7000,6825,6825.6,193216,6825.6
2009-07-23,6825.6,6940,6850,6885.1,1169850,6885.1
