date,open,high,low,close,volume,adj_close
2009-06-04,700,710,710,710,38751,710
2009-06-15,710,710.01,710.01,710.01,5000,710.01
2009-06-24,710.01,700,700,700,1500,700
2009-07-21,700,680,680,680,6700,680
2009-07-22,680,700,700,700,9342,700
2009-08-11,700,700,700,700,6500,700
2009-08-25,700,690,690,690,5000,690
2009-08-27,690,690,690,690,9874,690
2009-08-28,690,690,690,690,63000,690
2009-09-02,690,690,690,690,5000,690
2009-09-07,690,680,680,680,6656,680
2009-09-09,680,700,682,700,9530,700
2009-10-26,700,700,700,700,1194968,700
2009-11-04,700,700,700,700,200,700
2009-11-24,700,700,700,700,2753,700
2009-12-02,700,680.1,680,680.04,1678,680.04
2009-12-15,680.04,681,681,681,200000,681
2009-12-16,680,680,680,680,10000,680
2009-12-22,680,680,680,680,1047,680
2009-12-24,680,680,680,680,8953,680
2010-01-04,680,680,680,680,700,680
2010-01-05,680,680,680,680,25,680
2010-01-13,680,680,680,680,10000,680
2010-02-10,680,699,699,699,5000,699
2010-03-17,699,730,730,730,9589,730
2010-03-19,730,730,730,730,10000,730
2010-05-10,730,730,730,730,2893,730
2010-05-24,730,730,730,730,2000,730
2010-05-26,730,730,730,730,300,730
2010-06-04,730,725,725,725,24000,725
2010-07-02,725,725,725,725,6599,725
2010-07-05,725,725,725,725,5401,725
2010-07-08,725,725,725,725,14722,725
2010-07-14,725,725,725,725,55733,725
2010-08-11,725,725,725,725,6144,725
2010-08-19,725,750,740,750,30000,750
2010-08-20,750,760,760,760,10000,760
2010-08-23,760,770,770,770,10000,770
2010-08-27,770,780,770,780,20000,780
2010-08-30,780,770,770,770,5000,770
2010-09-01,770,780,780,780,13387,780
2010-09-02,780,780,780,780,25000,780
2010-10-19,780,780,780,780,8283,780
2010-11-02,780,780,780,780,4720,780
2010-11-03,780,780,780,780,641,780
2010-11-22,780,780,780,780,13402,780
2010-11-23,780,780,780,780,8151,780
2010-12-09,780,781,781,781,18079,781
2010-12-21,781,780.1,780.1,780.1,5000,780.1
2011-01-12,780,780,780,780,22857,780
2011-02-04,780,780,780,780,843,780
2011-03-23,780,790,790,790,39000,790
2011-03-29,790,810,810,810,10000,810
2011-03-30,810,820,820,820,10000,820
2011-03-31,820,830,830,830,18138,830
2011-04-01,830,850,850,850,4150,850
2011-04-07,850,880,860,880,26638,880
2011-04-12,880,879,860,860,25000,860
2011-04-18,860,835,835,835,35000,835
2011-04-19,835,835,835,835,40481,835
2011-04-20,835,835,835,835,30000,835
2011-05-05,835,835,835,835,12060,835
2011-05-10,835,835,835,835,3240,835
2011-05-16,835,834,834,834,5000,834
2011-05-17,834,835,835,835,7950,835
2011-06-06,835,820,820,820,52654,820
