date,open,high,low,close,volume,adj_close
2013-03-22,104.48,104.48,104.48,104.48,47,104.48
2013-05-22,104.48,114.17,114.17,114.17,47,114.17
2013-05-28,114.17,114.96,114.96,114.96,87,114.96
2013-06-04,114.96,110.77,110.77,110.77,90,110.77
2013-06-05,110.77,109.19,109.19,109.19,82,109.19
2013-07-22,109.19,117.94,117.94,117.94,210,117.94
2013-08-14,117.94,114.3,114.3,114.3,87,114.3
2013-10-01,114.3,115.06,115.06,115.06,73,115.06
2013-10-07,115.06,113.93,113.93,113.93,52,113.93
2013-10-29,113.93,118.64,118.64,118.64,52,118.64
2013-11-04,118.64,119.78,119.78,119.78,87,119.78
2013-11-05,119.78,120.05,119.54,119.54,379,119.54
2013-11-15,119.54,123.63,123.63,123.63,90,123.63
2014-01-23,123.63,112.8,112.8,112.8,73,112.8
2014-02-06,112.8,113.8,113.4,113.4,219,113.4
2014-03-03,113.4,116.45,116.15,116.15,219,116.15
2014-04-02,116.15,111.9,111.9,111.9,223,111.9
2014-04-07,111.9,110.81,110.56,110.81,235,110.81
2014-04-22,110.81,114,114,114,223,114
2014-08-01,114,117.91,117.91,117.91,25,117.91
2014-08-05,117.91,117.32,117.32,117.32,20,117.32
2014-12-15,117.32,138.56,138.56,138.56,25,138.56
2015-01-07,138.56,143.6,143.6,143.6,225,143.6
2015-07-23,143.6,146.87,146.87,146.87,20,146.87
2015-11-25,146.87,162,162,162,225,162
2016-01-08,162,153.4,153.4,153.4,25,153.4
2016-03-03,153.4,148.69,148.69,148.69,25,148.69
2016-07-15,148.69,167.08,167.08,167.08,20,167.08
2017-03-15,167.08,165.5,165.5,165.5,20,165.5
2017-03-17,165.5,168.26,167.59,167.9,3222,167.9
2017-03-20,167.9,167.2,167.2,167.2,90,167.2
2017-03-21,167.2,168.66,167.12,167.38,320,167.38
2017-03-22,167.38,167.49,167.49,167.49,89,167.49
2017-03-23,167.49,167.34,167.34,167.34,119,167.34
2017-03-24,167.34,167.32,167.32,167.32,31,167.32
2017-03-28,167.32,165.97,165.97,165.97,150,165.97
2017-03-29,165.97,167.22,167.22,167.22,53,167.22
2017-03-31,167.22,167.94,167.86,167.94,105,167.94
2017-04-03,167.94,167.75,167.35,167.35,89,167.35
2017-04-20,167.35,170.72,170.72,170.72,33,170.72
2017-04-24,170.72,172.23,171.77,172.23,313,172.23
2017-04-25,172.23,172.72,172.61,172.61,130,172.61
2017-04-26,172.61,177.42,175.94,177.42,2945,177.42
2017-04-27,177.42,177.62,176.57,177.62,297,177.62
2017-04-28,177.62,177.49,177.08,177.49,180,177.49
2017-05-23,177.49,172.8,172.8,172.8,15,172.8
2017-05-25,172.8,174.63,174.63,174.63,25,174.63
2017-06-06,174.63,181.96,181.96,181.96,15,181.96
2017-06-09,181.96,181.87,181.87,181.87,20,181.87
2017-06-19,181.87,163.7,163.7,163.7,120,163.7
2017-06-21,163.7,163.34,162.88,162.88,145,162.88
2017-08-02,162.88,160.03,160.03,160.03,20,160.03
2017-11-24,160.03,171.76,171.76,171.76,15,171.76
2017-11-29,171.76,175,175,175,100,175
2017-12-12,175,188.48,188.48,188.48,118,188.48
2017-12-14,188.48,189.27,189.27,189.27,119,189.27
2018-02-08,189.27,183.46,183.46,183.46,30,183.46
2018-03-14,183.46,185.69,185.69,185.69,28,185.69
2018-06-11,185.69,204.46,204.46,204.46,60,204.46
2018-09-07,204.46,242.69,242.69,242.69,20,242.69
2018-09-20,242.69,233.54,233.54,233.54,29,233.54
2019-02-13,233.54,212.7,211.9,212.21,196,212.21
2019-02-14,212.21,213.54,213.54,213.54,42,213.54
2019-02-15,213.54,215.17,215.17,215.17,65,215.17
2019-02-19,215.17,219.21,219.21,219.21,24,219.21
2019-02-20,219.21,216.9,215.35,215.35,137,215.35
2019-02-21,215.35,216.02,215.81,216.02,805,216.02
2019-02-22,216.02,215.9,214.77,215.9,121,215.9
2019-02-27,215.9,217.36,217.36,217.36,39,217.36
2019-03-05,217.36,219.87,219.87,219.87,30,219.87
2019-03-12,219.87,232.79,232.3,232.4,1272,232.4
2019-03-13,232.4,236,233.09,236,135,236
2019-03-19,236,237.78,237.78,237.78,28,237.78
2019-06-20,237.78,266.17,266.17,266.17,135,266.17
2019-07-01,266.17,263.5,263.5,263.5,38,263.5
2019-08-09,263.5,273.37,273.37,273.37,6,273.37
2019-09-16,273.37,289.57,289.57,289.57,3,289.57
2019-10-01,289.57,286.31,286.31,286.31,3,286.31
2019-10-04,286.31,288.3,288.3,288.3,38,288.3
2020-02-19,288.3,325.43,325.43,325.43,30,325.43
2020-03-03,325.43,310.6,310.6,310.6,96,310.6
2020-03-16,310.6,291,291,291,115,291
2020-03-24,291,284.5,284.5,291,2,291
2020-04-08,291,303.5,303.5,291,1,291
2020-05-11,291,307.01,307.01,307.01,96,307.01
2020-05-18,307.01,302.45,302.45,307.01,1,307.01
2020-05-22,307.01,303.04,303.04,303.04,36,303.04
2020-06-04,303.04,312.64,312.64,312.64,62,312.64
2020-07-09,312.64,325.63,325.63,325.63,36,325.63
2020-08-04,325.63,337.59,337.59,325.63,10,325.63
2020-08-05,325.63,341.84,341.84,325.63,2,325.63
2020-08-21,325.63,345.54,345.54,325.63,20,325.63
2020-09-15,325.63,344.97,344.97,344.97,135,344.97
2020-09-23,344.97,347.32,347.32,344.97,5,344.97
2020-11-13,344.97,378.5,378.08,378.5,157,378.5
2020-11-19,378.5,380.36,380.36,380.36,25,380.36
2020-11-27,380.36,390.44,390.44,390.44,20,390.44
2020-11-30,390.44,386.8,386.8,386.8,20,386.8
2020-12-10,386.8,375.95,375.95,375.95,195,375.95
2020-12-17,375.95,369.7,369.7,369.7,15,369.7
2021-02-01,375.95,350.53,350.53,350.53,20,350.53
2021-02-03,375.95,354.2,354.2,354.2,120,354.2
2021-04-19,354.2,370.96,370.96,354.2,15,354.2
2021-05-19,354.2,379.5,379.5,379.5,132,379.5
2021-06-04,379.5,386.28,386.28,386.28,40,386.28
2021-07-08,386.28,407.9,407.9,407.9,63,407.9
