date,open,high,low,close,volume,adj_close
2009-07-31,60000,60000,60000,60000,10,60000
2009-09-01,60000,60000,60000,60000,7,60000
2009-09-04,60000,60000,60000,60000,14,60000
2009-10-16,60000,60000,60000,60000,1,60000
2009-11-18,60000,50000,50000,50000,7,50000
2010-01-07,50000,47000,47000,47000,7,47000
2010-01-21,47000,47000,47000,47000,1,47000
2010-02-23,47000,47000,47000,47000,10,47000
2010-04-16,47000,45000,45000,45000,7,45000
2010-05-28,45000,42000,42000,42000,7,42000
2010-07-26,42000,42000,42000,42000,7,42000
2010-09-08,42000,42000,42000,42000,7,42000
2010-10-22,42000,42000,42000,42000,7,42000
2011-03-01,42000,50000,50000,50000,7,50000
2011-03-09,50000,50000,50000,50000,10,50000
2011-03-30,50000,49990,49990,49990,7,49990
2011-04-20,49990,45000,45000,45000,7,45000
2011-05-10,45000,45000,45000,45000,7,45000
2011-05-27,45000,45000,45000,45000,7,45000
2011-08-23,45000,45000,45000,45000,7,45000
2011-09-20,45000,45000,45000,45000,7,45000
2011-10-24,45000,45000,45000,45000,6,45000
2011-11-02,45000,45000,45000,45000,7,45000
2011-12-01,45000,44500,44500,44500,7,44500
2011-12-05,44500,45000,45000,45000,7,45000
2012-01-31,45000,45000,45000,45000,14,45000
2012-02-29,45000,45000,45000,45000,3,45000
2012-03-14,45000,45000,45000,45000,1,45000
2012-03-20,45000,40000,40000,40000,7,40000
2012-03-29,40000,40000,40000,40000,7,40000
2012-06-01,40000,40000,40000,40000,7,40000
2012-06-07,40000,40000,40000,40000,21,40000
2012-06-21,40000,40000,40000,40000,7,40000
2012-08-07,40000,40000,40000,40000,2,40000
2012-10-04,40000,40000,40000,40000,7,40000
2012-11-08,40000,40000,40000,40000,7,40000
2012-11-14,40000,40000,40000,40000,6,40000
2012-11-27,40000,40000,40000,40000,7,40000
2012-12-05,40000,40000,40000,40000,7,40000
2012-12-11,40000,40000,40000,40000,7,40000
2013-02-15,40000,40000,40000,40000,3,40000
2013-07-26,40000,40000,40000,40000,1,40000
2013-10-30,40000,41000,41000,41000,21,41000
2013-12-18,41000,41000,41000,41000,7,41000
2014-02-13,41000,41000,41000,41000,7,41000
2014-03-12,41000,41010,41010,41010,7,41010
2014-03-19,41010,41010,41010,41010,3,41010
2014-04-04,41010,45000,45000,45000,21,45000
2014-04-30,45000,46000,46000,46000,7,46000
2014-05-08,46000,46000,46000,46000,3,46000
2014-06-04,46000,47000,46000,46000,15,46000
2014-06-05,46000,46000,46000,46000,7,46000
2014-06-09,46000,46000,46000,46000,7,46000
2014-06-10,46000,46000,46000,46000,2,46000
2014-07-28,46000,46000,46000,46000,7,46000
2014-08-08,46000,46000,46000,46000,7,46000
2014-08-13,46000,46001,46001,46001,7,46001
2014-10-02,46001,46000,46000,46000,7,46000
2014-10-17,46000,46000,46000,46000,8,46000
2015-01-05,46000,46000,46000,46000,3,46000
2015-02-10,46000,46000,46000,46000,1,46000
2015-06-02,46000,50000,50000,50000,7,50000
2015-06-09,50000,50000,50000,50000,7,50000
2015-08-20,50000,52310,52310,52310,7,52310
2015-09-11,52310,56755,56755,56755,7,56755
2015-10-01,56755,68010,68010,68010,7,68010
2015-10-30,68010,78000,78000,78000,7,78000
2015-11-02,78000,80000,80000,80000,8,80000
2015-11-10,80000,85000,85000,85000,7,85000
2015-12-07,85000,85001,85001,85001,7,85001
2016-02-23,85001,85000,85000,85000,10,85000
2016-05-11,85000,85000,85000,85000,7,85000
2016-11-04,85000,155000,155000,155000,7,155000
2016-12-05,155000,170000,170000,170000,8,170000
2016-12-16,170000,170000,170000,170000,7,170000
2016-12-28,170000,170000,170000,170000,2,170000
2017-01-04,170000,175000,175000,175000,14,175000
2017-02-27,175000,180000,180000,180000,7,180000
2017-04-06,180000,173000,173000,173000,7,173000
2017-06-27,173000,140000,140000,140000,7,140000
2017-07-20,140000,140000,140000,140000,7,140000
2017-07-26,140000,130000,130000,130000,7,130000
2017-09-20,130000,130000,130000,130000,7,130000
2017-09-26,130000,130000,130000,130000,277,130000
2017-10-13,130000,130000,130000,130000,7,130000
2017-12-21,130000,125000,125000,125000,7,125000
2017-12-26,125000,128900,128900,128900,7,128900
2018-01-12,128900,128900,128900,128900,7,128900
2018-02-12,128900,120000,120000,120000,7,120000
2018-03-08,120000,120000,120000,120000,10,120000
2018-04-11,120000,120000,120000,120000,2,120000
2018-05-14,120000,87000,87000,87000,7,87000
2018-05-18,87000,90000,90000,90000,7,90000
2018-06-04,90000,94750,94750,94750,7,94750
2018-06-06,94750,94750,94750,94750,2,94750
2018-06-07,94750,94750,94750,94750,2,94750
2018-06-11,94750,98700,98700,98700,21,98700
2018-06-12,98700,98695,98695,98695,9,98695
2018-07-20,98695,96869,96869,96869,7,96869
2018-07-26,96869,94995,94995,94995,7,94995
2018-07-30,94995,93999,93999,93999,7,93999
2018-08-29,93999,92995,92995,92995,14,92995
2018-08-31,92995,92995,92995,92995,7,92995
2018-09-03,92995,92995,92995,92995,7,92995
2018-09-04,92995,92995,92995,92995,7,92995
2018-10-03,92995,90000,90000,90000,7,90000
2018-10-16,90000,90000,90000,90000,7,90000
2018-10-17,90000,90000,90000,90000,7,90000
2018-10-22,90000,90000,90000,90000,2,90000
2018-10-24,90000,90000,90000,90000,7,90000
2018-10-25,90000,90000,90000,90000,7,90000
2018-10-30,90000,92000,92000,92000,7,92000
2018-11-09,92000,92000,92000,92000,1,92000
2018-11-28,92000,95000,95000,95000,7,95000
2018-12-19,95000,97000,97000,97000,7,97000
2019-01-24,97000,100000,100000,100000,7,100000
2019-01-29,100000,100000,100000,100000,7,100000
2019-05-28,100000,110000,110000,110000,7,110000
2019-10-22,110000,110000,110000,110000,0,110000
2019-11-19,110000,110000,110000,110000,0,110000
2019-11-20,110000,110000,110000,110000,0,110000
2019-11-21,110000,110000,110000,110000,0,110000
2019-11-23,110000,110000,110000,110000,0,110000
2019-12-20,110000,110000,110000,110000,0,110000
2020-04-04,110000,110000,110000,110000,0,110000
2020-04-09,110000,110000,110000,110000,0,110000
