date,open,high,low,close,volume,adj_close
2010-07-05,150,150,150,150,36176,150
2010-07-20,150,150,150,150,24902,150
2010-08-24,150,150,150,150,30957,150
2010-10-27,150,150,150,150,17585,150
2011-05-03,150,200,200,200,21755,200
2011-05-09,200,201,201,201,21755,201
2011-07-08,201,210,210,210,20000,210
2011-07-13,210,210,210,210,25542,210
2011-07-25,210,210,210,210,2000,210
2011-08-01,210,210,210,210,20662,210
2011-08-05,210,210,210,210,3000,210
2011-11-21,210,210,210,210,25000,210
2012-01-10,210,210,210,210,8000,210
2012-02-07,210,240,240,240,3020,240
2012-02-21,240,270,270,270,24982,270
2012-02-22,270,270,270,270,2000,270
2012-03-14,270,270,270,270,4000,270
2012-04-10,270,270,270,270,3000,270
2012-04-17,270,270,270,270,3000,270
2012-05-14,270,270,270,270,1000,270
2012-05-25,270,270,270,270,1000,270
2012-08-09,270,270,270,270,4006,270
2012-08-13,270,270,270,270,2500,270
2012-08-14,270,270,270,270,2500,270
2012-11-20,270,280,280,280,27765,280
2012-12-03,280,291,290,291,27765,291
2012-12-10,291,291,291,291,600,291
2012-12-14,291,291,291,291,1000,291
2013-02-18,291,291,291,291,913,291
2013-03-26,291,320,320,320,6781,320
2013-07-08,320,345,345,345,1400,345
2013-07-17,345,330,330,330,10997,330
2013-07-18,330,340,340,340,5355,340
2013-07-22,340,350,350,350,2000,350
2013-07-29,350,340,340,340,1765,340
2013-10-15,340,335,330,335,3884,335
2014-01-08,335,335,335,335,2821,335
2014-01-28,335,335,335,335,6635,335
2014-09-15,335,335,335,335,301,335
2014-09-17,335,335,335,335,761,335
2015-02-25,335,335,335,335,36176,335
2015-04-21,335,335,335,335,682,335
2015-09-17,335,335,335,335,1095,335
2015-12-21,335,338,338,338,52000,338
2016-03-15,338,338,338,338,462,338
2016-08-18,338,338,338,338,427,338
2016-09-27,338,338,338,338,5917,338
2016-10-17,338,338,338,338,589,338
2017-01-24,338,338,338,338,9985,338
2017-03-27,338,338,338,338,515,338
2017-03-29,338,338,338,338,2285,338
2017-06-09,338,338.1,338.1,338.1,18319,338.1
2017-06-21,338.1,338,338,338,3117,338
2017-07-03,338,338,338,338,1278,338
2017-08-17,338,338,338,338,12500,338
2017-10-04,338,338,338,338,12500,338
2017-11-15,338,338,338,338,3117,338
2017-11-23,338,338,338,338,3117,338
2018-01-02,338,338,338,338,3713,338
2018-02-15,338,338.5,338.5,338.5,8393,338.5
2018-07-12,338.5,341,341,341,2801,341
2018-08-27,341,342,338.5,342,12519,342
2018-08-30,342,342,342,342,9519,342
2018-11-06,342,342,342,342,1062,342
2018-11-07,342,342,342,342,1062,342
2018-11-20,342,342,342,342,537,342
2018-11-30,342,342,342,342,20020,342
2019-08-26,342,350,350,350,2700,350
2019-08-27,350,350,350,350,8,350
2019-10-22,350,350,350,350,0,350
2019-11-05,350,350,350,350,2708,350
2019-11-12,350,350,350,350,2708,350
2019-11-19,350,350,350,350,0,350
2019-11-20,350,350,350,350,0,350
2019-11-21,350,350,350,350,0,350
2019-11-23,350,350,350,350,0,350
2019-12-20,350,350,350,350,0,350
2020-02-04,350,350,350,350,5470,350
2020-02-05,350,350,350,350,230,350
