date,open,high,low,close,volume,adj_close
2009-06-03,5950,5900,5900,5900,800,5900
2009-06-04,5900,5900,5900,5900,3193,5900
2009-06-05,5900,5900,5900,5900,7630,5900
2009-06-08,5900,5901,5901,5901,590,5901
2009-06-09,5901,6100,6100,6100,100,6100
2009-06-10,6100,6100,6100,6100,2330,6100
2009-06-11,6100,6400,6300,6400,2712,6400
2009-06-12,6400,6400,6400,6400,1773,6400
2009-06-15,6400,6400.1,6400,6400,4410,6400
2009-06-16,6400,6400,6400,6400,2730,6400
2009-06-18,6400,6400,6400,6400,1446,6400
2009-06-22,6400,6400,6400,6400,200,6400
2009-06-26,6400,6398.9,6350,6350,14976,6350
2009-06-30,6350,6350,6350,6350,25,6350
2009-07-07,6350,6248.4,6248.4,6248.4,56604,6248.4
2009-07-08,6248.4,6248.4,6248.4,6248.4,30097,6248.4
2009-07-13,6248.4,6000,6000,6000,480,6000
2009-07-21,6000,6000,6000,6000,1625,6000
2009-07-28,6000,5999.9,5999.9,5999.9,58334,5999.9
2009-08-03,5999.9,5990,5990,5990,20000,5990
2009-08-07,5990,5990,5990,5990,4170,5990
2009-08-10,5990,5990,5990,5990,278,5990
2009-08-12,5990,5700,5700,5700,209,5700
2009-08-13,5700,5700,5700,5700,100,5700
2009-08-14,5700,5700,5699.9,5700,6000,5700
2009-08-19,5700,5700,5700,5700,6551,5700
2009-08-20,5700,5501,5501,5501,11594,5501
2009-08-25,5501,5600,5600,5600,221,5600
2009-09-01,5600,5601,5601,5601,3000,5601
2009-09-04,5601,6601,6400,6420,319445,6420
2009-09-08,6420,6400,6380,6380,37781,6380
2009-09-09,6380,6350,6350,6350,5000,6350
2009-09-10,6350,6275,6275,6275,80000,6275
2009-09-15,6275,6380,6380,6380,88,6380
2009-09-17,6380,6380,6000,6380,770,6380
2009-09-22,6380,6380,6380,6380,2000,6380
2009-09-24,6380,6380,6380,6380,400,6380
2009-09-28,6380,6300,6300,6300,555,6300
2009-09-29,6300,6250,6200,6200,1284,6200
2009-09-30,6300,6460,6300,6400,151634,6400
2009-10-01,6400,6400,6400,6400,6214,6400
2009-10-02,6400,6400,6400,6400,2535,6400
2009-10-05,6400,6400,6400,6400,1698,6400
2009-10-06,6400,6400.1,6400,6400,64615,6400
2009-10-07,6400,6400,6400,6400,291,6400
2009-10-08,6400,6500,6500,6500,5000,6500
2009-10-09,6500,6600,6570,6570,6322,6570
2009-10-13,6570,6599,6590,6590,13657,6590
2009-10-14,6590,6600,6575,6575,15446,6575
2009-10-15,6575,6575,6575,6575,508,6575
2009-10-19,6575,6400,6000,6000,1224,6000
2009-10-20,6000,6003,5700,5990,3496,5990
2009-10-21,5990,5990,5990,5990,1298,5990
2009-10-22,5990,5990,5990,5990,10000,5990
2009-10-27,5990,5990,5990,5990,116,5990
2009-10-28,5990,6050,6050,6050,782,6050
2009-10-29,6050,6100,6100,6100,245,6100
2009-11-02,6100,5990,5990,5990,142,5990
2009-11-03,5990,5800,5800,5800,4000,5800
2009-11-04,5800,5900,5800,5900,180918,5900
2009-11-09,5900,5900,5799.9,5800,33051,5800
2009-11-10,5800,5800,5800,5800,17190,5800
2009-11-12,5800,5800,5800,5800,26639,5800
2009-11-13,5800,5810,5800,5800,10660,5800
2009-11-16,5800,5750,5700,5700,21644,5700
2009-11-18,5700,5640,5640,5640,79,5640
2009-11-20,5640,5700,5700,5700,354,5700
2009-11-23,5700,5750,5750,5750,332,5750
2009-11-24,5750,5750,5750,5750,780,5750
2009-11-25,5750,5800,5750,5800,808,5800
2009-11-26,5800,5800,5800,5800,334,5800
2009-11-27,5800,5800,5800,5800,4000,5800
2009-11-30,5800,5800,5800,5800,1800,5800
2009-12-03,5800,5800,5800,5800,22050,5800
2009-12-04,5800,5800,5800,5800,51724,5800
2009-12-10,5800,5750,5750,5750,8000,5750
2009-12-11,5750,5750,5750,5750,64348,5750
2009-12-14,5750,5750,5750,5750,34800,5750
2009-12-15,5750,5875,5750,5875,15250,5875
2009-12-16,5875,5874.9,5874.9,5874.9,85,5874.9
2009-12-17,5874.9,5875,5875,5875,19545,5875
2009-12-21,5875,5850,5800,5800,850,5800
2009-12-23,5800,5800,5750,5750,1129,5750
