date,open,high,low,close,volume,adj_close
2009-12-04,310,335,310,325.5,51604770,325.5
2009-12-07,325.5,329,322,324.82,702940,324.82
2009-12-09,324.82,325,315,316,840782,316
2009-12-10,316,312,302,309,425876,309
2009-12-11,309,315,309,313.5,207808,313.5
2009-12-14,313.5,312,309.5,310,69356,310
2009-12-15,310,310,308.99,310,393659,310
2009-12-16,310,315,310,314.54,710952,314.54
2009-12-17,314.54,328,314,315,5414481,315
2009-12-18,315,319,315,315,37354,315
2009-12-21,315,312.5,310,311,13909,311
2009-12-22,311,312,311.9,311.97,698294,311.97
2009-12-23,311.97,315,312.99,312.99,21587,312.99
2009-12-24,312.99,312.99,312.99,312.99,1667,312.99
2009-12-28,312.99,308,306,307,11868,307
2009-12-29,312.8,310,306,310,235272,310
2009-12-30,310,307,306,306.29,51721,306.29
2010-01-04,306.29,311,305,311,25807,311
2010-01-05,311,310,310,310,165505,310
2010-01-06,310,309,308,309,62994,309
2010-01-07,309,310,308,308,66686,308
2010-01-08,308,308,308,308,36190,308
2010-01-11,310,309,309,309,91200,309
2010-01-12,309,309,308,309,119982,309
2010-01-13,310,307,307,307,18151,307
2010-01-14,307,307,305,305,300595,305
2010-01-15,305,310,302,310,57749,310
2010-01-18,310,310,307,309.19,74389,309.19
2010-01-19,311,310,307,309,97960,309
2010-01-20,309,307,307,307,42318,307
2010-01-21,307,307,306.99,307,3210,307
2010-01-22,307,307,307,307,454,307
2010-01-26,307,300,298,300,23877,300
2010-01-27,300,300,299.9,300,20055,300
2010-01-28,300,300,300,300,7963,300
2010-01-29,300,305,300,305,18040,305
2010-02-01,305,305,301,301,7147,301
2010-02-02,301,300,300,300,7128,300
2010-02-03,300,302,300,300,4670,300
2010-02-04,300,300,299.9,300,38961,300
2010-02-05,300,291,289,289,259940,289
2010-02-08,289,288,288,288,18258,288
2010-02-09,288,288,286,288,92188,288
2010-02-10,290,296,291,292,73458,292
2010-02-11,292,292,290,290,47195,290
2010-02-12,290,290,290,290,82,290
2010-02-15,290,288,285,285,19464,285
2010-02-16,285,283,283,283,10561,283
2010-02-17,283,284,283,283,27824,283
2010-02-18,283,283,283,283,2779,283
2010-02-19,283,283,283,283,6773,283
2010-02-22,283,280,280,280,10342,280
2010-02-23,280,279,278,278,9698,278
2010-02-24,278,276,273.5,273.5,16001,273.5
2010-02-25,273.5,268,267,267,105309,267
2010-02-26,267,270,268,270,38368,270
2010-03-01,270,265,265,265,6851,265
2010-03-02,265,265,265,265,19111,265
2010-03-03,265,265.01,260,260,65444,260
2010-03-04,260,260,260,260,11817,260
2010-03-05,260,261,260,260,16455,260
2010-03-08,260,258,250,250,9941,250
2010-03-09,250,255.1,255.1,255.1,36303,255.1
2010-03-10,255.1,260,260,260,31252,260
2010-03-11,260,260,260,260,7757,260
2010-03-12,260,260,260,260,10841,260
2010-03-15,260,260,260,260,12122,260
2010-03-16,260,262,260,260,17693,260
2010-03-17,260,261,260,261,35582,261
2010-03-18,261,260.5,260,260,46856,260
2010-03-19,260,260.01,255,260,103434,260
2010-03-22,260,255,255,255,3800,255
2010-03-23,255,250,250,250,21835,250
2010-03-24,250,250.01,250,250.01,17433,250.01
2010-03-25,250.01,245.5,245.5,245.5,3065,245.5
2010-03-26,245.5,248,248,248,20575,248
2010-03-29,248,248,245,245,87325,245
2010-03-30,245,245,245,245,11705,245
2010-03-31,245,240,240,240,11585,240
2010-04-01,240,240,240,240,551360,240
2010-04-05,240,240,240,240,13715,240
2010-04-06,240,240,240,240,15273,240
2010-04-07,240,240,234,234,30594,234
2010-04-08,234,234,234,234,7120,234
2010-04-09,234,230,230,230,33808,230
2010-04-12,230,230,230,230,1612,230
2010-04-13,230,230,230,230,870,230
2010-04-14,230,245,240.1,245,24430,245
2010-04-15,245,244,243,244,21695,244
2010-04-16,244,252,250,252,20432,252
2010-04-19,252,261.01,256,261.01,22618,261.01
2010-04-20,261.01,270,265,270,68013,270
2010-04-21,270,270,270,270,38319,270
2010-04-22,270,275,270,270,29942,270
2010-04-23,270,270.01,270.01,270.01,1860,270.01
2010-04-26,270.01,270,270,270,6640,270
2010-04-27,270,272,272,272,4797,272
2010-04-28,272,274,274,274,18717,274
2010-04-29,274,279,279,279,10710,279
