date,open,high,low,close,volume,adj_close
2013-03-26,20.8,20.8,20.8,20.8,480,20.8
2013-04-03,20.8,21.3,21.3,21.3,480,21.3
2013-04-04,21.3,21.01,21,21.01,706,21.01
2013-04-05,21.01,20.38,20.38,20.38,500,20.38
2013-05-15,20.38,21.24,21.24,21.24,600,21.24
2013-05-16,21.24,23.86,23.51,23.51,806,23.51
2013-05-20,23.51,23.8,23.8,23.8,200,23.8
2013-05-24,23.8,23.49,23.49,23.49,200,23.49
2013-11-08,23.49,23.37,23.35,23.36,2564,23.36
2013-11-13,23.36,23.8,23.8,23.8,2564,23.8
2014-03-17,23.8,21.54,21.54,21.54,696,21.54
2014-03-28,21.54,22.49,22.49,22.49,696,22.49
2014-04-03,22.49,23.14,23.14,23.14,300,23.14
2014-04-09,23.14,23.06,23.04,23.04,960,23.04
2014-04-10,23.04,23.07,22.71,22.71,2025,22.71
2014-04-16,22.71,23.06,23.06,23.06,78,23.06
2014-04-30,23.06,23.08,23.08,23.08,433,23.08
2014-05-06,23.08,22.77,22.77,22.77,433,22.77
2014-05-15,22.77,24.47,24.35,24.38,2685,24.38
2015-01-06,24.38,27.57,27.57,27.57,78,27.57
2015-02-09,27.57,27.2,27.2,27.2,150,27.2
2015-02-13,27.2,29.42,29.34,29.42,420,29.42
2015-05-28,29.42,29.54,29.54,29.54,36,29.54
2015-06-02,29.54,29.79,29.79,29.79,38,29.79
2015-09-22,29.79,24.9,24.9,24.9,38,24.9
2015-10-06,24.9,26.67,26.67,26.67,36,26.67
2016-01-19,26.67,23.99,23.99,23.99,400,23.99
2016-02-08,23.99,22.59,22.59,22.59,200,22.59
2016-02-11,22.59,24.44,24.44,24.44,200,24.44
2016-05-10,24.44,26.79,26.79,26.79,300,26.79
2016-05-19,26.79,27.8,27.8,27.8,300,27.8
2016-05-27,27.8,28.94,28.94,28.94,430,28.94
2016-06-15,28.94,28.66,28.66,28.66,350,28.66
2016-06-16,28.66,28.39,28.39,28.39,270,28.39
2016-07-01,28.39,28.84,28.84,28.84,235,28.84
2016-07-18,28.84,29.89,29.89,29.89,2604,29.89
2016-07-19,29.89,30,30,30,350,30
2016-07-26,30,30.8,30.8,30.8,2230,30.8
2016-07-28,30.8,30.48,30.48,30.48,2604,30.48
2016-09-13,30.48,31.02,31.02,31.02,194,31.02
2016-12-19,31.02,30.72,30.72,30.72,430,30.72
2017-01-25,30.72,30.74,30.74,30.74,300,30.74
2017-02-09,30.74,31.47,31.47,31.47,160,31.47
2017-02-13,31.47,31.8,31.8,31.8,235,31.8
2017-02-16,31.8,33.77,33.77,33.77,300,33.77
2017-02-27,33.77,34.22,34.22,34.22,35,34.22
2017-08-25,34.22,31.75,31.75,31.75,100,31.75
2018-02-06,31.75,39.17,39.17,39.17,100,39.17
2018-03-01,39.17,44.65,44.65,44.65,90,44.65
2018-03-12,44.65,45.61,45.61,45.61,175,45.61
2018-06-20,45.61,43.93,43.93,43.93,50,43.93
2018-06-29,43.93,43.45,43.45,43.45,50,43.45
2018-12-03,43.45,48.69,48.69,48.69,270,48.69
2018-12-10,48.69,46.29,46.23,46.23,490,46.23
2019-01-02,46.23,42.46,42.46,42.46,36,42.46
2019-02-11,42.46,47.43,47.43,47.43,36,47.43
2019-03-11,47.43,51.49,51.49,51.49,20,51.49
2019-04-15,51.49,56.4,56.4,56.4,177,56.4
2019-04-16,56.4,57.1,57.1,57.1,332,57.1
2019-04-17,57.1,56.9,56.9,56.9,175,56.9
2019-05-31,56.9,52.24,52.24,52.24,332,52.24
2019-07-18,52.24,57.24,57.24,57.24,50,57.24
2019-07-22,57.24,57.81,57.81,57.81,32,57.81
2019-08-02,57.81,53.03,53.03,53.03,50,53.03
2019-08-07,53.03,52.02,52.02,52.02,50,52.02
2019-08-12,52.02,51.95,51.95,51.95,25,51.95
2019-08-19,51.95,48.4,48.4,48.4,100,48.4
2019-08-20,48.4,48.05,48.05,48.05,20,48.05
2019-09-06,48.05,48.74,48.74,48.74,194,48.74
2019-10-03,48.74,46.31,46.31,46.31,325,46.31
2019-10-22,46.31,47.77,47.77,46.31,95,46.31
2019-11-14,46.31,44.98,44.9,46.31,250,46.31
2020-02-19,46.31,46.26,46.26,46.31,21,46.31
2020-03-31,46.31,39.8,39.8,46.31,10,46.31
2020-04-24,46.31,42.4,42.4,42.4,177,42.4
2020-04-30,42.4,42.45,42.45,42.4,10,42.4
2020-05-18,42.4,45.29,45.29,45.29,215,45.29
2020-05-26,45.29,45.72,45.72,45.72,1641,45.72
2020-06-01,45.72,46.65,46.65,46.65,540,46.65
2020-06-05,46.65,48.14,48.14,46.65,110,46.65
2020-06-08,46.65,47.45,47.45,47.45,2181,47.45
2020-06-24,47.45,44.7,44.7,44.7,400,44.7
2020-06-25,44.7,44.73,44.73,44.7,74,44.7
2020-07-23,44.7,47.49,47.49,47.49,400,47.49
2020-07-31,47.49,46.13,46.13,47.49,20,47.49
2020-08-05,47.49,47.46,47.46,47.49,90,47.49
2020-08-14,47.49,42.59,42.59,47.49,34,47.49
2020-08-18,47.49,41.93,41.93,47.49,110,47.49
2020-11-10,47.49,38.46,38.46,38.46,675,38.46
2020-11-24,38.46,42.23,42.23,42.23,3910,42.23
2020-11-25,42.23,42.78,42.78,42.78,200,42.78
2021-01-04,42.78,44.14,44.14,44.14,110,44.14
