date,open,high,low,close,volume,adj_close
2009-06-03,730,735,735,735,1798,735
2009-06-04,735,740,700,700,26000,700
2009-06-08,700,741.1,710,725,10858,725
2009-06-09,725,735,725,735,35291,735
2009-06-10,735,745,738.99,745,16588,745
2009-06-11,745,745,740,740,16490,740
2009-06-12,740,770,745,760,89970,760
2009-06-15,760,770,755,770,26193,770
2009-06-16,770,777.7,760,760,5212,760
2009-06-17,760,777.7,740,740,9746,740
2009-06-18,740,740,700,700,78704,700
2009-06-19,700,740,700,700,85655,700
2009-06-22,700,720,705.01,720,4209,720
2009-06-23,720,720,715,715,11167,715
2009-06-24,715,720,716,716,3384,716
2009-06-25,716,716,700,710,24566,710
2009-06-30,710,720,715,720,382188,720
2009-07-01,720,725,725,725,34240,725
2009-07-02,725,755,730,750.63,85215,750.63
2009-07-03,750.63,760,755,760,27138,760
2009-07-06,760,760,759,759,10547,759
2009-07-07,759,762,760,762,20547,762
2009-07-08,762,760,760,760,84050,760
2009-07-09,760,761,750,750,87347,750
2009-07-10,750,750,750,750,1174,750
2009-07-13,750,750,750,750,140,750
2009-07-14,750,734.99,730,730,12222,730
2009-07-15,730,730,730,730,14787,730
2009-07-17,735,735,735,735,5412,735
2009-07-21,735,750,750,750,25692,750
2009-07-23,750,760,750,760,21082,760
2009-07-24,760,760,760,760,29143,760
2009-07-27,760,760,760,760,3000,760
2009-07-28,760,760,757,757,2876,757
2009-07-29,757,750,750,750,719,750
2009-07-30,750,757,750,757,2394,757
2009-08-03,750,750,750,750,1200,750
2009-08-04,750,755,750,750,5086,750
2009-08-05,750,750,750,750,505,750
2009-08-06,750,750,750,750,970,750
2009-08-07,750,750,720,720,10543,720
2009-08-10,720,725,724,725,10336,725
2009-08-11,725,728,728,728,9934,728
2009-08-12,728,736,734,734,47314,734
2009-08-13,734,740,736,736,1934,736
2009-08-14,736,735,730,730,1392,730
2009-08-17,730,730,730,730,1500,730
2009-08-18,730,735,735,735,47535,735
2009-08-19,735,735,735,735,705,735
2009-08-20,735,740,730,740,143383,740
2009-08-21,740,770,740,770,77015,770
2009-08-24,742.5,770,742.5,770,12519,770
2009-08-25,770,768,760,760,14600,760
2009-08-26,760,755,750,750,3403,750
2009-08-27,750,750,750,750,4017,750
2009-08-28,750,745,740,740,36962,740
2009-08-31,740,730,730,730,5818,730
2009-09-01,730,753,725,751.18,81907,751.18
2009-09-02,751.18,751.18,751.18,751.18,1463,751.18
2009-09-03,751.18,750,750,750,8003,750
2009-09-07,750,745,745,745,3195,745
2009-09-08,745,745,745,745,2663,745
2009-09-09,745,745,745,745,2769,745
2009-09-15,745,720,720,720,1752,720
2009-09-16,720,720,720,720,7491,720
2009-09-17,720,720,720,720,1360,720
2009-09-21,720,720,720,720,1000,720
2009-09-22,720,720,720,720,200,720
2009-09-23,720,730,720,730,205338,730
2009-09-24,730,729,729,729,1945,729
2009-09-25,729,730,730,730,1832,730
2009-09-28,730,730,729.9,729.9,5846,729.9
2009-09-29,729.9,720,720,720,5128,720
2009-09-30,720,720,720,720,21182,720
2009-10-01,720,721,721,721,1000,721
2009-10-02,720,725,720,725,8777,725
2009-10-05,725,725,725,725,1509,725
2009-10-06,725,725,725,725,5260,725
2009-10-07,725,725,725,725,3864,725
2009-10-08,725,730,725,730,6695,730
2009-10-09,730,740,740,740,771,740
2009-10-13,740,744.9,737,744.9,22488,744.9
2009-10-14,744.9,751.01,745,750,150024,750
2009-10-15,750,750,720,720,75381,720
2009-10-16,720,758,730,758,8911,758
2009-10-19,758,758,750,750,17142,750
2009-10-20,750,750,750,750,860,750
2009-10-21,750,755,750,750,17097,750
2009-10-22,750,770,752,755,39226,755
2009-10-23,755,755,753,755,10017,755
2009-10-26,755,800,774,800,24616,800
2009-10-27,800,810,800,800,13191,800
2009-10-28,800,850,808,850,26789,850
2009-10-29,850,839.9,830,835,60590,835
2009-10-30,835,845,820,820,30835,820
2009-11-02,820,870,845,860,33989,860
2009-11-03,860,860,855,860,25408,860
2009-11-04,860,900,860,885,70521,885
