date,open,high,low,close,volume,adj_close
2013-10-21,1400,1400,1400,1400,350,1400
2013-10-22,1400,1400,1400,1400,118,1400
2013-10-23,1400,1300,1300,1300,370,1300
2013-10-24,1300,1300,1300,1300,358,1300
2013-11-11,1300,1300,1300,1300,1,1300
2014-01-21,1300,1199,1199,1199,414,1199
2014-01-22,1199,1199,1199,1199,306,1199
2014-03-07,1199,1200,1200,1200,45807,1200
2014-04-08,1200,1200,1200,1200,8,1200
2014-06-05,1200,1200,1200,1200,88,1200
2014-09-26,1200,600,600,600,2000,600
2014-10-01,600,500,500,500,5593,500
2014-10-02,500,500,500,500,607,500
2014-10-10,500,500,500,500,10,500
2014-10-24,500,500,500,500,2000,500
2014-11-21,500,300,300,300,2000,300
2014-11-24,300,290,290,290,3868,290
2014-11-25,290,290,290,290,2000,290
2014-11-26,290,290,290,290,695,290
2014-12-02,290,290,290,290,30,290
2014-12-18,290,290,290,290,1000,290
2014-12-19,290,290,290,290,62,290
2014-12-29,290,290,290,290,138,290
2015-01-05,290,290,290,290,498,290
2015-01-06,290,201,201,201,3000,201
2015-01-08,201,201,201,201,708,201
2015-01-12,201,201,201,201,16,201
2015-02-03,201,201,201,201,1150,201
2015-02-17,201,201,201,201,515,201
2015-02-19,201,201,201,201,2279,201
2015-03-23,201,201,201,201,552,201
2015-04-01,201,190,190,190,7088,190
2015-04-07,190,190,190,190,1,190
2015-04-13,190,190,190,190,600,190
2015-04-15,190,190,190,190,684,190
2015-04-16,190,190,190,190,35,190
2015-04-21,190,190,190,190,583,190
2015-04-24,190,190,190,190,1,190
2015-05-06,190,190,190,190,78,190
2015-05-29,190,190,190,190,254,190
2015-06-26,190,190,190,190,261,190
2015-06-30,190,190,190,190,2625,190
2015-07-07,190,190,190,190,28,190
2015-07-08,190,190,190,190,600,190
2015-07-09,190,190,190,190,638,190
2015-07-14,190,190,190,190,29,190
2015-08-17,190,190,190,190,568,190
2015-08-21,190,200,200,200,3519,200
2015-08-28,200,200,200,200,234,200
2015-09-07,200,200,200,200,19742,200
2015-09-08,200,200,200,200,2235,200
2015-09-16,200,200,200,200,115,200
2015-09-29,200,215,215,215,3930,215
2015-09-30,215,215,215,215,1606,215
2015-10-06,215,215,215,215,210,215
2015-10-08,215,215,215,215,83,215
2015-10-15,215,220,220,220,8282,220
2015-10-27,220,225,225,225,4366,225
2015-11-09,225,225,225,225,1385,225
2015-11-13,225,225,225,225,1686,225
2015-11-19,225,225,225,225,28,225
2015-12-14,225,225,225,225,1895,225
2015-12-16,225,225,225,225,121,225
2015-12-21,225,225,225,225,1458,225
2015-12-22,225,238,238,238,13803,238
2016-01-15,238,250,250,250,5482,250
2016-01-26,250,250,250,250,1364,250
2016-01-28,250,250,250,250,1759,250
2016-04-06,250,264,264,264,2006,264
2016-04-15,264,264,264,264,16,264
2016-04-20,264,264,264,264,9,264
2016-04-21,264,264,264,264,9,264
2016-05-10,264,264,264,264,1705,264
2016-05-11,264,264,264,264,2,264
2016-06-03,264,264,264,264,1206,264
2016-06-08,264,280,280,280,4645,280
2016-06-09,280,280,280,280,1243,280
2016-06-21,280,280,280,280,420,280
2016-06-23,280,280,280,280,5499,280
2016-06-29,280,280,280,280,27506,280
2016-07-12,280,280,280,280,11065,280
2016-07-13,280,280,280,280,530,280
2016-07-18,280,280,280,280,345,280
2016-07-19,280,280,280,280,345,280
2016-07-20,280,280,280,280,213,280
2016-07-28,280,280,280,280,492,280
2016-08-18,280,303,303,303,8604,303
2016-08-22,303,303,303,303,826,303
2016-10-21,303,303,303,303,2000,303
2016-10-25,303,303,303,303,172,303
2016-12-13,303,303,303,303,1462,303
2016-12-27,303,303,303,303,3365,303
2016-12-29,303,303,303,303,1298,303
2017-02-17,303,303,303,303,173,303
2017-02-24,303,303,303,303,92,303
2017-03-14,303,303,303,303,8100,303
2017-03-15,303,303,303,303,5236,303
2017-03-23,303,305,305,305,1860,305
2017-05-12,305,305,305,305,1500,305
2017-05-29,305,305,305,305,1495,305
2017-06-01,305,305,305,305,40000,305
2017-07-03,305,305,305,305,13067,305
2017-08-14,305,305,305,305,175,305
2017-08-22,305,305,305,305,365,305
2017-08-31,305,305,305,305,18085,305
2017-09-01,305,305,305,305,16396,305
2017-09-04,305,940,305,940,72515,940
2017-09-05,940,940,940,940,248527,940
2017-09-06,940,940,940,940,1311,940
2017-09-07,940,940,940,940,1493,940
2017-09-08,940,940,940,940,1040,940
2017-09-11,940,940,940,940,4326,940
2017-09-12,940,940,940,940,2407,940
2017-09-14,940,940,940,940,13194,940
2017-09-21,940,940,940,940,185,940
2017-09-22,940,940,940,940,844,940
2017-09-25,940,940,940,940,915,940
2017-09-26,940,940,940,940,2917,940
2017-09-27,940,940,940,940,407,940
2017-10-02,940,940,940,940,6000,940
2017-10-03,940,940,940,940,7698,940
2017-10-05,940,940,940,940,40,940
2017-10-06,940,940,940,940,3034,940
2017-10-11,940,940,940,940,79055,940
2017-10-12,940,940,940,940,890,940
2017-10-16,940,940,940,940,188,940
2017-10-17,940,940,940,940,372,940
2017-10-18,940,940,940,940,1,940
2017-10-19,940,940,940,940,26413,940
2017-10-23,940,940,940,940,1597,940
2017-10-24,940,940,940,940,7047,940
2017-10-25,940,940,940,940,4570,940
2017-10-26,940,940,940,940,1430,940
2017-10-30,940,940,940,940,9894,940
2017-10-31,940,940,940,940,1766,940
2017-11-02,940,940,940,940,25851,940
2017-11-03,940,940,940,940,12,940
2017-11-06,940,940,940,940,460,940
2017-11-07,940,940,940,940,2300,940
2017-11-15,940,940,940,940,250,940
2017-11-16,940,940,940,940,727,940
2017-11-17,940,940,940,940,207,940
2017-11-21,940,940,940,940,287,940
2017-11-27,940,940,940,940,759,940
2017-11-28,940,940,940,940,39130,940
2017-11-29,940,940,940,940,639,940
2017-12-01,940,940,940,940,345,940
2017-12-29,940,940,940,940,100,940
2018-01-04,940,940,940,940,36,940
2018-01-05,940,940,940,940,1899,940
2018-02-12,940,940,940,940,75,940
2018-02-21,940,940,940,940,4624,940
2018-03-07,940,940,940,940,19,940
2018-04-19,940,940,940,940,329,940
2018-04-23,940,940,940,940,359,940
2018-04-24,940,940,940,940,110,940
2018-04-26,940,940,940,940,14,940
2018-05-09,940,940,940,940,237,940
2018-05-24,940,940,940,940,43,940
2018-05-28,940,940,940,940,1150,940
2018-06-20,940,940,940,940,2751,940
2018-06-26,940,940,940,940,281,940
2018-06-27,940,940,940,940,70,940
2018-06-29,940,940,940,940,1467,940
2018-07-12,940,940,940,940,6962,940
2018-07-19,940,940,940,940,3243,940
2018-08-01,940,940,940,940,1919,940
2018-08-07,940,940,940,940,2808,940
2018-08-08,940,940,940,940,426,940
2018-08-10,940,940,940,940,11,940
2018-08-13,940,940,940,940,172,940
2018-08-14,940,940,940,940,811,940
2018-08-16,940,940,940,940,3336,940
2018-08-17,940,940,940,940,690,940
2018-08-20,940,940,940,940,2646,940
2018-08-30,940,940,940,940,518,940
2018-11-26,940,940,940,940,128,940
2018-11-27,940,940,940,940,30,940
2019-03-22,940,300,300,300,1,300
2019-04-22,300,940,940,940,36156,940
