date,open,high,low,close,volume,adj_close
2015-01-19,51.94,51.94,51.94,51.94,30594,51.94
2015-01-23,51.94,51.94,51.94,51.94,12366,51.94
2015-01-26,51.94,51.94,51.94,51.94,6372,51.94
2015-01-27,51.89,51.89,51.89,51.89,23199,51.89
2015-01-28,51.89,51.89,51.89,51.89,7617,51.89
2015-01-29,51.89,51.89,51.89,51.89,5010,51.89
2015-02-03,51.89,51.89,51.89,51.89,2885,51.89
2015-02-04,51.89,51.89,51.89,51.89,9554,51.89
2015-02-06,51.89,48.6,48.6,48.6,11000,48.6
2015-02-09,48.6,48.6,48.6,48.6,10040,48.6
2015-02-11,48.6,48.6,48.6,48.6,2033,48.6
2015-02-13,48.6,50.5,50.5,50.5,88595,50.5
2015-02-24,50.5,50.5,50.5,50.5,1991,50.5
2015-02-25,50.5,50,50,50,86544,50
2015-02-26,50,50,50,50,3508,50
2015-02-27,50,50,50,50,21646,50
2015-03-03,50,50,50,50,7138,50
2015-03-11,50,50,50,50,1025,50
2015-03-13,50,49.49,49.49,49.49,40000,49.49
2015-03-16,49.49,49.49,49.49,49.49,4041,49.49
2015-03-19,49.49,49.49,49.49,49.49,37,49.49
2015-03-20,49.49,49.49,49.49,49.49,890,49.49
2015-03-23,49.49,49.49,49.49,49.49,106,49.49
2015-03-24,49.49,49.49,49.49,49.49,1500,49.49
2015-03-26,49.49,49.43,49.43,49.43,39607,49.43
2015-04-02,49.43,49.43,49.43,49.43,1033,49.43
2015-04-07,49.43,49.43,49.43,49.43,3523,49.43
2015-04-08,49.43,49.43,49.43,49.43,16615,49.43
2015-04-20,49.43,49.43,49.43,49.43,6090,49.43
2015-04-21,49.43,49.43,49.43,49.43,2000,49.43
2015-04-23,49.43,49.43,49.43,49.43,3000,49.43
2015-04-29,49.43,49.43,49.43,49.43,4047,49.43
2015-05-04,49.43,48.79,48.79,48.79,119487,48.79
2015-05-05,48.79,48.79,48.79,48.79,2210,48.79
2015-05-06,48.79,46.97,45.98,45.98,243969,45.98
2015-05-07,45.98,45.94,45.94,45.94,1040556,45.94
2015-05-08,45.94,45.94,45.94,45.94,9085,45.94
2015-05-11,45.94,45.9,45,45,94400,45
2015-05-12,45,44.35,44,44.3,262000,44.3
2015-05-13,44.3,44.3,44.3,44.3,1129,44.3
2015-05-14,44.3,44.7,44.7,44.7,46847,44.7
2015-05-15,44.7,44.99,42.8,42.8,132035,42.8
2015-05-19,42.8,44.5,44.01,44.01,152184,44.01
2015-05-25,44.01,44.49,44.49,44.49,28221,44.49
2015-05-26,44.49,44.49,44.49,44.49,2156,44.49
2015-05-28,44.49,44.44,44,44,288197,44
2015-05-29,44,44,44,44,237667,44
2015-06-03,44.5,44.5,44.5,44.5,286997,44.5
2015-06-05,44.5,44.5,44,44,284632,44
2015-06-08,44,44,44,44,7538,44
2015-06-09,44,44,44,44,5000,44
2015-06-11,44,42,42,42,154253,42
2015-06-12,42,42,42,42,100747,42
2015-06-15,42,42,42,42,2300,42
2015-06-18,42,41.99,41.99,41.99,50000,41.99
2015-06-22,41.99,41,41,41,345549,41
2015-06-23,41,42,42,42,14715,42
2015-06-25,42,42,42,42,4166,42
2015-06-30,42,42,42,42,12000,42
2015-07-02,42,42,42,42,122,42
2015-07-07,42,42,42,42,96,42
2015-07-10,42,42,42,42,34740,42
2015-07-14,42,42,42,42,11947,42
2015-08-05,42,42,42,42,6646,42
2015-08-25,42,42,42,42,7728,42
2015-08-27,42,42,42,42,7100,42
2015-09-04,42,39.59,39.59,39.59,30000,39.59
2015-09-07,39.59,39.59,39.59,39.59,1148,39.59
2015-09-14,39.59,39,39,39,120969,39
2015-09-22,39,39,39,39,50,39
2015-09-23,39,38,38,38,18883,38
2015-10-05,38,38,38,38,57401,38
2015-10-21,38,38,38,38,4000,38
2015-10-22,38,37,37,37,101971,37
2015-10-23,37,37.01,37,37,318786,37
2015-10-26,37,37,37,37,82900,37
2015-10-29,37,36.5,36.5,36.5,103000,36.5
2015-10-30,36.5,36.5,36.5,36.5,536,36.5
2015-11-05,36.5,36.5,36.5,36.5,2512,36.5
2015-11-06,36.5,36,36,36,274538,36
2015-11-09,36,36,36,36,137815,36
2015-11-10,36,36,36,36,13611,36
2015-11-12,36,36,36,36,10957,36
2015-11-19,36,36,36,36,32043,36
2015-11-20,36,36,36,36,276789,36
2015-11-25,36,36.05,36,36,77084,36
2015-12-02,36,36.01,36,36,240603,36
2015-12-03,36,36.5,35.5,35.99,642470,35.99
2015-12-04,35.99,35.99,35.99,35.99,1398,35.99
2015-12-07,35.99,35.99,35.99,35.99,196,35.99
2015-12-09,35.99,35.99,35.99,35.99,100000,35.99
2015-12-10,35.99,35.99,33.65,35.99,73982,35.99
2015-12-11,35.99,35.99,35.98,35.99,48568,35.99
2015-12-16,35.99,35.99,35.99,35.99,1000,35.99
2015-12-17,35.99,35,35,35,225116,35
2015-12-21,35,35,35,35,3500,35
2015-12-30,35,35,35,35,5524,35
2016-01-04,35,35,35,35,266337,35
2016-01-05,35,35,35,35,101500,35
2016-01-06,35,35,35,35,102995,35
2016-01-08,35,35,35,35,20000,35
2016-01-11,35,35,35,35,3000,35
2016-01-12,35,35,35,35,148571,35
2016-01-25,35,35,35,35,1763,35
2016-01-29,35,35,35,35,179317,35
2016-02-08,35,35,35,35,10081,35
2016-02-10,35,35,35,35,1359,35
2016-02-12,35,35,35,35,1763,35
2016-02-15,35,35,35,35,1182,35
2016-03-01,35,35,35,35,86278,35
2016-03-22,35,39.32,36.5,39.32,159938,39.32
2016-03-23,39.32,41,39.5,39.5,140000,39.5
2016-03-29,39.5,39.5,39.5,39.5,2400,39.5
2016-03-30,39.5,39.5,39.5,39.5,2451,39.5
2016-03-31,39.5,39.5,39.5,39.5,7237,39.5
2016-04-01,39.5,39.5,39.5,39.5,7775,39.5
2016-04-06,39.5,40,40,40,74004,40
2016-04-08,40,41.9,41.9,41.9,617159,41.9
2016-04-11,41.9,41.9,41.9,41.9,4719790,41.9
2016-04-12,41.9,41.9,41.9,41.9,2300,41.9
2016-04-13,41.9,45,45,45,30500,45
2016-04-15,45,45,45,45,1500,45
2016-04-20,45,45,45,45,82658,45
2016-04-22,45,50,50,50,14222,50
2016-04-25,50,52.5,52,52.5,168635,52.5
2016-04-26,52.5,56,53,56,98187,56
2016-04-27,56,62,57,62,177958,62
2016-04-28,64,69,64,64.9,491835,64.9
2016-04-29,64.9,64,63,63,38264,63
2016-05-02,63,59.9,59.5,59.5,101804,59.5
2016-05-03,59.5,65,59.5,65,114397,65
2016-05-04,65,64.5,64.49,64.5,132938,64.5
2016-05-05,64.5,64.5,64.5,64.5,7548,64.5
2016-05-06,64.5,64.5,64.5,64.5,12686,64.5
2016-05-13,64.5,64.5,64.5,64.5,2231,64.5
2016-05-16,64.5,61.99,61.99,61.99,967000,61.99
2016-05-18,61.99,61.99,61.99,61.99,8056,61.99
2016-05-20,61.99,59.8,59.8,59.8,25000,59.8
2016-05-24,59.8,59.8,59.8,59.8,1533,59.8
2016-05-27,59.8,59.8,59.8,59.8,6661,59.8
2016-05-31,59.8,55.99,55.5,55.5,66633,55.5
2016-06-01,55.5,55.5,55.5,55.5,992,55.5
2016-06-08,55.5,52,52,52,60072,52
2016-06-10,52,49.99,48,48,151792,48
2016-06-13,48,46,46,46,70859,46
2016-06-14,46,46,46,46,18000,46
2016-06-15,46,48.01,48,48.01,45740,48.01
