date,open,high,low,close,volume,adj_close
2010-09-14,23.05036,988.72,988.72,988.72,4552,988.72
2010-09-15,988.72,988.72,988.72,988.72,5310,988.72
2010-09-16,988.72,988.72,988.72,988.72,4552,988.72
2010-09-21,988.7201,922.8054,922.8054,922.8054,6069,922.8054
2010-09-22,922.8054,922.8054,922.8054,922.8054,2275,922.8054
2010-09-23,922.8054,922.8054,922.8054,922.8054,5418,922.8054
2010-09-24,922.8054,804.159,804.159,804.159,7586,804.159
2010-09-27,804.159,804.159,804.159,804.159,6069,804.159
2010-09-28,804.159,804.159,804.159,804.159,6069,804.159
2010-09-29,804.1589,816.0235,816.0235,816.0235,6069,816.0235
2010-09-30,816.0235,816.0235,816.0235,816.0235,6069,816.0235
2010-10-01,816.0236,816.6827,816.6827,816.6827,6372,816.6827
2010-10-04,816.6827,818.001,818.001,818.001,5765,818.001
2010-10-05,818.001,816.6827,816.6827,816.6827,6069,816.6827
2010-10-06,816.6827,820.6376,817.3418,817.3418,6082,817.3418
2010-10-07,817.3419,812.7279,812.7279,812.7279,6069,812.7279
2010-10-08,812.7278,810.0912,790.976,790.976,5537,790.976
2010-10-12,790.976,790.976,790.976,790.976,6069,790.976
2010-10-13,790.976,790.976,790.976,790.976,5765,790.976
2010-10-14,790.976,848.3217,848.3217,848.3217,10618,848.3217
2010-10-15,848.3218,848.3217,790.976,790.976,6069,790.976
2010-10-18,790.976,790.976,790.976,790.976,5765,790.976
2010-10-19,790.976,843.0486,843.0486,843.0486,6069,843.0486
2010-10-20,843.0485,828.5473,828.5473,828.5473,6069,828.5473
2010-10-21,828.5474,830.5248,830.5248,830.5248,6826,830.5248
2010-10-22,830.5247,856.8906,847.7286,856.8906,6645,856.8906
2010-10-25,856.8907,839.7528,823.9334,823.9334,6069,823.9334
2010-10-26,823.9333,844.3669,844.3669,844.3669,6069,844.3669
2010-10-27,844.3669,850.2992,850.2992,850.2992,6069,850.2992
2010-10-28,850.2991,856.8906,856.8906,856.8906,6069,856.8906
2010-10-29,856.8906,856.8906,856.8906,856.8906,5310,856.8906
2010-11-02,856.8906,877.9833,877.9833,877.9833,5310,877.9833
2010-11-03,877.9833,886.5522,886.5522,886.5522,5310,886.5522
2010-11-04,886.5522,889.1888,889.1888,889.1888,5310,889.1888
2010-11-05,889.1888,866.7778,866.7778,866.7778,5310,866.7778
2010-11-08,866.778,862.1639,862.1639,862.1639,5310,862.1639
2010-11-09,862.1639,860.8456,860.8456,860.8456,5310,860.8456
2010-11-10,860.8456,860.8456,860.8456,860.8456,6069,860.8456
2010-11-11,860.8455,850.2992,850.2992,850.2992,5310,850.2992
2010-11-12,850.2993,910.2816,910.2816,910.2816,5613,910.2816
2010-11-15,910.2815,839.7528,839.7528,839.7528,6069,839.7528
2010-11-16,839.7528,839.7528,839.7528,839.7528,5310,839.7528
2010-11-17,839.7529,834.4797,834.4797,834.4797,5310,834.4797
2010-11-18,834.4797,841.7303,841.7303,841.7303,6069,841.7303
2010-11-19,841.7302,847.0034,847.0034,847.0034,5310,847.0034
2010-11-22,847.0034,866.7778,866.7778,866.7778,6069,866.7778
2010-11-24,866.7778,868.0961,868.0961,868.0961,7586,868.0961
2010-11-25,868.0961,868.7553,868.7553,868.7553,6069,868.7553
2010-11-26,868.7554,872.0511,872.0511,872.0511,5310,872.0511
2010-11-29,872.051,872.0511,871.3919,871.3919,6069,871.3919
2010-12-01,871.3919,858.8681,858.8681,858.8681,6069,858.8681
2010-12-02,858.8682,872.0511,872.0511,872.0511,7586,872.0511
2010-12-03,872.051,878.6425,878.6425,878.6425,5310,878.6425
2010-12-06,878.6425,870.0736,870.0736,870.0736,6069,870.0736
2010-12-07,870.0736,874.0285,874.0285,874.0285,6069,874.0285
2010-12-09,874.0286,860.8456,860.8456,860.8456,6069,860.8456
2010-12-13,860.8455,860.1864,860.1864,860.1864,1979,860.1864
2010-12-14,860.1865,860.1864,845.0261,845.0261,3960,845.0261
2010-12-16,845.026,846.3443,846.3443,846.3443,6069,846.3443
2010-12-17,846.3443,856.8906,850.2992,850.2992,8741,850.2992
2010-12-20,850.2991,855.5723,855.5723,855.5723,6069,855.5723
2010-12-21,855.5723,856.8906,856.8906,856.8906,2579093,856.8906
2010-12-24,856.8906,856.8906,856.8906,856.8906,1168696000,856.8906
2011-01-06,856.8906,856.8906,856.8906,856.8906,2731,856.8906
2011-12-21,856.8907,850.9584,850.9584,850.9584,2885936,850.9584
2011-12-28,850.9584,850.9584,850.9584,850.9584,20478,850.9584
2012-03-08,850.9583,856.8906,856.8906,856.8906,3035,856.8906
2012-03-14,856.8906,856.8906,856.8906,856.8906,2731,856.8906
2012-04-04,856.8906,856.8906,856.8906,856.8906,10419,856.8906
2012-06-19,856.8906,856.8906,856.8906,856.8906,1806,856.8906
2012-06-20,856.8907,922.8054,922.8054,922.8054,12223,922.8054
2012-07-09,922.8054,988.72,988.72,988.72,4552,988.72
2013-04-22,988.72,988.72,988.72,988.72,32,988.72
2019-03-29,988.72,1000,1000,1000,190398,1000
2019-10-22,1000,1000,1000,1000,0,1000
2019-11-19,1000,1000,1000,1000,0,1000
2019-11-20,1000,1000,1000,1000,0,1000
2019-11-21,1000,1000,1000,1000,0,1000
2019-11-23,1000,1000,1000,1000,0,1000
2019-12-20,1000,1000,1000,1000,0,1000
2020-04-04,1000,1000,1000,1000,0,1000
