date,open,high,low,close,volume,adj_close
2013-05-08,58.46,58.46,58.46,58.46,197,58.46
2013-05-10,58.46,57.47,57.47,57.47,72,57.47
2013-05-13,57.47,58.5,58.5,58.5,80,58.5
2013-05-14,58.5,59.2,59.2,59.2,467,59.2
2013-06-05,59.2,57.43,57.3,57.3,609,57.3
2013-06-06,57.3,57.29,57.29,57.29,140,57.29
2013-06-10,57.29,59.22,59.11,59.11,576,59.11
2013-06-17,59.11,59.8,59.8,59.8,173,59.8
2013-06-20,59.8,57.52,57.52,57.52,208,57.52
2013-06-27,57.52,57.6,57.5,57.5,1872,57.5
2013-07-05,57.5,58.1,58.1,58.1,170,58.1
2013-07-08,58.1,59.1,59.05,59.1,1698,59.1
2013-07-18,59.1,61.45,61.45,61.45,467,61.45
2013-07-22,61.45,61.67,61.67,61.67,174,61.67
2013-08-06,61.67,59.75,59.75,59.75,164,59.75
2013-08-08,59.75,59.14,59.14,59.14,84,59.14
2013-10-16,59.14,59.18,59.18,59.18,425,59.18
2013-11-26,59.18,66.55,66.55,66.55,84,66.55
2013-11-29,66.55,67.32,67.32,67.32,164,67.32
2014-03-14,67.32,73.43,73.43,73.43,378,73.43
2014-03-21,73.43,74.66,74.66,74.66,66,74.66
2014-05-16,74.66,75.78,75.78,75.78,212,75.78
2014-06-13,75.78,76.11,76.11,76.11,66,76.11
2014-09-25,76.11,79.79,79.79,79.79,213,79.79
2014-12-23,79.79,97.36,97.36,97.36,41,97.36
2015-01-27,97.36,100.28,100.28,100.28,46,100.28
2015-02-06,100.28,100.69,100.69,100.69,59,100.69
2015-03-10,100.69,102.11,102.11,102.11,235,102.11
2015-07-02,102.11,105.93,105.93,105.93,156,105.93
2015-07-08,105.93,104.84,104.84,104.84,95,104.84
2015-10-22,104.84,104.07,104.07,104.07,66,104.07
2015-10-23,104.07,104.66,102.87,103.42,301,103.42
2015-10-30,103.42,99.34,98.6,99.34,416,99.34
2015-11-11,99.34,96.81,96.81,96.81,51,96.81
2015-11-13,96.81,92.5,92.5,92.5,130,92.5
2015-11-17,92.5,93.63,93.63,93.63,53,93.63
2015-11-24,93.63,91.93,91.57,91.93,54,91.93
2015-11-25,91.93,93.92,93.92,93.92,9,93.92
2015-12-03,93.92,95.06,95.06,95.06,91,95.06
2015-12-09,95.06,96.07,96.07,96.07,20,96.07
2015-12-14,96.07,93,93,93,37,93
2015-12-15,93,95.21,94.8,94.8,64,94.8
2016-01-19,94.8,95.25,95.25,95.25,150,95.25
2016-01-25,95.25,95.59,95.59,95.59,155,95.59
2016-02-08,95.59,92.2,92.2,92.2,43,92.2
2016-03-10,92.2,100.52,99.64,100.52,134,100.52
2016-03-15,100.52,101.21,101.21,101.21,120,101.21
2016-03-16,101.21,100.73,100.73,100.73,21,100.73
2016-03-17,100.73,101.19,101.19,101.19,28,101.19
2016-03-18,101.19,101.32,101.32,101.32,21,101.32
2016-03-21,101.32,101.52,101.52,101.52,29,101.52
2016-03-22,101.52,102.32,102.32,102.32,70,102.32
2016-03-30,102.32,103.44,103.44,103.44,300,103.44
2016-04-04,103.44,103.97,103.97,103.97,96,103.97
2016-04-07,103.97,102.79,100.92,100.92,180,100.92
2016-04-08,100.92,101.7,101.48,101.48,72,101.48
2016-04-14,101.48,101.21,101.21,101.21,50,101.21
2016-04-15,101.21,101.8,101.8,101.8,287,101.8
2016-04-18,101.8,102.65,102.65,102.65,195,102.65
2016-04-19,102.65,103.34,103.34,103.34,48,103.34
2016-04-21,103.34,101.33,101.33,101.33,98,101.33
2016-04-22,101.33,101.09,100.92,101.09,348,101.09
2016-04-25,101.09,101.84,101.84,101.84,47,101.84
2016-04-26,101.84,102.41,102.41,102.41,70,102.41
2016-05-03,102.41,104,104,104,446,104
2016-05-05,104,105.35,104.36,105.35,190,105.35
2016-05-06,105.35,104.5,104.5,104.5,47,104.5
2016-05-09,104.5,105.81,105.81,105.81,287,105.81
2016-05-11,105.81,105.39,104.42,104.42,48,104.42
2016-05-26,104.42,97,97,97,85,97
2016-06-01,97,96.22,96.22,96.22,47,96.22
2016-06-03,96.22,96.2,96.03,96.2,842,96.2
2016-06-08,96.2,97.92,97.24,97.92,164,97.92
2016-06-14,97.92,96.12,96.12,96.12,31,96.12
2016-06-16,96.12,95.04,95.04,95.04,120,95.04
2016-06-21,95.04,93.8,93.8,93.8,42,93.8
2016-07-06,93.8,95.77,95.77,95.77,85,95.77
2016-07-07,95.77,95.58,95.58,95.58,234,95.58
2016-07-13,95.58,97.57,97.57,97.57,44,97.57
2016-07-20,97.57,97.04,97.04,97.04,82,97.04
2016-07-22,97.04,96.25,96.25,96.25,52,96.25
2016-07-25,96.25,94.37,94.03,94.03,130,94.03
2016-07-26,94.03,94,94,94,100,94
2016-07-27,94,92.72,92.72,92.72,85,92.72
2016-07-29,92.72,92.77,92.69,92.77,505,92.77
2016-08-01,92.77,93.71,93.7,93.7,214,93.7
2016-08-02,93.7,98.25,97.5,98.25,235,98.25
2016-08-03,98.25,97.62,97.04,97.3,1010,97.3
