date,open,high,low,close,volume,adj_close
2013-05-08,123.25,123.25,123.25,123.25,90,123.25
2013-05-10,123.25,122.16,122.16,122.16,34,122.16
2013-05-28,122.16,126.81,126.81,126.81,100,126.81
2013-06-10,126.81,122.2,122.2,122.2,449,122.2
2013-06-11,122.2,122.3,122.3,122.3,80,122.3
2013-06-14,122.3,120.5,120.5,120.5,164,120.5
2013-06-18,120.5,121.45,121.45,121.45,164,121.45
2013-06-19,121.45,121.55,121.55,121.55,80,121.55
2013-06-21,121.55,118.83,118.83,118.83,81,118.83
2013-06-25,118.83,117.25,117.25,117.25,123,117.25
2013-07-03,117.25,119.1,119.1,119.1,167,119.1
2013-07-05,119.1,120.05,120.05,120.05,248,120.05
2013-07-08,120.05,120.5,120.5,120.5,123,120.5
2013-07-11,120.5,123.2,123.2,123.2,80,123.2
2013-07-12,123.2,126,126,126,7,126
2013-07-17,126,124.9,124.9,124.9,64,124.9
2013-08-02,124.9,123.6,123.6,123.6,120,123.6
2013-08-06,123.6,123.69,123.69,123.69,201,123.69
2013-08-27,123.69,119.3,119.3,119.3,125,119.3
2013-08-28,119.3,121.85,121.85,121.85,446,121.85
2013-10-18,121.85,119.8,119.8,119.8,207,119.8
2013-11-25,119.8,123.49,123.49,123.49,207,123.49
2013-11-27,123.49,122.13,122.13,122.13,536,122.13
2014-01-23,122.13,119.29,119.22,119.22,206,119.22
2014-01-24,119.22,117.1,117.1,117.1,169,117.1
2014-01-27,117.1,116.85,116.85,116.85,169,116.85
2014-02-04,116.85,111.45,111.45,111.45,177,111.45
2014-02-12,111.45,112.1,112.1,112.1,600,112.1
2014-02-13,112.1,111.34,111.34,111.34,156,111.34
2014-02-26,111.34,115.5,115.34,115.34,461,115.34
2014-03-13,115.34,114.38,114.38,114.38,233,114.38
2014-03-18,114.38,116.26,116.13,116.26,1088,116.26
2014-03-19,116.26,116.61,116.61,116.61,148,116.61
2014-04-10,116.61,117.1,116.9,116.9,383,116.9
2014-04-15,116.9,120,120,120,170,120
2014-04-16,120,122.01,121.4,122.01,361,122.01
2014-05-08,122.01,125.5,125.5,125.5,240,125.5
2014-05-15,125.5,123.94,123.94,123.94,200,123.94
2014-06-11,123.94,125.15,125.15,125.15,200,125.15
2014-06-16,125.15,128.36,128.36,128.36,395,128.36
2014-06-18,128.36,129,129,129,240,129
2014-06-20,129,131.92,131.92,131.92,395,131.92
2014-07-23,131.92,133.29,133.29,133.29,100,133.29
2014-07-31,133.29,130.7,130.7,130.7,192,130.7
2014-08-11,130.7,127.93,127.93,127.93,232,127.93
2014-09-10,127.93,123.4,123.4,123.4,201,123.4
2014-09-16,123.4,124.65,124.65,124.65,201,124.65
2014-09-24,124.65,121.34,121.34,121.34,245,121.34
2014-10-01,121.34,118.58,118.58,118.58,232,118.58
2014-10-17,118.58,111.54,111.54,111.54,266,111.54
2014-10-24,111.54,115.45,115.45,115.45,266,115.45
2014-10-27,115.45,114.63,114.63,114.63,73,114.63
2014-12-22,114.63,111.51,111.51,111.51,300,111.51
2015-01-09,111.51,109.48,109.48,109.48,700,109.48
2015-02-05,109.48,109.06,109.06,109.06,56,109.06
2015-02-09,109.06,111.15,111.15,111.15,700,111.15
2015-02-13,111.15,112.3,112.3,112.3,300,112.3
2015-02-17,112.3,112.71,112.71,112.71,27,112.71
2015-02-19,112.71,109.07,108,108,545,108
2015-03-10,108,103.84,103.84,103.84,230,103.84
2015-03-24,103.84,107.1,107.1,107.1,100,107.1
2015-04-02,107.1,104.88,104.88,104.88,521,104.88
2015-04-15,104.88,110.35,110,110,721,110
2015-04-20,110,110.4,110.4,110.4,245,110.4
2015-06-15,110.4,99.4,99.4,99.4,472,99.4
2015-06-19,99.4,99.8,99.8,99.8,500,99.8
2015-06-26,99.8,98.1,98.1,98.1,143,98.1
2015-08-04,98.1,85.89,85.27,85.27,330,85.27
2015-08-28,85.27,80.83,80.83,80.83,200,80.83
2015-10-05,80.83,83.4,83.4,83.4,290,83.4
2015-11-02,83.4,93.3,93.3,93.3,500,93.3
2016-04-29,93.3,101.08,101.08,101.08,36,101.08
2016-09-26,101.08,99.19,99.19,99.19,700,99.19
2016-11-16,99.19,108.07,107.97,108,882,108
2016-11-17,108,107.61,107.61,107.61,43,107.61
2016-11-28,107.61,111.33,110.94,111.33,925,111.33
2016-12-22,111.33,118.4,118.4,118.4,27,118.4
