date,open,high,low,close,volume,adj_close
2013-06-04,64.19,64.56,64.19,64.19,247,64.19
2013-06-27,64.19,63.77,63.77,63.77,93,63.77
2013-11-15,63.77,69.82,69.82,69.82,154,69.82
2014-03-28,69.82,79.26,79.06,79.06,696,79.06
2014-04-02,79.06,81.7,81.6,81.6,496,81.6
2014-04-04,81.6,82.74,82.74,82.74,200,82.74
2014-04-21,82.74,79.87,79.87,79.87,22,79.87
2014-04-22,79.87,79.68,79.68,79.68,40,79.68
2014-05-16,79.68,79.77,79.77,79.77,48,79.77
2014-05-29,79.77,83.65,83.63,83.65,371,83.65
2014-05-30,83.65,83.95,83.95,83.95,80,83.95
2014-06-18,83.95,83.16,83.16,83.16,120,83.16
2014-07-01,83.16,86.72,86.68,86.72,275,86.72
2014-07-03,86.72,86.74,86.74,86.74,120,86.74
2014-07-17,86.74,85.93,85.93,85.93,96,85.93
2014-07-21,85.93,85.81,85.81,85.81,44,85.81
2014-08-07,85.81,86.18,86.18,86.18,16,86.18
2014-08-12,86.18,87.21,87.21,87.21,115,87.21
2014-08-18,87.21,90.05,90.05,90.05,160,90.05
2014-08-20,90.05,89.88,89.88,89.88,375,89.88
2014-08-22,89.88,90.72,90.72,90.72,188,90.72
2014-08-26,90.72,90.45,90.45,90.45,187,90.45
2014-09-03,90.45,90.89,90.89,90.89,165,90.89
2014-10-01,90.89,87.84,87.84,87.84,562,87.84
2014-11-03,87.84,91.54,91.54,91.54,115,91.54
2014-11-05,91.54,91.38,90.23,90.23,80,90.23
2014-11-12,90.23,89.9,89.9,89.9,78,89.9
2014-11-28,89.9,92.85,92.44,92.85,133,92.85
2014-12-16,92.85,91.93,91.93,91.93,200,91.93
2014-12-24,91.93,95.07,95.07,95.07,200,95.07
2015-01-06,95.07,92.75,92.75,92.75,22,92.75
2015-01-07,92.75,92.72,92.72,92.72,326,92.72
2015-01-14,92.72,94.69,94.6,94.69,154,94.69
2015-01-22,94.69,94.99,94.99,94.99,63,94.99
2015-01-23,94.99,95.11,95.11,95.11,36,95.11
2015-02-09,95.11,101.77,101.77,101.77,20,101.77
2015-02-11,101.77,101.2,101.2,101.2,78,101.2
2015-02-12,101.2,102.8,101.98,102.8,359,102.8
2015-02-13,102.8,104.32,104.32,104.32,20,104.32
2015-03-11,104.32,103.57,103.42,103.57,164,103.57
2015-03-13,103.57,106.4,106.32,106.32,137,106.32
2015-03-16,106.32,106.61,106.61,106.61,70,106.61
2015-03-20,106.61,108.72,108.65,108.72,112,108.72
2015-03-23,108.72,108.24,108.24,108.24,67,108.24
2015-03-27,108.24,106.38,106.38,106.38,326,106.38
2015-03-30,106.38,106.6,106.6,106.6,3,106.6
2015-04-06,106.6,106.28,106.28,106.28,47,106.28
2015-04-07,106.28,106.3,106.3,106.3,45,106.3
2015-04-08,106.3,105.6,105.6,105.6,132,105.6
2015-04-09,105.6,106.21,106.21,106.21,40,106.21
2015-04-24,106.21,109.71,109.71,109.71,75,109.71
2015-04-27,109.71,111.08,111.05,111.08,132,111.08
2015-04-30,111.08,108.97,108.97,108.97,6,108.97
2015-05-06,108.97,110.3,110,110,84,110
2015-05-08,110,110.12,110.12,110.12,15,110.12
2015-05-14,110.12,109.4,109.4,109.4,72,109.4
2015-05-19,109.4,110.67,110.67,110.67,15,110.67
2015-06-02,110.67,111,111,111,18,111
2015-06-03,111,111.26,111.26,111.26,22,111.26
2015-06-04,111.26,110.62,110.18,110.18,113,110.18
2015-06-08,110.18,109.63,109.63,109.63,14,109.63
2015-06-09,109.63,108.2,108.2,108.2,25,108.2
2015-06-10,108.2,109.99,109.99,109.99,17,109.99
2015-06-18,109.99,113.43,113.43,113.43,70,113.43
2015-06-23,113.43,114.08,114.08,114.08,45,114.08
2015-06-24,114.08,114.5,114.5,114.5,75,114.5
2015-06-25,114.5,115.2,115,115.2,125,115.2
2015-06-26,115.2,114.62,114.62,114.62,14,114.62
2015-07-09,114.62,117.11,116.6,116.6,332,116.6
2015-07-10,116.6,116.04,116.04,116.04,72,116.04
2015-07-13,116.04,117.31,117.31,117.31,83,117.31
2015-07-14,117.31,118.01,118.01,118.01,47,118.01
2015-07-15,118.01,118.44,118.44,118.44,30,118.44
2015-07-22,118.44,119.14,119.04,119.14,48,119.14
2015-07-28,119.14,118.35,118.35,118.35,8,118.35
2015-07-29,118.35,119.64,119.64,119.64,125,119.64
2015-07-30,119.64,120.08,120.08,120.08,33,120.08
2015-08-05,120.08,111.07,110.22,110.22,213,110.22
2015-08-06,110.22,106,106,106,174,106
2015-08-07,106,109.1,109.1,109.1,100,109.1
2015-08-11,109.1,109.18,109.18,109.18,67,109.18
2015-08-12,109.18,105.87,105.87,105.87,30,105.87
2015-08-19,105.87,106.84,106.84,106.84,300,106.84
2015-08-20,106.84,102.28,102.28,102.28,48,102.28
2015-09-01,102.28,99.97,99.97,99.97,2,99.97
2015-09-15,99.97,102.62,102.62,102.62,64,102.62
2015-09-25,102.62,101.66,101.66,101.66,3,101.66
2015-10-14,101.66,106.16,106.16,106.16,141,106.16
2015-10-20,106.16,110.2,109.68,109.68,155,109.68
2015-10-22,109.68,112.26,112.26,112.26,73,112.26
2015-10-23,112.26,113,113,113,95,113
2015-10-26,113,112.68,112.68,112.68,141,112.68
2015-10-28,112.68,112.98,112.98,112.98,8,112.98
2015-10-30,112.98,114.73,113.99,113.99,177,113.99
2015-11-06,113.99,116.29,116.29,116.29,86,116.29
2015-11-10,116.29,116.65,116.31,116.65,127,116.65
2015-11-12,116.65,116.13,116.13,116.13,130,116.13
2015-11-13,116.13,115.03,115.03,115.03,60,115.03
2015-11-19,115.03,117.81,117.81,117.81,22,117.81
2015-11-24,117.81,117.92,117.65,117.65,145,117.65
2015-11-27,117.65,114.68,114.68,114.68,100,114.68
2015-12-07,114.68,113.6,113.6,113.6,5,113.6
2015-12-11,113.6,109,108.23,108.5,493,108.5
2015-12-14,108.5,109.3,108.58,109.3,246,109.3
2015-12-15,109.3,113.04,113.04,113.04,44,113.04
2015-12-16,113.04,114.3,112.18,112.18,917,112.18
2015-12-17,112.18,114.46,114.46,114.46,5,114.46
2015-12-18,114.46,108.5,108.34,108.34,105,108.34
2015-12-21,108.34,106.89,106.89,106.89,93,106.89
2015-12-22,106.89,106.24,105.97,105.97,185,105.97
2015-12-23,105.97,106.56,106.56,106.56,827,106.56
2015-12-28,106.56,106.87,106.87,106.87,230,106.87
2015-12-29,106.87,107.68,107.68,107.68,91,107.68
2015-12-30,107.68,107.02,107.02,107.02,4,107.02
2016-01-06,107.02,99.37,99.37,99.37,15,99.37
2016-01-07,99.37,98.63,98.63,98.63,100,98.63
2016-01-12,98.63,101.8,101.8,101.8,49,101.8
2016-01-19,101.8,94.2,94.2,94.2,95,94.2
2016-01-20,94.2,91.51,91.2,91.2,82,91.2
2016-01-21,91.2,93,93,93,78,93
2016-02-03,93,93.38,93.38,93.38,145,93.38
2016-02-10,93.38,88.96,88.96,88.96,50,88.96
2016-02-17,88.96,96.01,96.01,96.01,50,96.01
2016-03-01,96.01,97.5,97.5,97.5,145,97.5
2016-03-14,97.5,97.85,97.85,97.85,51,97.85
2016-03-17,97.85,98.56,98.56,98.56,15,98.56
2016-03-29,98.56,97.93,97.93,97.93,610,97.93
2016-04-01,97.93,98.99,98.99,98.99,50,98.99
2016-04-07,98.99,97.08,97.08,97.08,156,97.08
2016-04-21,97.08,102.95,102.95,102.95,97,102.95
2016-04-25,102.95,104.23,104.23,104.23,95,104.23
2016-04-26,104.23,104.32,104.32,104.32,70,104.32
2016-04-29,104.32,103,102.66,102.66,95,102.66
2016-05-03,102.66,103.77,103.77,103.77,156,103.77
2016-05-09,103.77,105.28,105.28,105.28,270,105.28
2016-05-10,105.28,106.35,106.35,106.35,88,106.35
2016-05-11,106.35,102.02,102.02,102.02,27,102.02
2016-05-17,102.02,100.5,99.82,99.82,299,99.82
2016-05-20,99.82,99.71,99.71,99.71,20,99.71
2016-05-31,99.71,99,98.9,98.95,466,98.95
2016-06-01,98.95,98.17,98.17,98.17,188,98.17
2016-06-06,98.17,98.96,98.96,98.96,135,98.96
