date,open,high,low,close,volume,adj_close
2020-12-02,114350,114370,113520,114350,60,114350
2020-12-03,114350,116300,116300,114350,1,114350
2020-12-07,114350,115450,115450,114350,1,114350
2020-12-09,114350,116070,116070,114350,1,114350
2020-12-10,114350,116670,114480,116670,6,116670
2020-12-11,114350,129070,129070,129070,18,129070
2020-12-14,114350,126970,126970,126970,70,126970
2020-12-15,126970,126090,126090,126970,1,126970
2020-12-16,126970,128560,128560,126970,38,126970
2020-12-18,126970,126780,126420,126970,6,126970
2020-12-21,126970,125020,125020,126970,5,126970
2020-12-22,126970,125370,125010,125010,84,125010
2020-12-23,125010,125500,124610,125010,5,125010
2020-12-28,125010,128670,125990,125010,13,125010
2020-12-29,125010,129300,126910,126910,9,126910
2020-12-30,125010,128690,128040,128210,72,128210
2021-01-04,128142,129110,129100,128142,6,128142
2021-01-05,128142,125300,125300,128142,1,128142
2021-01-06,128142,127560,127320,128142,4,128142
2021-01-07,128142,127640,126870,128142,5,128142
2021-01-08,128142,127900,127900,127900,5,127900
2021-01-11,128142,129900,129900,128142,1,128142
2021-01-12,128142,130650,128960,128960,9,128960
2021-01-14,128142,131120,131120,128142,2,128142
2021-01-15,128142,127230,127230,128142,1,128142
