date,open,high,low,close,volume,adj_close
2009-06-08,370,385,385,385,10000,385
2009-06-16,385,390,390,390,6817,390
2009-06-23,390,390,390,390,21,390
2009-06-26,390,400,400,400,6317,400
2009-07-03,400,480,480,480,8130,480
2009-07-07,480,480,480,480,120368,480
2009-07-08,480,492,490,492,21100,492
2009-07-09,492,492,492,492,351,492
2009-07-15,492,490,490,490,6411,490
2009-07-17,490,490,490,490,3609,490
2009-07-20,490,500,490,500,5266,500
2009-07-24,500,500,500,500,50160,500
2009-08-04,500,500,500,500,5700,500
2009-08-18,500,500,500,500,1100,500
2009-08-24,500,500,500,500,35410,500
2009-08-25,500,500,500,500,1275,500
2009-09-01,500,500,500,500,1165,500
2009-09-07,500,500,499,500,9540,500
2009-09-10,500,500,500,500,100,500
2009-09-25,500,495,495,495,21049,495
2009-10-07,495,485,485,485,10640,485
2009-10-08,485,470,470,470,10000,470
2009-10-16,470,460,460,460,22301,460
2009-10-19,460,460,460,460,11607,460
2009-10-22,460,460,460,460,2750,460
2009-10-23,460,470,470,470,13096,470
2009-11-03,470,460,460,460,10812,460
2009-11-04,460,460,460,460,24672,460
2009-11-09,460,460,460,460,488,460
2009-11-12,460,450,450,450,3856,450
2009-11-19,450,440.01,440.01,440.01,45000,440.01
2009-11-25,440.01,450,450,450,3354,450
2009-12-11,450,450,450,450,1814,450
2009-12-18,450,450,450,450,454901,450
2009-12-23,450,450,450,450,921,450
2009-12-24,450,450,450,450,11363,450
2009-12-29,450,450,450,450,5062,450
2010-01-04,450,450,450,450,47054,450
2010-01-05,450,450,450,450,34000,450
2010-01-15,450,450,450,450,689,450
2010-01-18,450,450,450,450,30,450
2010-01-20,450,450,450,450,325,450
2010-01-22,450,462,462,462,1793,462
2010-01-27,462,462,462,462,930,462
2010-02-01,462,462,462,462,6268,462
2010-02-04,462,462,462,462,1793,462
2010-02-10,462,460,460,460,33000,460
2010-03-02,460,470,470,470,4166,470
2010-03-09,470,470,470,470,4000,470
2010-03-17,470,460,460,460,5000,460
2010-03-24,460,458.9,458.9,458.9,6317,458.9
2010-04-05,458.9,458.9,458.9,458.9,77,458.9
2010-04-06,458.9,460,460,460,21000,460
2010-04-09,460,460,460,460,6520,460
2010-04-13,460,460,460,460,200000,460
2010-04-21,460,460,460,460,10408,460
2010-04-22,460,455,455,455,10772,455
2010-04-28,455,455,455,455,5,455
2010-05-05,455,455,455,455,10000,455
2010-05-06,455,455,455,455,10000,455
2010-06-09,455,434,429,429,2800,429
2010-06-10,429,425,425,425,9031,425
2010-06-11,425,425,425,425,2003,425
2010-06-18,425,425,425,425,54,425
2010-06-22,425,418.5,418.5,418.5,89820,418.5
2010-06-24,418.5,418.5,418.5,418.5,68,418.5
2010-06-25,418.5,420,420,420,15000,420
2010-06-29,420,424,424,424,1469,424
2010-06-30,424,434,434,434,1000,434
2010-07-12,434,430,430,430,33094,430
2010-07-21,430,430,430,430,150053,430
2010-07-22,430,430,430,430,6629,430
2010-07-23,430,420,420,420,7500,420
2010-07-26,420,420,420,420,90,420
2010-07-27,420,420,420,420,6411,420
2010-07-30,420,420,420,420,63,420
2010-08-03,420,420,420,420,980,420
2010-08-06,420,430,430,430,4167,430
2010-08-09,430,430,430,430,659,430
2010-08-13,430,430,430,430,2276,430
2010-08-17,430,430,430,430,1190,430
2010-08-20,430,445,445,445,4739,445
2010-08-25,445,445,445,445,326,445
2010-08-26,445,445,445,445,3000,445
2010-08-31,445,445,445,445,1167,445
2010-09-02,445,445,445,445,30527,445
2010-09-09,445,445,445,445,1945,445
2010-09-10,445,445,445,445,263,445
2010-09-15,445,445,445,445,1297,445
2010-09-23,445,445,445,445,194,445
2010-09-24,445,445,445,445,132,445
2010-09-27,445,460,460,460,7450,460
2010-09-28,460,465,460,465,12927,465
2010-09-29,465,470,470,470,6000,470
2010-09-30,470,475,475,475,1315,475
2010-10-01,475,475,475,475,1685,475
