date,open,high,low,close,volume,adj_close
2013-07-10,54.88,54.88,54.88,54.88,70,54.88
2013-11-21,54.88,50.57,50.22,50.22,3622,50.22
2013-11-26,50.22,48.47,48.47,48.47,220,48.47
2013-11-27,48.47,49.5,49.5,49.5,198,49.5
2013-12-02,49.5,53,52.32,52.34,2908,52.34
2013-12-16,52.34,52.5,52.5,52.5,198,52.5
2013-12-17,52.5,52.19,52.19,52.19,98,52.19
2014-04-21,52.19,54.68,54.68,54.68,32,54.68
2014-11-03,54.68,52.48,52.48,52.48,114,52.48
2015-01-06,52.48,55.37,55.37,55.37,32,55.37
2015-06-19,55.37,61,61,61,114,61
2017-09-20,61,38.75,38.6,38.6,621,38.6
2018-01-18,38.6,38.54,38.54,38.54,258,38.54
2018-06-15,38.54,38.67,38.67,38.67,258,38.67
2018-08-06,38.67,34.03,34.03,34.03,100,34.03
2018-09-20,34.03,34.1,34.1,34.1,25,34.1
2018-10-23,34.1,27.85,27.85,27.85,75,27.85
2019-04-16,27.85,36.53,36.53,36.53,514,36.53
2019-05-06,36.53,37.8,37.8,37.8,514,37.8
2019-12-27,37.8,36.5,36.5,36.5,295,36.5
2020-01-29,36.5,34.95,34.95,34.95,295,34.95
2020-02-04,34.95,35.01,35.01,34.95,56,34.95
2020-03-31,34.95,30.5,30.5,34.95,10,34.95
2020-04-09,34.95,33.85,33.85,34.95,10,34.95
2020-04-14,34.95,35.83,35.83,34.95,10,34.95
2020-04-17,34.95,37.42,37.42,37.42,320,37.42
2020-04-29,37.42,39.2,39.2,37.42,10,37.42
2020-05-18,37.42,42.78,42.78,37.42,3,37.42
2020-05-20,37.42,43.06,43.06,37.42,3,37.42
2020-06-04,37.42,50.08,49.7,49.85,1000,49.85
2020-06-12,49.85,47.67,47.67,47.67,640,47.67
2020-07-02,47.67,54.42,54.42,47.67,100,47.67
2020-07-07,47.67,57.04,57.04,57.04,350,57.04
2020-07-08,57.04,58.17,57.81,58.17,360,58.17
2020-07-09,58.17,59.02,59.02,59.02,350,59.02
2020-07-23,59.02,55.69,55.69,55.69,350,55.69
2020-07-24,55.69,55.05,55.05,55.05,500,55.05
2020-08-05,55.05,56.4,56.4,55.05,14,55.05
2020-08-31,55.05,54.36,54.36,55.05,110,55.05
2020-09-17,55.05,48.47,48.47,48.47,200,48.47
2020-10-06,48.47,51.21,51.21,51.21,320,51.21
2020-10-13,51.21,56.07,56.07,56.07,100,56.07
2020-10-20,51.21,54.95,54.95,54.95,140,54.95
2020-11-04,54.95,48.2,48.2,48.2,200,48.2
2020-11-05,48.2,49.5,49.5,49.5,1005,49.5
2020-11-12,49.5,46.84,46.84,46.84,820,46.84
2020-11-13,46.84,46.91,46.91,46.84,110,46.84
2020-11-23,46.84,49.51,49.51,46.84,120,46.84
2020-11-27,46.84,51,51,51,1005,51
2020-12-07,51,50.51,50.51,50.51,276,50.51
2021-01-06,50.51,52.23,52.23,52.23,350,52.23
2021-01-13,52.23,55.54,55.54,55.54,276,55.54
