date,open,high,low,close,volume,adj_close
2009-06-03,710,710.01,691,709,381289,709
2009-06-04,709,725,709,721,337304,721
2009-06-05,721,725,719.99,725,257049,725
2009-06-08,729,729,710,720,93032,720
2009-06-09,720,720,705,705.09,119812,705.09
2009-06-10,705.09,710,695.1,700,145977,700
2009-06-11,700,720,701,716,361311,716
2009-06-12,716,720,712,719.97,133989,719.97
2009-06-15,719.97,718,699,712.82,265214,712.82
2009-06-16,712.82,712,705,706,165853,706
2009-06-17,706,710,695,698.6,290573,698.6
2009-06-18,698.6,700,697.99,697.99,47756,697.99
2009-06-19,697.99,698,695,695,101610,695
2009-06-22,695,695,680,685,265696,685
2009-06-23,685,685,661,661,181236,661
2009-06-24,661,671.1,664,668,119834,668
2009-06-25,668,668,660,666.63,515252,666.63
2009-06-26,666.63,680,671,680,32798,680
2009-06-30,680,680,675,679.06,18661,679.06
2009-07-01,679.06,680,679,680,56822,680
2009-07-02,680,671,670,670,95658,670
2009-07-03,670,670,670,670,14316,670
2009-07-06,670,670,665,670,22389,670
2009-07-07,670,670,669.5,670,269006,670
2009-07-08,670,670,660,663,353722,663
2009-07-09,663,680,660,671.59,166180,671.59
2009-07-10,671.59,686,675,685,43169,685
2009-07-13,685,690,690,690,24385,690
2009-07-14,690,691,679.5,679.58,32370,679.58
2009-07-15,679.58,699.9,685,686,149222,686
2009-07-17,686,695,690,695,43410,695
2009-07-20,695,696,690,690,31776,690
2009-07-21,690,697,695,695,68823,695
2009-07-22,695,695,685,685.5,87303,685.5
2009-07-23,685.5,690,684,690,159906,690
2009-07-24,690,700,685,695.34,125070,695.34
2009-07-27,695.34,700.1,695,700,165741,700
2009-07-28,700,698,690,690,130795,690
2009-07-29,690,690,685,685,21995,685
2009-07-30,685,685,679,685,67501,685
2009-07-31,685,686.5,680,685,117819,685
2009-08-03,685,685,678,680.14,189606,680.14
2009-08-04,680.14,700.5,680,700.01,440018,700.01
2009-08-05,700.01,722,700,720.67,846947,720.67
2009-08-06,720.67,722,720,720,392996,720
2009-08-07,720,733.9,720,733.9,397278,733.9
2009-08-10,733.9,734,705,712.72,132410,712.72
2009-08-11,712.72,710,705,710,74327,710
2009-08-12,710,717,710,716.04,99341,716.04
2009-08-13,716.04,724,715.99,724,166312,724
2009-08-14,724,720,710,720,169484,720
2009-08-17,720,729,707,729,146268,729
