date,open,high,low,close,volume,adj_close
2009-06-09,5800,6100,6100,6100,200,6100
2009-06-15,6100,6100,6100,6100,50,6100
2009-06-25,6100,6000,6000,6000,500,6000
2009-07-08,6000,6000,5850,5850,1600,5850
2009-07-17,5850,5900,5900,5900,130,5900
2009-07-21,5900,5900,5900,5900,992,5900
2009-07-24,5900,5900,5900,5900,8,5900
2009-07-27,5900,5900,5900,5900,1992,5900
2009-07-30,5900,5850,5850,5850,973,5850
2009-09-08,5850,5800,5800,5800,177,5800
2009-09-14,5800,5850,5850,5850,82,5850
2009-10-05,5850,5850,5850,5850,1250,5850
2009-10-06,5850,5850,5850,5850,1345,5850
2009-10-14,5850,5850,5850,5850,1000,5850
2009-10-26,5850,6000,6000,6000,328,6000
2009-10-28,6000,6000,6000,6000,20,6000
2009-11-09,6000,5850,5850,5850,200,5850
2009-11-11,5850,5850,5850,5850,240,5850
2009-11-12,5850,5850,5850,5850,29,5850
2009-11-24,5850,5850,5850,5850,1000,5850
2009-12-28,5850,5500,5500,5500,400,5500
2009-12-29,5500,5500,5500,5500,100,5500
2010-01-04,5500,5500,5500,5500,900,5500
2010-01-06,5500,5500,5500,5500,200,5500
2010-01-07,5500,5500,5500,5500,900,5500
2010-01-18,5500,5500,5500,5500,400,5500
2010-01-25,5500,5500,5500,5500,145,5500
2010-01-27,5500,5500,5500,5500,74,5500
2010-02-01,5500,5500,5500,5500,66,5500
2010-02-26,5500,5450,5450,5450,250,5450
2010-04-15,5450,5400,5400,5400,477,5400
2010-05-10,5400,5800,5800,5800,90,5800
2010-05-11,5800,5400,5400,5400,124,5400
2010-05-13,5400,5400,5400,5400,246,5400
2010-05-20,5400,5300,5300,5300,4660,5300
2010-06-03,5300,5300,5300,5300,193,5300
2010-06-04,5300,5300,5300,5300,1000,5300
2010-06-08,5300,5200,5200,5200,755,5200
2010-06-10,5200,5300,5200,5200,9672,5200
2010-06-21,5200,5150,5150,5150,1000,5150
2010-06-23,5150,5150,5150,5150,9100,5150
2010-07-06,5150,5150,5150,5150,3850,5150
2010-07-08,5150,5150,5150,5150,382,5150
2010-08-05,5150,5150,5150,5150,15000,5150
2010-08-10,5150,5150,5150,5150,195,5150
2010-08-13,5150,5150,5150,5150,190,5150
2010-08-26,5150,5095,5095,5095,440,5095
2010-08-27,5095,5095,5095,5095,500,5095
2010-09-22,5095,5095,5095,5095,5,5095
2010-11-08,5095,5000,5000,5000,200,5000
2010-11-09,5000,5000,5000,5000,170,5000
2010-11-10,5000,5000,5000,5000,475,5000
2010-11-17,5000,5000,5000,5000,500,5000
2010-12-01,5000,4950,4950,4950,600,4950
2010-12-07,4950,4995,4995,4995,790,4995
2010-12-20,4995,4995,4995,4995,6290,4995
2010-12-21,4995,4900,4850,4850,400,4850
2011-02-16,4850,5000,5000,5000,500,5000
2011-02-18,5000,5000,5000,5000,300,5000
2011-03-28,5000,5100,5100,5100,500,5100
2011-03-31,5100,5200,5200,5200,458,5200
2011-04-01,5200,5200,5200,5200,180,5200
2011-04-13,5200,5200,5200,5200,85,5200
2011-04-18,5200,5200,5200,5200,2000,5200
2011-04-26,5200,5200,5200,5200,200,5200
2011-05-16,5200,5200,5200,5200,200,5200
2011-05-24,5200,5200,5200,5200,36,5200
2011-05-31,5200,5200,5200,5200,405,5200
2011-06-10,5200,5150,5150,5150,5000,5150
2011-06-30,5150,5125,5125,5125,191,5125
2011-07-07,5125,5095,4900,5095,1400,5095
2011-07-08,5095,4900,4900,4900,212,4900
2011-08-02,4900,4800,4800,4800,100,4800
2011-08-03,4800,4800,4800,4800,1325,4800
2011-08-08,4800,4700,4700,4700,500,4700
2011-08-09,4700,4600,4600,4600,1348,4600
2011-11-21,4600,4621,4621,4621,1000,4621
2011-12-12,4621,4650,4650,4650,935,4650
2012-01-04,4650,4600,4600,4600,1000,4600
2012-01-05,4600,4600,4600,4600,11,4600
2012-01-11,4600,4600,4600,4600,4000,4600
2012-01-13,4600,4600,4600,4600,1989,4600
2012-01-17,4600,4600,4600,4600,1000,4600
2012-01-18,4600,4600,4600,4600,11,4600
2012-01-27,4600,4500,4500,4500,500,4500
2012-01-31,4500,4500,4500,4500,1000,4500
2012-02-03,4500,4500,4500,4500,1000,4500
2012-02-06,4500,4400,4400,4400,650,4400
2012-02-08,4400,4500,4400,4400,1295,4400
2012-02-24,4400,4300,4300,4300,300,4300
2012-02-28,4300,4300,4300,4300,330,4300
2012-03-07,4300,4200,4200,4200,200,4200
2012-03-08,4200,4200,4200,4200,66,4200
2012-03-16,4200,4200,4200,4200,1076,4200
2012-03-26,4200,4000,4000,4000,234,4000
2012-03-28,4000,4000,4000,4000,12,4000
2012-04-03,4000,4000,4000,4000,225,4000
2012-04-09,4000,4000,4000,4000,12000,4000
2012-04-10,4000,3900,3900,3900,120,3900
2012-04-11,3900,3800,3800,3800,120,3800
2012-04-24,3800,3800,3800,3800,250,3800
2012-04-30,3800,3800,3800,3800,48,3800
2012-05-07,3800,3800,3800,3800,384,3800
2012-05-08,3800,3700,3700,3700,250,3700
2012-05-15,3700,3700,3700,3700,13,3700
2012-05-17,3700,3700,3700,3700,3,3700
2012-05-18,3700,3700,3700,3700,52,3700
2012-05-25,3700,3650,3650,3650,238,3650
2012-05-28,3650,3650,3650,3650,100,3650
2012-05-29,3650,3600,3600,3600,864,3600
2012-05-31,3600,3600,3600,3600,136,3600
2012-06-01,3600,3600,3600,3600,500,3600
2012-06-04,3600,3600,3600,3600,28,3600
2012-06-07,3600,3600,3600,3600,199,3600
2012-06-11,3600,3600,3600,3600,716,3600
2012-06-12,3600,3600,3600,3600,138,3600
2012-06-19,3600,3575,3575,3575,195,3575
2012-06-25,3575,3580,3580,3580,167,3580
2012-06-26,3580,3575,3575,3575,500,3575
2012-06-29,3575,3500,3500,3500,400,3500
2012-07-04,3500,3500,3500,3500,400,3500
2012-07-09,3500,3400,3400,3400,800,3400
2012-07-10,3400,3400,3400,3400,400,3400
2012-07-24,3400,3300,3300,3300,1868,3300
2012-08-08,3300,3100,3100,3100,3000,3100
2012-08-09,3100,3100,3100,3100,1020,3100
2012-08-10,3100,3100,3100,3100,3338,3100
2012-08-14,3100,3100,3100,3100,1800,3100
2012-08-20,3100,3100,3100,3100,630,3100
2012-08-21,3100,3100,3100,3100,1640,3100
2012-08-23,3200,3200,3200,3200,4500,3200
2012-08-28,3200,3300,3300,3300,182,3300
2012-08-29,3300,3200,3200,3200,231,3200
2012-08-30,3200,3200,3200,3200,419,3200
2012-08-31,3200,3200,3200,3200,481,3200
2012-09-03,3200,3200,3200,3200,755,3200
2012-09-04,3200,3200,3200,3200,861,3200
2012-09-05,3200,3200,3200,3200,1139,3200
2012-09-07,3200,3250,3250,3250,156,3250
2012-09-11,3250,3250,3250,3250,500,3250
2012-09-12,3250,3250,3250,3250,5519,3250
2012-09-25,3250,3250,3250,3250,2500,3250
2012-09-28,3250,3250,3250,3250,1000,3250
2012-10-03,3250,3250,3250,3250,1000,3250
2012-10-23,3250,3300,3300,3300,500,3300
2012-10-24,3300,3250,3250,3250,1000,3250
2012-10-30,3250,3300,3300,3300,7353,3300
2012-10-31,3300,3300,3300,3300,1520,3300
2012-11-08,3300,3300,3300,3300,10,3300
2012-11-19,3300,3500,3400,3400,766,3400
2012-11-20,3400,3400,3400,3400,131,3400
2012-11-27,3400,3400,3400,3400,83,3400
2012-11-29,3400,3400,3400,3400,30,3400
2012-12-12,3400,3500,3500,3500,1000,3500
2012-12-14,3500,3500,3500,3500,294,3500
2012-12-24,3500,3400,3400,3400,800,3400
2013-01-02,3400,3500,3500,3500,1500,3500
2013-01-09,3500,3510,3510,3510,1210,3510
2013-01-10,3510,3505,3500,3500,2477,3500
2013-01-11,3500,3500,3500,3500,31,3500
2013-01-21,3500,3500,3500,3500,500,3500
2013-01-25,3500,3500,3500,3500,100,3500
2013-02-04,3500,3410,3410,3410,2000,3410
2013-02-06,3410,3500,3500,3500,1000,3500
2013-02-19,3500,3500,3500,3500,11,3500
2013-02-25,3500,3500,3500,3500,980,3500
2013-02-27,3500,3500,3500,3500,20,3500
2013-02-28,3500,3500,3500,3500,2880,3500
2013-03-11,3500,3600,3600,3600,5486,3600
2013-03-18,3600,3600,3600,3600,500,3600
2013-03-19,3600,3600.1,3600.1,3600.1,645,3600.1
2013-03-21,3600.1,3650,3650,3650,488,3650
2013-04-12,3650,3900,3900,3900,989,3900
2013-04-15,3900,3900,3900,3900,1027,3900
2013-04-24,3900,3900,3900,3900,2000,3900
2013-04-25,3900,3900,3900,3900,1000,3900
2013-04-29,3900,3900,3900,3900,3534,3900
2013-05-06,3900,3900,3900,3900,1000,3900
2013-05-08,3900,3900,3900,3900,2578,3900
2013-05-13,3900,4000,4000,4000,550,4000
2013-05-14,4000,4000,4000,4000,450,4000
2013-05-16,4000,4000,4000,4000,125,4000
2013-05-17,4000,4500,4500,4000,125,4000
2013-05-28,4000,4200,4200,4200,625,4200
2013-06-06,4200,4400,4400,4400,1000,4400
2013-06-17,4400,4400,4400,4400,12000,4400
2013-06-19,4400,4500,4500,4500,411,4500
2013-07-11,4500,4500,4500,4500,1000,4500
2013-07-19,4500,4360,4360,4360,554,4360
2013-07-29,4360,4410,4400,4400,364,4400
2013-08-06,4400,4405,4400,4400,2258,4400
2013-08-22,4400,4400,4400,4400,630,4400
2013-09-02,4400,4400,4400,4400,150,4400
2013-09-03,4400,4400,4400,4400,225,4400
2013-09-26,4400,4400.1,4400,4400.1,1400,4400.1
2013-10-11,4400.1,4400.1,4400.1,4400.1,2500,4400.1
2013-10-25,4400.1,4407,4407,4407,500,4407
2013-11-06,4407,4407.1,4407.1,4407.1,600,4407.1
2013-11-15,4407.1,4408,4408,4408,500,4408
2013-11-19,4408,4400,4400,4400,500,4400
2013-11-20,4400,4420,4420,4420,400,4420
2013-11-21,4420,4400,4400,4400,3000,4400
2013-12-17,4400,4400,4400,4400,400,4400
2013-12-18,4400,4400,4400,4400,700,4400
2014-01-02,4400,4400,4300,4300,2888,4300
2014-01-14,4300,4300,4300,4300,300,4300
2014-01-20,4300,4303,4302,4303,1191,4303
2014-01-22,4303,4303,4303,4303,1000,4303
2014-01-27,4303,4303,4303,4303,67,4303
2014-01-30,4303,4400,4400,4400,433,4400
2014-02-17,4400,4400,4400,4400,8873,4400
2014-03-13,4400,4400,4400,4400,25189,4400
2014-03-19,4400,4399,4399,4399,3200,4399
2014-03-26,4399,4399,4399,4399,1000,4399
2014-03-28,4399,4399,4399,4399,5047,4399
2014-03-31,4399,4399,4399,4399,8764,4399
2014-04-11,4399,4399,4399,4399,454,4399
2014-04-17,4399,4415,4393,4415,8260,4415
2014-04-25,4415,4414.9,4414.9,4414.9,10000,4414.9
2014-05-15,4414.9,4330,4330,4330,535,4330
2014-05-27,4330,4350,4350,4350,2000,4350
2014-05-30,4350,4360,4360,4360,900,4360
2014-06-06,4360,4360,4360,4360,172,4360
2014-06-13,4360,4360,4360,4360,500,4360
2014-06-27,4360,4200,4200,4200,7673,4200
2014-07-09,4200,4200,4200,4200,350,4200
2014-07-17,4200,4200,4200,4200,295,4200
2014-07-31,4200,4100,4100,4100,200,4100
2014-08-14,4100,4099.9,4099.9,4099.9,13000,4099.9
2014-08-22,4099.9,4200,4200,4200,886,4200
2014-08-25,4200,4200,4200,4200,1000,4200
2014-08-26,4200,4200,4200,4200,500,4200
2014-09-01,4200,3900,3900,3900,650,3900
2014-09-02,3900,3900.1,3900.1,3900.1,3000,3900.1
2014-09-30,3900.1,4130,4130,4130,883,4130
2014-10-01,4130,4130,4130,4130,100,4130
2014-10-17,4130,4130,4130,4130,552,4130
2014-10-28,4130,4130,4130,4130,883,4130
2014-10-29,4130,4130,4130,4130,294,4130
2014-11-14,4130,4130,4130,4130,1000,4130
2014-12-01,4130,4130,4130,4130,303,4130
2014-12-02,4130,4130,4130,4130,100,4130
2014-12-12,4130,4130,4130,4130,31066,4130
2014-12-22,4130,4001,4001,4001,583,4001
2014-12-24,4001,4100,4100,4100,783,4100
2014-12-26,4100,4130,4130,4130,500,4130
2015-03-03,4130,4100,4100,4100,5000,4100
2015-03-18,4100,4100,4100,4100,65,4100
2015-03-24,4100,4100,4100,4100,65,4100
2015-04-29,4100,4100,4100,4100,1000,4100
2015-07-07,4100,4100,4100,4100,1000,4100
2015-07-15,4100,4100,4100,4100,2000,4100
2015-08-03,4100,4100,4100,4100,100,4100
2015-08-05,4100,4206,4206,4206,600,4206
2015-08-19,4206,4231,4231,4231,574,4231
2015-08-31,4231,4231,4231,4231,189,4231
2015-09-28,4231,4231,4231,4231,10000,4231
2015-10-23,4231,4225,4225,4225,5576,4225
2015-10-26,4225,4225,4225,4225,125,4225
2015-10-29,4225,4225,4225,4225,112,4225
2015-12-03,4225,4250,4250,4250,40000,4250
2016-01-08,4250,4250,4250,4250,572,4250
2016-01-12,4250,4256,4256,4256,500,4256
2016-02-09,4256,4261,4261,4261,500,4261
2016-03-01,4261,4500,4500,4500,1000,4500
2016-03-03,4500,4700,4700,4700,1000,4700
2016-03-04,4700,4700,4700,4700,2000,4700
2016-03-18,4700,4900,4900,4900,535,4900
2016-03-29,4900,4900,4900,4900,96,4900
2016-03-31,4900,4900,4900,4900,20,4900
2016-04-05,4900,5000,4980,5000,1884,5000
2016-04-26,5000,5000,5000,5000,1116,5000
2016-05-05,5000,5003,5000,5000,2750,5000
2016-05-20,5000,5000,5000,5000,2125,5000
2016-05-23,5000,5100,5100,5100,2125,5100
2016-05-27,5100,5050,5050,5050,500,5050
2016-06-02,5050,5150,5100,5100,2930,5100
2016-06-07,5100,5100,5100,5100,5,5100
2016-06-30,5100,5000.1,5000.1,5000.1,600,5000.1
2016-08-04,5000.1,5500,5500,5500,995,5500
2016-08-05,5500,5500,5500,5500,1000,5500
2016-08-16,5500,5501,5500,5500,17000,5500
2016-08-23,5500,5500,5500,5500,1325,5500
2016-08-26,5500,5000.1,5000.1,5000.1,7000,5000.1
2016-09-02,5000.1,5010,5010,5010,3590,5010
2016-09-21,5010,5500,5500,5500,181,5500
2016-09-23,5500,5500,5500,5500,363,5500
2016-09-27,5500,5500,5500,5500,1000,5500
2016-09-29,5500,5500,5500,5500,300,5500
2016-10-03,5500,5500,5500,5500,337,5500
2016-10-05,5500,5500,5500,5500,134,5500
2016-10-19,5600,5600,5600,5600,3700,5600
2016-10-21,5600,5600,5600,5600,4519,5600
2016-11-17,5600,5600,5600,5600,6,5600
2016-11-21,5600,5600,5600,5600,20,5600
2016-12-01,5600,5680,5680,5680,1200,5680
2016-12-02,5680,5680,5680,5680,1487,5680
2016-12-20,5680,5755,5755,5755,100,5755
2016-12-26,5755,5800,5800,5800,450,5800
2017-01-03,5800,5820,5820,5820,100,5820
2017-01-04,5820,5821,5821,5821,2000,5821
2017-01-16,5821,6000,6000,6000,1000,6000
2017-01-17,6000,5990,5990,5990,175,5990
2017-01-18,5990,6000,6000,6000,10000,6000
2017-01-19,6000,6000,6000,6000,292,6000
2017-02-09,6000,5800,5800,5800,390,5800
2017-02-24,5800,5900,5900,5900,100,5900
2017-02-27,5900,5900,5900,5900,181,5900
2017-02-28,5900,5800,5800,5800,96,5800
2017-03-01,5800,5800,5800,5800,100,5800
2017-03-07,5800,5900,5900,5900,112,5900
2017-03-08,5900,6000,6000,6000,1000,6000
2017-03-09,6000,5900,5900,5900,2000,5900
2017-03-13,5900,5810,5810,5810,371,5810
2017-03-21,5810,5900,5900,5900,1000,5900
2017-03-29,5900,5900,5900,5900,1000,5900
2017-03-30,5900,5900,5900,5900,1000,5900
2017-04-03,5900,6000,5900,6000,3891,6000
2017-05-02,6000,6000,6000,6000,1000,6000
2017-05-12,6000,6100,6100,6100,9932,6100
2017-05-26,6100,6100,6100,6100,5182,6100
2017-07-31,6100,6100,6100,6100,500,6100
2017-08-07,6100,6100,6100,6100,1800,6100
2017-08-23,6100,6250,6250,6250,1550,6250
2017-08-29,6250,6250,6250,6250,500,6250
2017-10-04,6250,6250,6250,6250,24,6250
2017-10-05,6250,6250,6250,6250,10,6250
2017-11-16,6250,6500,6500,6500,3000,6500
2017-11-27,6500,6500,6500,6500,650,6500
2017-11-28,6500,6500,6500,6500,130,6500
2017-12-06,6500,6500,6500,6500,2000,6500
2018-02-06,6500,6800,6800,6800,220,6800
2018-02-09,6800,6800,6800,6800,230,6800
2018-02-14,6800,6800,6800,6800,960,6800
2018-02-19,6800,6800,6800,6800,70,6800
2018-03-21,6800,6800,6800,6800,1000,6800
2018-03-27,6800,6800,6800,6800,160,6800
2018-04-05,6800,6800,6800,6800,100,6800
2018-04-06,6800,6800,6800,6800,454,6800
2018-04-23,6800,6800,6800,6800,160,6800
2018-05-03,6800,6800,6800,6800,500,6800
2018-05-07,6800,6800,6800,6800,590,6800
2018-05-08,6800,6800,6800,6800,500,6800
2018-06-12,6800,6501,6501,6501,1800,6501
2018-06-14,6501,6501,6500.5,6501,2000,6501
2018-06-19,6501,6400.5,6400.5,6400.5,1000,6400.5
2018-06-27,6400.5,6400.5,6400.5,6400.5,76,6400.5
2018-07-03,6400.5,6400,6400,6400,1000,6400
2018-07-04,6400,6400,6400,6400,2230,6400
2018-07-09,6400,6300,6300,6300,9600,6300
2018-07-11,6300,6300,6300,6300,10,6300
2018-07-30,6300,6300,6300,6300,10,6300
2018-08-07,6300,5010.1,5010.1,5010.1,9768,5010.1
2018-08-10,5010.1,5300.1,5300.1,5300.1,2990,5300.1
2018-10-22,5300.1,5300,5300,5300,150,5300
2018-11-29,5300,5500,5500,5500,106,5500
2018-12-18,5500,5700,5700,5700,500,5700
2018-12-27,5700,5700,5700,5700,1000,5700
2019-01-02,5700,5700,5700,5700,5000,5700
2019-02-07,5700,5700,5700,5700,107,5700
2019-02-19,5700,5700,5700,5700,9000,5700
2019-03-08,5700,5700,5700,5700,600,5700
2019-03-12,5700,5500,5500,5700,140,5700
2019-04-08,5700,5500,5500,5700,300,5700
2019-04-16,5700,5700,5700,5700,1255,5700
2019-04-22,5700,5700,5700,5700,107,5700
2019-04-24,5700,5700,5600,5700,823,5700
2019-04-29,5700,5650,5650,5700,325,5700
2019-05-22,5700,5700,5700,5700,100,5700
2019-05-31,5700,5700,5700,5700,50,5700
2019-06-06,5700,5600,5600,5700,300,5700
2019-06-11,5700,5600,5600,5600,8983,5600
2019-06-20,5600,5650,5650,5600,100,5600
2019-06-24,5600,5500,5500,5500,1300,5500
2019-07-19,5500,5500,5500,5500,370,5500
2019-08-06,5500,5400,5400,5400,200,5400
2019-08-14,5400,5400,5400,5400,602,5400
2019-08-29,5400,5400,5400,5400,2000,5400
2019-10-22,5400,5400,5400,5400,0,5400
2019-11-19,5400,5400,5400,5400,20,5400
2019-11-20,5400,5400,5400,5400,20,5400
2019-11-21,5400,5400,5400,5400,0,5400
2019-11-23,5400,5400,5400,5400,0,5400
2019-12-12,5400,5400,5400,5400,777,5400
2019-12-20,5400,5400,5400,5400,0,5400
2020-02-26,5400,5400,5400,5400,230,5400
2020-03-31,5400,5400,5400,5400,242,5400
2020-04-04,5400,5400,5400,5400,0,5400
2020-04-06,5400,5400,5400,5400,8,5400
2020-04-09,5400,5400,5400,5400,0,5400
2020-04-18,5400,5400,5400,5400,0,5400
2020-04-20,5400,6000,6000,6000,2000,6000
2020-05-07,6000,6000,6000,6000,80,6000
2020-05-16,6000,6000,6000,6000,0,6000
2020-07-10,6000,6000,6000,6000,400,6000
2020-08-07,6000,6000,6000,6000,500,6000
2020-08-17,6000,6000,6000,6000,3658,6000
2020-08-18,6000,6000,6000,6000,165,6000
2020-08-25,6000,6000,6000,6000,12,6000
2020-09-22,6000,6100,6100,6100,1000,6100
2020-10-13,6100,6100,6100,6100,488,6100
