date,open,high,low,close,volume,adj_close
2009-06-03,530,530,530,530,60000,530
2009-06-04,530,530,530,530,204,530
2009-06-10,530,545,535,545,22069,545
2009-06-19,545,545.01,545.01,545.01,9600,545.01
2009-06-23,545.01,545.01,545.01,545.01,53905,545.01
2009-06-25,545.01,565,565,565,202968,565
2009-06-26,565,565,565,565,2484,565
2009-06-30,565,565,565,565,5725,565
2009-07-01,565,565,565,565,53000,565
2009-07-02,565,565,565,565,177444,565
2009-07-07,565,565,565,565,24300,565
2009-07-09,565,575,565,565,12000,565
2009-07-15,565,575,570,575,8037,575
2009-07-22,575,565,565,565,25000,565
2009-07-24,565,565,565,565,4738,565
2009-07-28,565,565,565,565,1274335,565
2009-08-04,565,545,545,545,2173,545
2009-08-10,545,565,565,565,710000,565
2009-08-13,565,565,565,565,355485,565
2009-08-18,565,565,565,565,306,565
2009-08-19,565,580,580,580,6035,580
2009-08-20,580,580,580,580,306,580
2009-09-22,580,580,580,580,100000,580
2009-09-24,580,580,580,580,57651,580
2009-09-30,580,600,600,600,5672,600
2009-10-06,600,600,600,600,13000,600
2009-10-08,600,600,600,600,166000,600
2009-10-14,600,600,600,600,20000,600
2009-10-15,600,600,600,600,500000,600
2009-10-16,600,600,600,600,25000,600
2009-10-21,600,600,600,600,65978,600
2009-11-17,600,600,600,600,8000,600
2009-12-03,600,600,599.99,600,11242,600
2009-12-09,600,600,580,580,9122,580
2009-12-10,580,600,600,600,3000,600
2009-12-15,600,600,600,600,8300,600
2009-12-18,600,590,585,585,7048,585
2009-12-22,585,590,590,590,83402,590
2010-01-05,590,590,590,590,76651,590
2010-01-06,590,590,580,580,713537,580
2010-01-11,580,585.1,585.1,585.1,18310,585.1
2010-01-20,585.1,600,600,600,14349,600
2010-01-21,600,605,605,605,165806,605
2010-01-25,605,605.1,600,600,26002,600
2010-01-26,600,630,630,630,34356,630
2010-02-03,630,656,650,655,165525,655
2010-02-09,655,655,655,655,1414,655
2010-02-15,655,645,645,645,16550,645
2010-02-17,645,655,655,655,610686,655
2010-03-10,655,655,655,655,1265,655
2010-03-22,655,655,655,655,6085,655
2010-04-05,655,655,655,655,27515,655
2010-04-16,655,625,625,625,4613,625
2010-04-19,625,625,625,625,2000,625
2010-04-20,625,655,625,655,50956,655
2010-05-05,655,650,650,650,97530,650
2010-05-06,650,650,650,650,3165,650
2010-05-26,650,620,620,620,10000,620
2010-05-28,620,620,601,620,46735,620
2010-06-04,620,600.1,600.1,600.1,1300000,600.1
2010-06-08,600.1,600,600,600,43256,600
2010-06-09,600,606,606,606,190000,606
2010-06-14,606,606,606,606,3105,606
2010-06-15,606,615,615,615,111100,615
2010-06-18,615,620,620,620,37500,620
2010-06-21,620,649.9,649.9,649.9,10204,649.9
2010-06-24,649.9,650,650,650,4600,650
2010-07-08,650,655,650,655,125578,655
2010-07-14,655,655,655,655,622,655
2010-07-15,655,655,655,655,500,655
2010-07-19,655,664,664,664,6085,664
2010-07-21,664,664,664,664,1478,664
2010-07-22,664,700,700,700,25262,700
2010-07-29,700,721,720,720,54890,720
2010-07-30,720,722,722,722,15372,722
2010-08-05,722,740,730,740,20000,740
2010-08-09,740,760,745,760,15000,760
2010-08-10,760,770,770,770,12366,770
2010-08-20,770,785,785,785,5800,785
2010-08-23,785,785,785,785,11000,785
2010-08-24,785,785,785,785,6000,785
2010-08-25,785,790,785,790,11000,790
2010-08-26,790,792.5,785,792.5,10730,792.5
2010-08-27,792.5,811,797,811,13460,811
2010-08-30,811,820,812.5,820,13000,820
2010-08-31,820,828,820,820,16000,820
2010-09-01,820,825,825,825,6000,825
2010-09-02,825,825,825,825,6000,825
2010-09-03,825,830,825,825,16330,825
2010-09-06,825,825,825,825,6000,825
2010-09-07,825,825,825,825,6000,825
2010-09-08,825,825,825,825,7000,825
2010-09-09,825,825,825,825,6000,825
2010-09-10,825,825,825,825,6000,825
2010-09-13,825,825,825,825,24000,825
2010-09-14,825,825,825,825,462923,825
2010-09-27,825,808,808,808,422971,808
2010-09-29,808,815,815,815,4613,815
2010-09-30,815,815,815,815,400,815
2010-10-01,815,829.99,829.99,829.99,1183,829.99
2010-10-06,829.99,814.99,814.99,814.99,26000,814.99
2010-10-07,814.99,814.99,814.99,814.99,8025,814.99
2010-10-08,814.99,814.99,814.99,814.99,250,814.99
2010-10-14,814.99,820,812,820,54867,820
2010-10-18,820,830,830,830,3799,830
2010-10-28,830,820,820,820,2000,820
2010-11-03,820,825,825,825,18000,825
2010-11-10,825,820,819,820,5799,820
2010-11-12,820,820,820,820,10000,820
2010-11-22,820,826,825,825,12000,825
2010-11-24,825,830,825,830,21372,830
2010-11-25,830,830,830,830,150827,830
2010-11-26,830,830,830,830,70,830
2010-11-30,830,840,840,840,12500,840
2010-12-17,840,839.9,839.9,839.9,50000,839.9
2010-12-21,839.9,880,880,880,2000,880
2011-01-03,880,885,877,885,395862,885
2011-01-04,885,885,885,885,91632,885
2011-01-05,885,885,885,885,19272,885
2011-01-06,885,885,885,885,483,885
2011-01-07,885,890,890,890,11982,890
2011-01-10,890,890,885,890,3734,890
2011-01-13,890,889.99,889.99,889.99,9543,889.99
2011-01-19,889.99,890,890,890,3300,890
2011-01-20,890,889.99,889.99,889.99,7607,889.99
2011-01-21,889.99,887.8,887.8,887.8,5681,887.8
2011-02-03,887.8,850,850,850,26014,850
2011-02-10,850,850,850,850,2379,850
2011-02-16,850,850,850,850,353327,850
2011-02-17,850,850,850,850,1800,850
2011-02-21,850,841,841,850,13660,850
2011-03-04,850,820,820,850,18000,850
2011-03-09,850,800,800,800,60919,800
2011-03-14,800,800,800,800,21802,800
2011-03-15,800,800,800,800,933,800
2011-03-16,800,800,800,800,12500,800
2011-03-17,800,800,800,800,3364,800
2011-03-22,800,800,800,800,9885,800
2011-03-23,800,800,800,800,1242,800
2011-03-28,800,800,800,800,472,800
2011-03-31,800,800,800,800,419,800
2011-04-04,800,800.01,800.01,800.01,212216,800.01
2011-04-06,800.01,820,800.02,820,27394,820
2011-04-11,820,820,820,820,40000,820
2011-04-28,820,780,780,780,9000,780
2011-04-29,780,820,790,820,20000,820
2011-05-03,820,810,790,810,16000,810
2011-05-06,810,800,780,800,21381,800
2011-05-09,800,800,800,800,6300,800
2011-05-11,800,800,800,800,1000,800
2011-05-12,800,810,805,810,8519,810
2011-05-18,810,809.99,809.99,809.99,15778,809.99
2011-05-24,809.99,809.99,809.99,809.99,20,809.99
2011-05-26,809.99,800,800,800,1000,800
2011-06-02,800,799,799,799,12200,799
2011-06-03,799,798,790,790,9168,790
2011-06-06,790,810,810,810,5500,810
2011-06-07,810,809,809,809,5502,809
2011-06-08,809,808.9,808.9,808.9,12362,808.9
2011-06-09,808.9,808,808,808,12401,808
2011-06-10,808,807,807,807,12380,807
2011-06-14,807,808,808,808,12405,808
2011-06-15,808,805,805,805,12700,805
2011-06-17,805,804,804,804,25000,804
2011-06-21,804,799,799,799,21200,799
2011-06-24,799,798,798,798,65000,798
2011-06-29,798,789,789,789,25801,789
2011-07-05,789,788,788,788,6371,788
2011-07-08,788,780,780,780,1000,780
2011-07-12,780,780,780,780,1000,780
2011-07-18,780,749,749,749,16000,749
2011-07-19,749,725,725,725,8320,725
2011-07-21,725,725,725,725,130715,725
2011-07-29,725,790,790,790,6946,790
2011-08-08,790,790,790,790,12926,790
2011-08-19,790,788,788,788,11421,788
2011-08-23,788,789,789,789,10160,789
2011-08-26,789,788,788,788,12000,788
2011-09-05,788,785,785,785,138534,785
2011-09-07,785,780,780,780,1500,780
2011-09-13,780,780,780,780,500,780
2011-10-04,780,770,770,770,10000,770
2011-10-13,770,789,789,789,6971,789
2011-10-14,789,789,789,789,1000,789
2011-10-17,789,789,789,789,1000,789
2011-10-18,789,788.9,788.9,788.9,7200,788.9
2011-11-10,788.9,784.9,784.9,784.9,10200,784.9
2011-11-18,784.9,778.9,778.9,778.9,12000,778.9
2011-11-28,778.9,778.9,778.9,778.9,24694,778.9
2011-12-09,778.9,770,770,778.9,120881,778.9
2011-12-16,778.9,778.9,778.9,778.9,15,778.9
2011-12-23,778.9,778,770,778,7000,778
2011-12-26,778,778,725,725,128999,725
2011-12-27,725,724.9,724.9,724.9,2071179,724.9
2012-03-27,724.9,700,700,700,25000,700
2012-04-11,700,690,690,690,10000,690
