date,open,high,low,close,volume,adj_close
2012-08-03,280,284.9,275,278.11,172303200,278.11
2012-08-06,282,282,270,273,635803,273
2012-08-07,273,272,270,271.9,675339,271.9
2012-08-08,271.9,270,265,268.99,228344,268.99
2012-08-09,268.99,268.99,267,267,144151,267
2012-08-10,267,268.99,264,268.99,507722,268.99
2012-08-13,268.99,271,266.5,271,323775,271
2012-08-14,271,274,273,273.98,196680,273.98
2012-08-16,273.98,278,276,277,305627,277
2012-08-17,277,282,277,282,225932,282
2012-08-23,282,278,278,278,42000,278
2012-08-24,278,279,278,279,134528,279
2012-08-27,279,279,279,279,1079,279
2012-09-03,279,275,275,275,10211,275
2012-09-04,275,271,271,271,26300,271
2012-09-07,271,267,267,267,21382,267
2012-09-10,267,267,267,267,15116,267
2012-09-11,267,270.5,269,270.5,127291,270.5
2012-09-12,270.5,271,270.5,271,61358,271
2012-09-13,271,280,274,280,127131,280
2012-09-14,280,286,282,284,1982644,284
2012-09-21,284,290,281,286,813295,286
2012-09-24,286,283,283,283,64146,283
2012-09-25,283,284,281.99,283.52,1387380,283.52
2012-09-26,283.52,284,283.9,284,1053890,284
2012-09-27,284,284,283.95,284,1756340,284
2012-09-28,284,285,284,285,1765377,285
2012-10-01,285,284,284,284,446292,284
2012-10-04,284,288.01,284,288.01,2123545,288.01
2012-10-08,288.01,292.2,290,290.71,266788,290.71
2012-10-09,290.71,292,290,292,1148361,292
2012-10-10,292,293,292,293,461486,293
2012-10-11,293,293,293,293,250000,293
2012-10-12,293,293,293,293,174696,293
2012-10-16,293,295,295,295,45116,295
2012-10-18,295,295.01,295,295.01,204157,295.01
2012-10-19,295.01,295.01,295,295.01,70472,295.01
2012-10-22,295.01,295,295,295,144008,295
2012-10-23,295,294,294,294,33156,294
2012-10-24,294,297,295.01,297,385816,297
2012-10-25,297,299,299,299,111972,299
2012-10-26,299,299,298.9,299,169346,299
2012-10-29,299,303.4,303.4,303.4,35652,303.4
2012-10-30,303.4,309,303,309,1681432,309
2012-11-05,309,313,313,313,59400,313
2012-11-06,313,315.01,314,315.01,534713,315.01
2012-11-07,315.01,318.01,318,318,56667,318
2012-11-08,318,320,320,320,9800,320
2012-11-12,320,325,325,325,1230858,325
2012-11-13,325,337,336.8,337,65875,337
2012-11-14,337,340,340,340,197656,340
2012-11-15,340,341,341,341,53027,341
2012-11-16,341,350,345,350,648730,350
2012-11-19,350,350.2,350,350,783151,350
2012-11-20,350,350,349,350,97544,350
2012-11-21,350,350,350,350,21385,350
2012-11-22,350,350,349,350,49322,350
2012-11-26,350,350,350,350,107451,350
2012-11-27,350,345,345,345,10930,345
2012-11-30,345,365,345,365,1509028,365
2012-12-03,365,365,365,365,1536,365
2012-12-04,365,364.1,362,364,397293,364
2012-12-05,364,365,363.99,365,600989,365
2012-12-10,365,365,364,364,285482,364
2012-12-11,364,364,364,364,27400,364
2012-12-12,364,375,375,364,2000,364
2012-12-18,364,366,364,364,80364,364
2012-12-20,364,363,362.8,362.8,32105,362.8
2012-12-21,362.8,363,362.99,363,75000,363
2012-12-26,363,365,365,365,100000,365
2012-12-27,365,364,364,364,350000,364
2012-12-28,364,365,365,365,24567,365
2013-01-02,365,364,360,364,125000,364
2013-01-04,364,361,359,360.43,64554,360.43
2013-01-08,360.43,355,355,355,16536,355
2013-01-09,355,355,355,355,6000,355
2013-01-14,355,355,355,355,1,355
2013-01-16,355,351,350,351,343933,351
2013-01-17,351,350,350,350,51319,350
2013-01-18,350,350.01,350.01,350.01,401269,350.01
2013-01-23,350.01,350,350,350,6248,350
2013-01-24,350,350,350,350,9000,350
2013-01-28,350,365,355,365,289308,365
2013-01-29,365,360.01,360,360,15409,360
2013-01-30,360,360,360,360.28,14266,360.28
2013-02-01,360.28,360.28,360.28,360.28,4096,360.28
2013-02-04,360.28,359.9,359.9,359.9,2777,359.9
2013-02-05,359.9,365,360,365,24000,365
2013-02-06,365,365,364,365,14300,365
2013-02-08,365,365,365,365,12000,365
