date,open,high,low,close,volume,adj_close
2009-06-05,5400,5400,5400,5400,5250,5400
2009-06-11,5501,5505,5501,5505,5247,5505
2009-06-17,5505,5505,5505,5505,2750,5505
2009-06-22,5505,5505,5505,5505,3159,5505
2009-07-08,5505,5000,5000,5000,1000,5000
2009-07-09,5000,5500,5500,5500,4700,5500
2009-07-28,5500,5900,5900,5900,6370,5900
2009-07-29,5900,5900,5900,5900,1000,5900
2009-07-31,5900,5900,5900,5900,100,5900
2009-08-05,5900,5900,5900,5900,170,5900
2009-08-12,5900,5900,5900,5900,855,5900
2009-08-17,5900,5900,5900,5900,206,5900
2009-08-18,5900,5650,5650,5650,5076,5650
2009-08-19,5650,5650,5650,5650,180,5650
2009-09-04,5650,6000,5700,5700,831,5700
2009-09-10,5700,6000,6000,6000,6263,6000
2009-09-15,6000,6000,5999,6000,4992,6000
2009-09-23,6000,6000,5999,6000,5129,6000
2009-09-30,6000,5900,5900,5900,157,5900
2009-10-01,5900,6010,6010,6010,78364,6010
2009-10-14,6010,6020,6000,6000,6264,6000
2009-10-21,6000,6000,6000,6000,2026,6000
2009-10-28,6000,6000,6000,6000,18,6000
2009-10-30,6000,6050,6050,6050,2000,6050
2009-11-02,6050,6050,6050,6050,17000,6050
2009-11-18,6050,6050,6050,6050,4500,6050
2009-11-23,6050,6050,6050,6050,9000,6050
2009-11-24,6050,6050,6050,6050,3400,6050
2009-11-25,6050,6050,6050,6050,3400,6050
2009-11-30,6050,6050,6045,6050,6185,6050
2009-12-02,6050,6050,6050,6050,82,6050
2009-12-10,6050,6000,6000,6000,1000,6000
2010-01-04,6000,6015,6015,6015,1588,6015
2010-01-19,6015,6015,6015,6015,1469,6015
2010-01-21,6015,6200,6200,6200,1430,6200
2010-01-27,6200,6200,6199,6200,403,6200
2010-01-29,6200,6199.9,6199.9,6199.9,5161,6199.9
2010-02-08,6199.9,6150,6150,6150,258,6150
2010-02-09,6150,6150,6149,6149,1917,6149
2010-02-19,6149,6149,6149,6149,170,6149
2010-02-26,6149,6149,6149,6149,60,6149
2010-03-02,6149,6149,6149,6149,13130,6149
2010-03-03,6149,6149,6149,6149,362,6149
2010-03-04,6149,6149,6149,6149,65,6149
2010-03-05,6149,6149,6149,6149,32,6149
2010-03-10,6149,6100,6100,6100,150,6100
2010-03-24,6100,6100,6100,6100,172,6100
2010-03-30,6100,6100,6100,6100,53,6100
2010-03-31,6100,6140,6140,6140,100,6140
2010-04-01,6140,6140,6140,6140,32,6140
2010-04-21,6140,6140,6140,6140,2999,6140
2010-04-28,6140,6149,6149,6149,2400,6149
2010-04-29,6149,6149,6149,6149,100,6149
2010-04-30,6149,6149,6145,6149,51415,6149
2010-05-05,6149,6149,6149,6149,8686,6149
2010-05-06,6149,6149,6149,6149,70,6149
2010-05-12,6149,6145,6145,6145,3583,6145
2010-05-24,6145,6145,6145,6145,558,6145
2010-05-26,6145,6140,6140,6140,635,6140
2010-05-27,6140,6152,6152,6152,165,6152
2010-05-28,6152,6500,6500,6500,1485,6500
2010-06-01,6500,6650,6650,6650,951,6650
2010-06-02,6650,6750,6749,6750,1750,6750
2010-06-04,6750,7200,7200,7200,400765,7200
2010-06-09,7200,7400,7360,7362,1103,7362
2010-06-10,7362,7400,7400,7400,140,7400
2010-06-11,7400,7400,7400,7400,2489,7400
2010-06-14,7400,7500,7500,7500,600,7500
2010-06-15,7500,7500,7500,7500,4561,7500
2010-06-16,7500,7500,7500,7500,486,7500
2010-06-18,7500,7500,7500,7500,114,7500
2010-06-22,7500,6300,6250,6300,2554,6300
2010-06-23,6300,6300,6300,6300,2239,6300
2010-06-24,6300,6300,6300,6300,114,6300
2010-06-25,6300,6300,6300,6300,38,6300
2010-06-29,6300,6180,6180,6180,1800,6180
2010-06-30,6180,6215,6215,6215,25905,6215
2010-07-02,6215,6300,6200,6291.3,1363,6291.3
2010-07-05,6291.3,6300,6300,6300,100,6300
2010-07-07,6300,6300,6300,6300,400,6300
2010-07-09,6300,6300,6300,6300,411,6300
2010-07-14,6300,6450,6450,6450,112,6450
2010-07-15,6450,6450,6450,6450,4452,6450
2010-07-19,6450,6450,6450,6450,3450,6450
2010-07-20,6450,6450,6450,6450,93,6450
2010-07-27,6450,6450,6450,6450,200,6450
2010-07-28,6450,6450,6450,6450,300,6450
2010-08-03,6450,6450,6448,6448,2594,6448
2010-08-04,6448,6450,6450,6450,128,6450
2010-08-12,6450,6450,6450,6450,479,6450
2010-08-25,6450,6450,6450,6450,1310,6450
2010-08-26,6450,6450,6450,6450,140,6450
2010-08-27,6450,6450,6450,6450,100,6450
2010-08-30,6450,6450,6450,6450,5,6450
2010-09-02,6450,6450,6450,6450,580,6450
2010-09-10,6450,6600,6600,6600,410,6600
2010-09-15,6600,7200,7000,7200,334,7200
2010-09-21,7200,7200,7200,7200,469,7200
2010-09-22,7200,7200,7200,7200,197,7200
2010-09-24,7200,7500,7500,7500,131,7500
2010-09-27,7500,7650,7650,7650,83,7650
2010-09-30,7650,7750,7750,7750,130,7750
2010-10-01,7750,7750,7750,7750,419,7750
2010-10-07,7750,7750,7750,7750,192,7750
2010-10-25,7750,7750,7750,7750,150,7750
2010-11-08,7750,7750,7750,7750,12,7750
2010-11-11,7750,7750,7750,7750,20,7750
2010-11-17,7750,7700,7690,7700,871,7700
2010-11-18,7700,7701,7700,7700,350,7700
2010-11-22,7700,7700,7700,7700,450,7700
2010-11-23,7700,7710,7710,7710,78,7710
2010-11-25,7710,7700,7700,7700,1290,7700
2010-11-29,7700,7700,7700,7700,284,7700
2010-11-30,7700,7700,7700,7700,651,7700
2010-12-06,7700,8000,8000,8000,267,8000
2010-12-15,8000,8200,8200,8200,2000,8200
2010-12-23,8200,8200,8199,8199,6350,8199
2010-12-30,8199,8199,8199,8199,598,8199
2011-01-07,8199,8199,8199,8199,35,8199
2011-01-11,8199,8199,8199,8199,629,8199
2011-01-18,8199,8300,8300,8300,6050,8300
2011-01-20,8300,8300,8300,8300,942,8300
2011-01-25,8300,8300,8300,8300,74,8300
2011-02-01,8300,8400,8400,8400,228,8400
2011-02-07,8400,8400,8400,8400,155,8400
2011-02-09,8400,8400,8400,8400,131,8400
2011-02-14,8400,8480,8480,8480,500,8480
2011-02-16,8480,8400,8400,8400,180,8400
2011-02-18,8400,8480,8480,8480,63,8480
2011-03-01,8480,8480,8480,8480,91,8480
2011-03-02,8480,8480,8480,8480,99,8480
2011-03-17,8480,8481,8480,8480,800,8480
2011-03-22,8480,8850,8850,8850,971932,8850
2011-03-23,8850,8850,8850,8850,250,8850
2011-03-24,8850,8850,8850,8850,50,8850
2011-04-04,8850,8850,8850,8850,700,8850
2011-04-08,8850,8850,8850,8850,69,8850
2011-04-11,8850,8850,8850,8850,7674,8850
2011-04-12,8850,8850,8850,8850,2791,8850
2011-04-18,8850,8850,8850,8850,11332,8850
2011-04-28,8850,8850,8672,8672,300000,8672
2011-04-29,8672,8850,8850,8850,136,8850
2011-05-03,8850,8850,8850,8850,100000,8850
2011-05-04,8850,8850,8850,8850,346609,8850
2011-05-05,8850,8850,8850,8850,458515,8850
2011-05-09,8850,11150,11150,11150,682696,11150
2011-05-10,11150,11150,11150,11150,1039,11150
2011-05-11,11150,11150,11150,11150,20,11150
2011-05-18,11150,11150,11150,11150,52,11150
2011-05-25,11150,11150,11150,11150,98,11150
2011-06-03,11150,11150,11150,11150,3500,11150
2011-06-17,11150,11100,11100,11100,140,11100
2011-06-20,11100,11100,11100,11100,55,11100
2011-06-21,11100,11000,11000,11000,45,11000
2011-06-22,11000,10950,10950,10950,50,10950
2011-07-11,10900,10900,10900,10900,1788,10900
2011-07-21,10900,10850,10845,10845,271,10845
2011-07-22,10845,10845,10845,10845,11,10845
2011-08-01,10845,10829,10829,10829,200,10829
2011-08-02,10829,10750,10700,10700,200,10700
2011-08-03,10700,10650,10650,10650,5900,10650
2011-08-04,10650,10400,10400,10400,100,10400
2011-08-05,10400,10400,10300,10400,609,10400
2011-08-09,10400,10300,10300,10300,161,10300
2011-08-16,10300,10300,10300,10300,76,10300
2011-08-17,10300,10300,10300,10300,532,10300
2011-08-18,10300,10300,9900,9900,193763,9900
2011-08-26,9900,8999,8950,8999,1767,8999
2011-08-30,9000,9000,9000,9000,454,9000
2011-08-31,9000,9000,9000,9000,21,9000
2011-09-06,9000,8900,8895,8895,941,8895
2011-09-08,8895,8501,8500,8500,10100,8500
2011-09-20,8500,8500,8500,8500,190,8500
2011-09-22,8500,8500,8500,8500,46,8500
2011-09-29,8500,8440,8440,8440,650,8440
2011-09-30,8440,8440,8440,8440,30,8440
2011-10-04,8440,8350,8350,8350,360,8350
2011-10-06,8350,8350,8350,8350,135,8350
2011-10-17,8350,8450,8450,8450,700,8450
2011-11-08,8450,8450,8450,8450,3,8450
2011-11-11,8450,8450,8450,8450,3,8450
2011-11-16,8450,8439,8439,8439,638,8439
2011-12-05,8439,8439,8439,8439,2204,8439
2011-12-06,8439,8450,8450,8450,700,8450
2011-12-07,8450,8450,8450,8450,39,8450
2011-12-22,8450,8450,8450,8450,115710,8450
2011-12-29,8450,8451,8439,8451,5748,8451
2012-01-03,8451,8452,8452,8452,144750,8452
2012-01-05,8452,8460,8460,8460,638,8460
2012-01-06,8460,8460,8460,8460,85,8460
2012-01-25,8461,8461,8461,8461,2360,8461
2012-01-26,8461,8460,8460,8460,1017,8460
2012-02-06,8460,8460,8459,8460,928,8460
2012-02-22,8460,8460,8460,8460,110,8460
2012-02-23,8460,8460,8460,8460,1105,8460
2012-02-28,8460,8460,8460,8460,8285,8460
2012-02-29,8460,8460,8460,8460,947,8460
2012-03-05,8460,8460,8460,8460,2800,8460
2012-03-16,8460,8600,8600,8600,624,8600
2012-03-26,8600,8605,8605,8605,163,8605
2012-04-03,8605,8606,8605,8605,5782,8605
2012-04-09,8605,8650,8650,8650,1200,8650
2012-04-17,8650,8680,8680,8680,230,8680
2012-04-24,8680,8680,8680,8680,1001,8680
2012-05-04,8680,7650,7650,7650,6968,7650
2012-05-09,7650,8400,8400,8400,9746,8400
2012-05-10,8400,8400,8400,8400,21624,8400
2012-05-14,8400,8400,8400,8400,5900,8400
2012-05-31,8400,8700,8700,8700,482,8700
2012-06-25,8700,8700,8700,8700,11,8700
2012-07-09,8700,9100.1,8950,9100.1,4475,9100.1
2012-07-11,9100.1,9500,9500,9500,500,9500
2012-07-12,9500,9500,9500,9500,20,9500
2012-08-08,9500,9350,9350,9350,2328,9350
2012-08-16,9350,9350,9350,9350,100,9350
2012-08-17,9350,9600,9600,9600,50,9600
2012-08-27,9600,9600,9600,9600,4110,9600
2012-08-30,9600,9600,9600,9600,200,9600
2012-08-31,9600,10500,9800,10500,2345,10500
2012-09-03,10500,9600,9600,10500,4110,10500
2012-09-14,10500,11000,11000,11000,1630,11000
2012-10-01,11000,11000,11000,11000,700,11000
2012-10-02,11000,11000,11000,11000,91,11000
2012-10-05,11000,11250,11250,11250,91095,11250
2012-10-09,11250,11250,11250,11250,1215,11250
2012-10-29,11250,11001,11001,11001,3583,11001
2012-10-31,11001,11001,11001,11001,100,11001
2012-11-23,11001,11000,11000,11000,3377,11000
2012-11-27,11000,11010,11010,11010,812,11010
2012-12-11,11010,12000,11500,11500,569,11500
2012-12-27,11500,12000,12000,12000,11300,12000
2013-01-11,12000,12000,12000,12000,14005,12000
2013-01-16,12000,12000,12000,12000,2190,12000
2013-01-17,12000,12000,12000,12000,100,12000
2013-01-21,12000,12000,12000,12000,3,12000
2013-01-24,12000,12000,12000,12000,340,12000
2013-03-15,12000,12000,12000,12000,333,12000
2013-04-10,12000,12511,12500,12500,2154748,12500
2013-04-12,12500,12500,12500,12500,240,12500
2013-04-15,12500,12500,12500,12500,459,12500
2013-04-16,12500,12500,12500,12500,20020,12500
2013-04-17,12500,12500,12500,12500,1361,12500
2013-05-02,12500,13000,13000,13000,405,13000
2013-05-03,13000,13000,13000,13000,82,13000
2013-05-06,13000,13100,13100,13100,218204,13100
2013-05-07,13100,13000,13000,13000,43,13000
2013-05-08,13000,13000,13000,13000,1500,13000
2013-05-16,13000,13000,13000,13000,100,13000
2013-05-23,13000,13000,13000,13000,100,13000
2013-06-03,13000,13000,13000,13000,1888,13000
2013-06-04,13000,13000,13000,13000,900,13000
2013-06-07,13000,13000,13000,13000,242,13000
2013-06-10,13000,13000,13000,13000,16120,13000
2013-06-18,13000,12700,12700,12700,255,12700
2013-06-21,12700,13000,13000,13000,4836,13000
2013-07-05,13000,13000,13000,13000,1000,13000
2013-07-26,13000,13000,13000,13000,12212,13000
2013-08-02,13000,13000,13000,13000,24993,13000
2013-08-09,13000,13000,13000,13000,10,13000
2013-08-26,13000,13000,13000,13000,1550,13000
2013-09-09,13000,13000,13000,13000,1500,13000
2013-09-12,13000,13000,13000,13000,1800,13000
2013-09-23,13000,13000,13000,13000,1000,13000
2013-09-27,13000,13001,13001,13001,265,13001
2013-09-30,13001,13000,13000,13001,1000,13001
2013-10-14,13001,13001,13001,13001,20,13001
2013-10-17,13001,13001,13001,13001,32,13001
2013-10-18,13001,13500,13500,13500,948,13500
2013-12-05,13500,13250,13250,13250,165,13250
2013-12-09,13250,13250,13250,13250,2325,13250
2013-12-17,13250,13250,13250,13250,783,13250
2013-12-19,13250,13250,13250,13250,2430,13250
2013-12-20,13250,13250,13250,13250,70954,13250
2013-12-27,13250,13300,13300,13300,5470,13300
2014-01-03,13300,13300,13300,13300,230,13300
2014-01-21,13300,13300,13300,13300,118,13300
2014-02-04,13300,13300,13300,13300,240,13300
2014-02-06,13300,13300,13300,13300,272,13300
2014-07-08,13300,13300,13300,13300,10000,13300
2014-08-27,13300,14011,14011,14011,231288,14011
2014-09-02,14011,14011,14011,14011,468,14011
2014-10-17,14011,14070,14070,14070,120,14070
2014-12-29,14000,14100,14000,14100,9720,14100
2015-01-09,14100,14100,14100,14100,29000,14100
2015-01-26,14100,14100,14100,14100,184,14100
2015-02-09,14100,14100,14100,14100,12,14100
2015-02-18,14100,14100,14100,14100,22,14100
2015-03-25,14100,14325,14325,14325,2581,14325
2015-05-05,14325,14325,14325,14325,4500,14325
2015-05-07,14325,14325,14325,14325,2076,14325
2015-05-12,14325,14325,14325,14325,7992,14325
2015-06-11,14325,14325,14325,14325,13800,14325
2015-06-16,14325,14325,14325,14325,900,14325
2015-08-20,14325,14325,14325,14325,1125,14325
2015-10-09,14325,14300,14300,14300,400,14300
2015-10-29,14300,13698,13698,13698,1302,13698
2015-11-03,13698,13239,12800,12800,1600,12800
2015-11-04,12800,11500,11500,11500,1000,11500
2015-12-01,11500,11499,11499,11499,1000,11499
2015-12-14,11499,11499,11499,11499,15,11499
2015-12-17,11499,11000,11000,11000,3693,11000
2016-01-07,11000,10000,10000,10000,404,10000
2016-01-11,10000,10000,10000,10000,1000,10000
2016-03-08,10000,9000,9000,9000,3828,9000
2016-03-09,9000,9000,9000,9000,370,9000
