date,open,high,low,close,volume,adj_close
2009-06-04,600,600,600,600,113,600
2009-06-08,600,600,600,600,1051,600
2009-06-16,600,630,630,630,2500,630
2009-06-18,630,625,625,625,779,625
2009-06-30,625,635,635,635,5301,635
2009-07-03,635,610,610,610,1000000,610
2009-07-09,610,610,610,610,37000,610
2009-07-14,610,611,610,610,6992,610
2009-07-15,610,610,601,601,101267,601
2009-07-17,601,601,601,601,58,601
2009-07-20,601,600,600,600,34420,600
2009-07-21,600,600,599.99,599.99,1005522,599.99
2009-07-22,599.99,600,600,600,2811,600
2009-07-31,600,600,600,600,1626,600
2009-08-28,600,600,600,600,7666,600
2009-09-01,600,600.01,600.01,600.01,200000,600.01
2009-09-21,600.01,600,600,600,3333,600
2009-09-25,600,600,600,600,96117,600
2009-09-28,600,600,600,600,779,600
2009-10-08,600,585,585,585,9000,585
2009-10-13,585,585,585,585,1700,585
2009-10-26,585,585,585,585,4166,585
2009-10-29,585,590,585,585,9000,585
2009-12-10,585,580,580,580,1666,580
2009-12-16,580,580,580,580,1809638,580
2009-12-17,580,580,580,580,10000,580
2009-12-22,580,580,580,580,1000500,580
2009-12-30,580,600,600,600,750,600
2010-01-14,600,600,600,600,74997,600
2010-02-05,600,600,600,600,7000,600
2010-02-17,600,620,620,620,322581,620
2010-02-22,620,605,605,605,3333,605
2010-03-12,605,605,605,605,789,605
2010-03-24,605,620,620,620,161290,620
2010-04-01,620,620,620,620,833,620
2010-04-19,620,620,620,620,2000,620
2010-04-22,620,620,620,620,3333,620
2010-05-12,620,620,620,620,840,620
2010-05-19,620,620,620,620,32303,620
2010-05-31,622,635,620,635,47637,635
2010-06-02,635,645,635,645,11666,645
2010-06-09,645,645,645,645,145000,645
2010-06-16,645,645,645,645,10000,645
2010-06-18,645,646,645,645.01,68697,645.01
2010-06-30,645.01,650,650,650,3000,650
2010-07-07,650,670,670,670,10000,670
2010-07-21,670,670,670,670,1625,670
2010-07-22,670,700,700,700,1625,700
2010-07-26,700,725,725,725,28749,725
2010-07-28,725,740,740,740,14848,740
2010-08-04,740,770,770,770,5000,770
2010-08-06,770,770,770,770,3896,770
2010-08-09,770,770,770,770,1104,770
2010-08-23,770,770,770,770,30000,770
2010-08-25,770,770,770,770,7000,770
2010-08-26,770,770.1,770.1,770.1,1104,770.1
2010-09-01,770.1,770.1,770.1,770.1,19749,770.1
2010-09-09,770.1,770.1,770.1,770.1,5833,770.1
2010-09-28,770.1,782,782,782,10000,782
2010-09-29,782,850,825,850,7763,850
2010-09-30,850,925,900,900,34000,900
2010-10-05,900,900,900,900,455,900
2010-10-19,900,900,900,900,1111,900
2010-10-29,900,900,900,900,5470,900
2010-11-08,900,900,900,900,2455,900
2010-11-12,900,900,900,900,1081,900
2010-11-16,900,900,900,900,4900,900
2010-11-18,900,900,900,900,16499,900
2010-11-29,900,899.99,899.99,899.99,2455,899.99
2010-12-01,899.99,890,890,890,500,890
2010-12-16,890,890,890,890,37682,890
2010-12-17,890,890,890,890,187322,890
2010-12-21,890,890,890,890,49777,890
2010-12-29,890,890,890,890,14266,890
2011-01-04,890,900,890,900,424003,900
2011-02-09,900,900,900,900,1000,900
2011-03-17,900,850,850,850,2500,850
2011-03-21,850,870,870,870,1286,870
2011-03-28,870,870,870,870,7666,870
2011-03-30,870,870,870,870,880,870
2011-04-26,870,870,870,870,44000,870
2011-05-09,870,836,836,870,12300,870
2011-06-24,870,869.9,869.9,869.9,50000,869.9
2011-07-19,869.9,825,825,825,1666,825
2011-07-21,825,824.9,824.9,824.9,54034,824.9
2011-07-22,824.9,825,825,825,9000,825
2011-09-20,825,800,800,800,8584,800
2011-10-12,800,795,795,795,5000,795
2011-10-14,795,785,785,785,2363,785
2011-10-19,785,780,780,780,5719,780
2011-10-28,780,830,830,830,6981,830
2011-12-22,830,830,830,830,142530,830
2012-02-28,830,820,820,820,2852,820
