date,open,high,low,close,volume,adj_close
2009-06-03,630,635,630,630,266590,630
2009-06-04,630,630,630,630,23505,630
2009-06-05,630,630,630,630,4455,630
2009-06-08,630,640,635,640,7463,640
2009-06-09,640,645,640,645,15141,645
2009-06-10,645,655,650,655,143625,655
2009-06-12,655,655,655,655,16000,655
2009-06-15,655,655,655,655,76500,655
2009-06-16,655,655,655,655,22901,655
2009-06-19,655,655,655,655,8000,655
2009-06-22,655,655,655,655,152693,655
2009-06-23,655,655,655,655,6000,655
2009-06-26,655,655,655,655,5300,655
2009-06-30,655,670,660,660,8845,660
2009-07-01,660,661,661,661,60042,661
2009-07-02,661,660,659.99,659.99,2655612,659.99
2009-07-07,659.99,659.99,659.99,659.99,57692,659.99
2009-07-08,659.99,658.99,658.99,658.99,46600,658.99
2009-07-22,658.99,658.99,658.99,658.99,500,658.99
2009-07-23,658.99,649,645,649,3029540,649
2009-07-24,649,659.9,649,659.9,15566,659.9
2009-07-28,659.9,659.89,650,650,238954,650
2009-07-29,650,650,650,650,357,650
2009-07-30,650,650,650,650,69,650
2009-08-05,650,650,649.99,650,770770,650
2009-08-06,650,650,650,650,9230,650
2009-08-10,650,650,650,650,1538,650
2009-08-11,650,650,650,650,1538,650
2009-08-13,650,640,640,640,468750,640
2009-08-19,640,630,630,630,1396555,630
2009-08-20,630,630,630,630,1785,630
2009-08-26,630,630,630,630,317,630
2009-08-27,630,614,614,614,8000,614
2009-08-31,614,660,614,660,30101,660
2009-09-01,660,650,650,650,4440,650
2009-09-02,650,650,650,650,7650,650
2009-09-03,650,650,650,650,54,650
2009-09-10,650,650,650,650,340000,650
2009-09-16,650,660,660,660,8056,660
2009-09-17,660,660,660,660,6793,660
2009-09-28,660,650,650,650,3500,650
2009-09-30,650,649.9,649.9,649.9,275000,649.9
2009-10-01,649.9,650,650,650,775236,650
2009-10-05,650,650,650,650,350000,650
2009-10-08,650,650,650,650,6568,650
2009-10-09,650,650,650,650,153846,650
2009-10-20,650,653,653,653,10131,653
2009-10-22,653,656,656,656,7000,656
2009-10-23,656,680,680,680,294118,680
2009-10-26,680,680,680,680,176470,680
2009-10-28,680,680,680,680,3659,680
2009-11-05,680,680,680,680,3366,680
2009-11-09,680,680,680,680,13235,680
2009-11-10,680,680,680,680,2188,680
2009-11-13,680,680,680,680,24784,680
2009-11-17,680,670,670,670,2500,670
2009-11-30,670,680,660,680,10660,680
2009-12-01,680,680,680,680,40,680
2009-12-02,680,660,660,660,5000,660
2009-12-03,660,630,630,630,158730,630
2009-12-04,630,630,630,630,158730,630
2009-12-15,630,650,630,638.06,13692,638.06
2009-12-16,638.06,650,630,650,404637,650
2009-12-17,650,643,640,640,127995,640
2009-12-18,640,640,640,640,300000,640
2009-12-22,640,620,620,620,1000000,620
2009-12-23,620,620,620,620,37222,620
2009-12-30,620,679,620,620.44,135990,620.44
2010-01-05,620.44,621.01,621.01,621.01,80514,621.01
2010-01-08,621.01,645,645,645,4000,645
2010-01-12,645,650,650,650,2000,650
2010-01-13,650,660,660,660,13985,660
2010-01-14,660,660,660,660,6071,660
2010-01-19,660,680,661,680,1222000,680
2010-01-21,680,680,680,680,14697,680
2010-01-27,680,679,675,675,6480,675
2010-01-28,675,680,679,680,381968,680
2010-02-03,680,690,690,690,4872028,690
2010-02-04,690,690,690,690,40,690
2010-02-08,690,695,691.5,695,4550,695
2010-02-09,695,695,695,695,5420,695
2010-02-10,695,696.01,696,696.01,359195,696.01
2010-02-11,696.01,720,695.1,720,562281,720
2010-02-12,720,720,700,720,15000,720
2010-02-16,720,720,720,720,259976,720
2010-02-26,720,730,730,730,411460,730
2010-03-03,730,730,730,730,12300,730
2010-03-11,730,730,730,730,1200,730
2010-03-12,730,769,730,769,31724,769
2010-03-19,769,730,730,730,25000,730
2010-03-24,730,730,730,730,15,730
2010-03-29,730,715,715,715,2000,715
2010-04-01,715,700,700,700,2582,700
2010-04-08,700,700,700,700,2000,700
2010-04-12,700,700,700,700,67700,700
2010-04-13,700,715,715,715,139860,715
2010-04-21,715,720,720,720,5486,720
2010-04-22,720,715,715,715,295420,715
2010-04-26,715,715,715,715,775000,715
2010-04-27,715,715.01,715.01,715.01,153846,715.01
2010-04-28,715.01,715,710,715,338057,715
2010-04-29,715,715,715,715,691,715
2010-04-30,715,715,715,715,491,715
2010-05-03,715,720,710,720,600036,720
2010-05-04,720,720,720,720,3660295,720
2010-05-05,720,720,720,720,1596,720
2010-05-06,720,720,720,720,417022,720
2010-05-13,720,720,719.9,719.99,189500,719.99
2010-05-14,719.99,720,719.99,720,588672,720
2010-05-19,720,698,698,698,31031,698
2010-05-26,698,700,698,700,51200,700
2010-05-27,700,720,720,720,5000,720
2010-05-31,720,730,730,730,100000,730
2010-06-02,730,730,730,730,335,730
2010-06-07,730,730,730,730,25166,730
2010-06-09,730,730,730,730,3449,730
2010-06-10,730,730,730,730,16269,730
2010-06-11,730,730.02,730.01,730.02,22400,730.02
2010-06-14,730.02,730,730,730,10700,730
2010-06-15,730,731,730.51,731,37622,731
2010-06-21,731,740,740,740,1538,740
2010-06-22,740,740,740,740,1538,740
2010-07-02,740,740,740,740,1390,740
2010-07-06,740,740,740,740,28391,740
2010-07-07,740,765,760,765,140719,765
2010-07-14,765,784.9,765,765,15915,765
2010-07-19,765,800,771.1,800,91482,800
2010-07-21,800,810.1,810,810.1,6713,810.1
2010-07-23,810.1,831,831,831,6000,831
2010-07-26,831,850,850,850,3557,850
2010-07-28,850,850,850,850,2196,850
2010-08-03,850,880,880,880,5000,880
2010-08-04,880,920,920,920,15582,920
2010-08-06,920,920,920,920,28998,920
2010-08-09,920,920,920,920,10950,920
2010-08-10,920,925,925,925,18897,925
2010-08-11,925,925,925,925,12300,925
2010-08-12,925,925,925,925,24470,925
2010-08-16,925,925,925,925,1425,925
2010-08-17,925,925,924.99,925,47975,925
2010-08-19,925,925,925,925,6391,925
2010-08-20,925,930,930,930,78000,930
2010-08-23,930,930,930,930,3531,930
2010-08-24,930,930,929,930,50711,930
2010-08-25,930,929,929,929,17048,929
2010-08-26,929,929,929,929,7000,929
2010-08-27,929,930,929,929,115706,929
2010-08-30,929,932.01,932.01,932.01,21482,932.01
2010-09-02,932.01,945,945,945,821,945
2010-09-03,945,950,950,950,11247,950
2010-09-07,950,960,950,960,2285,960
2010-09-08,960,965,965,965,47275,965
2010-09-09,965,970,970,970,4118,970
2010-09-14,970,970,970,970,188,970
2010-09-21,970,975,975,975,1000,975
2010-09-22,975,975,975,975,18041,975
2010-09-23,975,980,975,980,367800,980
2010-09-24,980,980,980,980,23970,980
2010-09-27,980,985,985,985,1905,985
2010-09-28,985,1015,995,1015,53251,1015
2010-09-29,1015,1015,1010,1015,19705,1015
2010-09-30,1015,1015,1015,1015,5537,1015
2010-10-08,1015,1090,1025,1081.3,32500,1081.3
2010-10-12,1081.3,1080,1080,1080,31089,1080
2010-10-13,1080,1100,1100,1100,1000,1100
2010-10-14,1100,1155,1150,1150,8667,1150
2010-10-15,1150,1150,1149.9,1149.9,13762,1149.9
2010-10-18,1149.9,1150,1150,1150,156600,1150
2010-10-19,1150,1150,1150,1150,300001,1150
2010-10-20,1150,1125,1125,1125,446767,1125
2010-10-21,1125,1125,1124.9,1125,114562,1125
2010-10-22,1125,1125,1125,1125,200000,1125
2010-11-04,1125,1126.2,1125,1126.2,78636,1126.2
2010-11-08,1126.2,1115,1115,1115,1620,1115
2010-11-09,1115,1125,1125,1125,4760,1125
2010-11-10,1125,1150,1126.1,1126.1,61342,1126.1
2010-11-12,1126.1,1126,1120,1125,86001,1125
2010-11-16,1125,1125,1125,1125,88888,1125
2010-11-18,1125,1090,1075,1090,15517,1090
2010-11-19,1090,1090,1090,1090,35,1090
2010-11-22,1090,1100,1080,1080,27641,1080
2010-11-25,1080,1060,1060,1060,2560,1060
2010-11-26,1060,1050,1030,1030,27836,1030
2010-11-29,1030,1000,1000,1000,11000,1000
2010-12-01,1000,1030,1029,1030,16243,1030
2010-12-02,1030,1030.1,1000,1000,24486,1000
2010-12-03,1000,1000,980,980,15000,980
2010-12-06,980,981.1,980,980,30040,980
2010-12-07,980,1000.1,990,1000,113000,1000
2010-12-10,1000,1000,1000,1000,100000,1000
2010-12-13,1000,1000.1,1000.1,1000.1,396966,1000.1
2010-12-15,1000.1,1030,1023,1030,135000,1030
2010-12-27,1030,1030,1030,1030,2270,1030
2010-12-28,1030,1029.9,1029.9,1029.9,500485,1029.9
2010-12-29,1029.9,1028,1028,1028,1000,1028
2010-12-30,1028,1030,1030,1030,28765,1030
2011-01-03,1030,1030,1030,1030,4000,1030
2011-01-05,1030.1,1030.1,1030,1030.1,456568,1030.1
2011-01-13,1030.1,1030,1030,1030,22000,1030
2011-01-18,1030,1020,1015,1020,3219802,1020
2011-01-19,1020,1020,1020,1020,3148933,1020
2011-01-21,1020,1030,1030,1030,8934,1030
2011-01-24,1030,1030,1030,1030,9793,1030
2011-01-26,1030,1030,1030,1030,475,1030
2011-01-27,1030,1030,1030,1030,892,1030
2011-02-01,1030,1030,1030,1030,2000,1030
2011-02-07,1030,1030,1030,1030,695,1030
2011-02-21,1030,1025,1025,1025,510,1025
2011-02-22,1025,1020,1020,1020,5000,1020
2011-03-02,1020,1017,1017,1017,500,1017
2011-03-11,1017,1010,1010,1010,2235,1010
2011-03-21,1010,999,999,999,2815,999
2011-03-22,999,999,999,999,100,999
2011-03-30,999,1010,1000,1009.9,50000,1009.9
2011-03-31,1009.9,1000,1000,1000,3050,1000
2011-04-01,1000,1000,1000,1000,11000,1000
2011-04-04,1000,1000,1000,1000,5000,1000
2011-04-08,1000,995,995,995,700,995
2011-04-18,995,994,994,994,18765,994
2011-04-26,994,994,950,950,1787469,950
2011-04-27,950,940,930,930.25,448566,930.25
2011-04-28,930.25,925,920,925,490000,925
2011-04-29,925,920,920,920,217391,920
2011-05-02,920,925,925,925,1000,925
2011-05-04,925,930,920,920,740639,920
2011-05-05,920,920,919,920,411142,920
2011-05-09,920,865,865,920,58000,920
2011-05-16,920,920,920,920,2654,920
2011-05-17,920,920,900,900,655409,900
2011-05-18,900,900,890,890,460182,890
2011-05-20,890,901,901,901,1255,901
2011-05-23,901,905,900,905,97503,905
2011-05-24,905,910,910,910,168283,910
2011-05-25,910,925,919.9,925,1389875,925
2011-05-26,925,925,925,925,30,925
2011-05-27,925,925,925,925,947,925
2011-06-01,925,900,900,900,1247,900
2011-06-02,900,924.9,924.9,924.9,500,924.9
2011-06-03,924.9,915,915,915,186052,915
2011-06-07,915,915,915,915,2756,915
2011-06-08,915,920,915,915,2356,915
2011-06-13,915,915,900,915,1144264,915
2011-06-15,915,920,905,905,202100,905
2011-06-17,905,915,900,915,485492,915
2011-06-20,915,915,915,915,300000,915
2011-06-22,915,915,915,915,218580,915
2011-06-23,915,915,915,915,218580,915
2011-06-24,915,915,915,915,822022,915
2011-06-29,915,915,915,915,2336,915
2011-06-30,915,900,900,900,774,900
2011-07-01,900,920,900,900,6926,900
2011-07-05,900,900,900,900,157373,900
2011-07-06,900,899,899,899,234594,899
2011-07-11,899,897.99,897.99,897.99,60395,897.99
2011-07-12,897.99,890,890,890,300000,890
2011-07-13,890,880,879,879,265649,879
2011-07-14,879,879,860,860,120727,860
2011-07-15,860,860,860,860,237578,860
2011-07-18,860,860.1,860,860.1,236929,860.1
2011-07-19,860.1,870,870,870,766282,870
2011-07-20,870,870,870,870,29430,870
2011-07-21,870,869.9,869.9,869.9,219571,869.9
2011-07-22,869.9,870,870,870,424400,870
2011-07-25,870,870,870,870,1087125,870
2011-07-26,870,870,860,870,501000,870
2011-07-29,870,850,850,850,20000,850
2011-08-01,850,870,850,850,78088,850
2011-08-02,850,850,840,840,4151700,840
2011-08-03,840,830,830,830,2100000,830
2011-08-04,830,825,825,825,1050000,825
2011-08-05,825,825,820,820,1001212,820
2011-08-09,820,840,825,840,17886,840
2011-08-11,840,860,840,840,19738,840
2011-08-12,840,840,840,840,1300000,840
2011-08-17,840,840,840,840,18,840
2011-08-23,840,860,860,860,1000,860
2011-08-30,860,840,840,840,178571,840
2011-08-31,840,830,830,830,50000,830
2011-09-02,830,850,840,850,427551,850
2011-09-06,850,850,850,850,485,850
2011-09-07,850,820,820,820,3000,820
2011-09-08,820,820.1,820.1,820.1,6800000,820.1
2011-09-13,820.1,830,830,830,204819,830
2011-09-22,830,830,830,830,23806,830
2011-09-26,830,848.58,829.89,829.89,103975600,829.89
2011-09-27,829.9,845,820,820,31017380,820
2011-09-28,820,820.01,820,820,30205280,820
2011-09-29,820,820,820,820,325903,820
2011-09-30,820,820,820,820,401846,820
2011-10-04,820,800,800,800,1499730,800
2011-10-05,800,800,800,800,24965000,800
2011-10-06,800,810,800,810,5000000,810
2011-10-11,810,810,810,810,3108563,810
2011-10-12,810,840,820,839.84,217472,839.84
2011-10-13,839.84,840,840,840,825975,840
2011-10-14,840,840,840,840,1,840
2011-10-17,840,840,840,840,1325744,840
