date,open,high,low,close,volume,adj_close
2009-06-08,84,84,84,84,2088,84
2009-07-24,84,84,84,84,20000,84
2009-07-31,84,84,83.99,84,81000,84
2009-08-04,84,80,80,80,23900,80
2009-08-14,80,80,80,80,33774,80
2009-08-18,80,80,80,80,50000,80
2009-08-19,80,75,75,75,62856,75
2009-08-21,75,75,75,75,20000,75
2009-08-27,75,72,70,70.83,36262,70.83
2009-08-28,70.83,67,67,67,35182,67
2009-09-01,67,69,69,69,21570,69
2009-09-02,69,69,69,69,21570,69
2009-09-07,69,70,70,70,19000,70
2009-09-08,70,70,70,70,3500,70
2009-09-10,70,70,70,70,40000,70
2009-09-11,70,70,69,70,140000,70
2009-09-14,70,70,70,70,40000,70
2009-09-15,70,70,69,70,65000,70
2009-09-25,70,70,70,70,850,70
2009-10-01,65,65,65,65,37393,65
2009-10-05,65,65,65,65,37000,65
2009-10-16,65,60.01,60,60.01,907615,60.01
2009-11-05,60.01,60.01,60.01,60.01,6157,60.01
2009-11-24,60.01,50,48,50,7732309,50
2009-11-25,50,50,50,50,23825,50
2009-12-10,50,52,52,52,200000,52
2009-12-14,52,52,52,52,3000,52
2009-12-15,52,50,50,50,501401,50
2009-12-22,50,50,50,50,720,50
2009-12-28,50,50,50,50,43783,50
2010-01-14,50,52,52,52,160600,52
2010-01-15,52,52.1,50,50,153629,50
2010-01-21,50,50,50,50,1046107,50
2010-01-25,50,50,50,50,9000,50
2010-01-26,50,50,50,50,3805356,50
2010-01-28,50,50,50,50,301000,50
2010-03-04,50,45,45,45,15680,45
2010-03-10,45,50,50,50,140000,50
2010-03-11,50,50,50,50,160000,50
2010-03-12,50,50,50,50,3000,50
2010-04-07,50,50,48,49.5,811124,49.5
2010-04-09,49.5,49.5,49.5,49.5,6000,49.5
2010-04-30,49.5,49.5,49.5,49.5,4944,49.5
2010-05-03,49.5,49.5,49.5,49.5,5400,49.5
2010-05-04,49.5,49.5,49.5,49.5,4944,49.5
2010-05-05,49.5,50,50,50,143000,50
2010-05-06,50,48,48,48,141217,48
2010-05-24,48,48,48,48,680,48
2010-06-17,48,48.1,48.05,48.05,56000,48.05
2010-07-21,48.05,50.1,50.1,50.1,27953,50.1
2010-07-23,50.1,55,55,55,11057,55
2010-07-26,55,60,60,60,26953,60
2010-07-30,60,60,60,60,6669,60
2010-08-02,60,60,60,60,9944,60
2010-08-03,60,70,70,70,15000,70
2010-08-04,70,70,70,70,7000,70
2010-08-26,70,70,70,70,4191,70
2010-08-27,70,70,70,70,535,70
2010-09-02,70,70,70,70,3553,70
2010-09-16,70,48,48,48,101000,48
2010-09-22,50,60,50,60,45928,60
2010-09-23,60,60.1,60.1,60.1,10000,60.1
2010-09-24,60.1,60.1,60.1,60.1,15002,60.1
2010-09-27,60.1,60.1,60.1,60.1,4254,60.1
2010-09-28,60.1,61,61,61,23168,61
2010-09-29,61,61,61,61,1834,61
2010-10-15,61,61,61,61,2000,61
2010-10-25,61,58,57.85,58,38000,58
2010-10-26,58,58,58,58,200,58
2010-11-08,58,58,58,58,510,58
2010-11-11,58,58,58,58,1833,58
2010-11-15,58,58,58,58,2000,58
2010-11-19,58,57.5,57.5,57.5,45171,57.5
2010-11-30,57.5,58,58,58,49399,58
2010-12-17,58,58,58,58,10601,58
2011-01-03,58,51,51,51,2876101,51
2011-01-06,51,51,51,51,4191,51
2011-01-13,51,51,51,51,9900,51
2011-01-19,51,52,52,52,12779,52
2011-01-21,52,51,51,51,39408,51
2011-01-24,51,51,51,51,122917,51
2011-03-08,51,51,51,51,995,51
2011-03-09,51,51,51,51,17227,51
2011-03-11,51,51,51,51,8405,51
2011-03-15,51,51,51,51,2970,51
2011-03-21,51,51,51,51,2030,51
2011-03-23,51,51,51,51,3000,51
2011-04-07,51,51,51,51,1960,51
2011-04-20,51,51.6,51.6,51.6,500000,51.6
2011-04-25,51.6,52,52,52,38461,52
2011-05-11,52,52,52,52,1923,52
2011-05-13,52,52,52,52,3308,52
2011-05-18,52,51,51,51,98666,51
2011-05-19,51,51,51,51,214975,51
2011-05-23,51,53,51,52.8,429000,52.8
2011-06-02,52.8,52.8,52.8,52.8,10635,52.8
2011-06-06,52.8,52.8,52.8,52.8,62119,52.8
2011-06-13,52.8,52.8,52.8,52.8,15062,52.8
2011-07-01,52.8,49,49,49,18405,49
2011-07-07,49,49,49,49,1390,49
2011-07-12,49,50,50,50,16153,50
2011-07-14,50,50,50,50,4030,50
2011-07-15,50,50,50,50,500,50
2011-08-04,50,49,49,49,76737,49
2011-08-26,49,49,49,49,173678,49
2011-09-12,49,49,49,49,10000,49
2011-12-14,49,44,44,44,1389084,44
2011-12-16,44,44,44,44,32511,44
2011-12-26,44,44,44,44,7910,44
2011-12-27,44,44,44,44,7000,44
2012-01-12,44,44,44,44,26627,44
2012-01-17,44,44,44,44,40305,44
2012-02-02,44,55,55,55,33627,55
2012-02-06,55,55,55,55,48191,55
2012-02-10,55,55,55,55,65518,55
2012-02-28,55,58,58,58,10000,58
2012-03-05,58,55,55,55,48704,55
2012-03-16,55,60,60,60,41296,60
2012-03-20,60,60,60,60,500000,60
2012-03-21,60,60,60,60,92566,60
2012-03-22,60,60,60,60,113,60
2012-03-27,60,60,60,60,499677,60
2012-04-02,60,60,60,60,20000,60
2012-04-17,60,60,60,60,541,60
2012-05-14,60,61,61,61,10000,61
2012-05-16,61,61,61,61,113,61
2012-05-25,61,61,61,61,217,61
2012-07-19,61,61,61,61,18000,61
2012-08-13,61,61,61,61,4900,61
2012-08-29,61,61,61,61,4000,61
2012-09-12,61,61,61,61,7531,61
2012-10-05,61,61,61,61,9921,61
2012-10-12,61,60,60,60,23000,60
2012-10-16,60,59,59,59,25000,59
2012-11-13,59,57,57,57,46979,57
2012-11-26,57,57,57,57,5021,57
2012-11-28,57,57,55,55,61952,55
2012-11-29,55,55,55,55,1215000,55
2012-12-11,55,54.99,54.99,54.99,49999,54.99
2012-12-26,54.99,54.99,54.99,54.99,150000,54.99
2013-03-20,54.99,54.5,54.5,54.5,27000,54.5
2013-03-26,54.5,54.39,54.19,54.19,735773,54.19
2013-04-02,54.19,50,50,50,148000,50
2013-04-04,50,50,50,50,9328,50
2013-04-05,49,49,49,49,204979,49
2013-04-08,49,49,49,49,11,49
2013-04-29,49,49,49,49,37682,49
2013-05-06,49,49,49,49,5670,49
2013-05-09,49,49,49,49,1194330,49
2013-06-06,49,49,49,49,7,49
2013-06-14,49,49,49,49,1,49
2013-06-19,49,46,46,46,100000,46
2013-11-13,46,46,46,46,44,46
2013-11-19,46,46,46,46,491,46
2013-12-16,46,42,42,42,14000000,42
2013-12-19,42,42,42,42,7150000,42
2014-01-07,42,40,40,40,264560,40
2014-01-14,40,35,35,35,31640,35
2014-01-16,35,35.01,35,35,671999,35
2014-01-30,35,35,35,35,541,35
2014-02-14,35,35,35,35,9328,35
2014-03-17,35,35,35,35,246414,35
2014-03-20,35,35,35,35,1321,35
2014-03-21,35,35,35,35,100000,35
2014-03-24,35,35,35,35,1000,35
2014-04-02,35,34.99,33.5,33.5,535773,33.5
2014-04-03,33.5,32.1,32,32.1,283200,32.1
2014-04-07,32.1,32,32,32,500000,32
2014-04-10,32,31.01,31.01,31.01,780850,31.01
2014-05-14,31.01,31.01,31.01,31.01,1669,31.01
2014-05-16,31.01,32.5,32.5,32.5,97993,32.5
2014-05-20,32.5,32.5,32.5,32.5,3000,32.5
2014-06-24,32.5,39,39,39,30000,39
2014-07-15,39,39,39,39,255,39
2014-07-21,39,39,39,39,6234,39
2014-07-23,39,39,39,39,8255754,39
2014-07-25,39,38.99,38.99,38.99,8255754,38.99
2014-07-30,38.99,35.02,35.01,35.01,1119052,35.01
2014-07-31,35.01,35.01,35.01,35.01,120000,35.01
2014-08-06,35.01,36,36,36,75000,36
2014-08-08,36,36,36,36,1058,36
2014-08-12,36,36,36,36,5000,36
2014-08-13,36,36,35,35,512046,35
2014-08-19,35,35.01,35.01,35.01,21450,35.01
2014-09-08,35.01,35.5,35.5,35.5,326089,35.5
2014-09-23,35.5,35.5,35.5,35.5,7073,35.5
2014-10-06,35.5,45,45,45,46414,45
2014-10-17,45,45,45,45,1834,45
2014-10-28,45,45,45,45,109789,45
2014-11-12,45,45,45,45,2305,45
2014-11-21,45,45,45,45,46420,45
2014-11-26,45,44.99,44.99,44.99,21837,44.99
2014-11-27,44.99,45,45,45,100000,45
2014-11-28,45,45,44.98,45,50000,45
2014-12-01,45,45,45,45,2300,45
2014-12-03,45,45,45,45,6000,45
2014-12-04,45,45,45,45,32943,45
2014-12-05,45,45,45,45,20000,45
2014-12-09,45,45,45,45,5000,45
2014-12-11,45,45,45,45,121111,45
2014-12-29,45,43.5,43.5,43.5,5596953,43.5
2015-01-22,43.5,43.5,43.5,43.5,2500,43.5
2015-02-11,43.5,43.5,43.5,43.5,10000,43.5
2015-02-18,43.5,41.99,41.99,41.99,228000,41.99
2015-03-05,41.99,41.9,41.9,41.9,150000,41.9
2015-03-12,41.9,41.9,41.9,41.9,7142,41.9
2015-04-02,41.9,41.9,41.9,41.9,3000,41.9
2015-04-06,41.9,41.9,40,41.9,184319,41.9
2015-04-13,41.9,40,40,40,410444,40
2015-04-15,40,41.9,41.9,41.9,75406,41.9
2015-04-20,41.9,41.8,41.8,41.8,3543680,41.8
2015-04-27,41.8,42,42,42,1578000,42
2015-05-20,42,41.99,41.98,41.99,950000,41.99
2015-05-27,41.99,41.5,41.5,41.5,204108,41.5
2015-06-22,41.5,41.3,41.3,41.3,2437125,41.3
2015-06-30,41.3,40,39.99,40,2380811,40
2015-07-02,40,40,40,40,9328,40
2015-08-06,40,40,40,40,10846,40
2015-08-07,40,40,40,40,10846,40
2015-08-10,40,40,40,40,150863,40
2015-08-18,40,40,40,40,3017,40
2015-08-24,40,40,40,40,302440,40
2015-08-26,40,39,39,39,47931,39
2015-09-21,39,39.5,39.5,39.5,142408,39.5
2015-09-24,39.5,39,39,39,37753,39
2015-09-30,39,39,39,39,3430,39
2015-12-21,39,38.1,38,38,94428,38
2015-12-22,38,38,38,38,10000,38
2015-12-23,38,38,38,38,100000,38
2015-12-28,38,35,35,35,595572,35
2015-12-29,35,35,35,35,4428,35
2016-01-06,35,34,34,34,21837,34
2016-01-11,34,34,34,34,295100,34
2016-02-09,34,33.5,33.5,33.5,433512,33.5
2016-02-23,33.5,34,34,34,22891,34
2016-02-26,34,34,34,34,27109,34
2016-03-02,34,34,34,34,16084,34
2016-03-14,34,34,34,34,30000,34
2016-03-23,34,34,34,34,13916,34
2016-03-28,34,35,35,35,164030,35
2016-03-29,35,37,36,37,398216,37
2016-03-30,37,37,37,37,4166,37
2016-03-31,37,37,37,37,215354,37
2016-04-01,37,38,37,38,553477,38
2016-05-12,38,35,35,35,37022,35
2016-05-13,35,35,35,35,2604,35
2016-05-16,35,35,35,35,7290,35
2016-05-30,35,35,35,35,23000,35
2016-05-31,35,35,35,35,8430,35
2016-06-15,35,35,35,35,202348,35
2016-06-16,35,37,37,37,64060,37
2016-06-22,37,37,37,37,40375,37
2016-06-23,37,37,37,37,1035,37
2016-06-24,35,35,35,35,46916,35
2016-06-30,35,37,37,37,72565,37
2016-07-06,37,37,37,37,10000,37
2016-07-11,37,37,37,37,6358,37
2016-08-04,37,37.4,37.4,37.4,75000,37.4
2016-08-05,37.4,37.4,37.4,37.4,8810,37.4
2016-08-17,37.4,37.4,37.4,37.4,75000,37.4
2016-08-30,37.4,37,37,37,195822,37
2016-08-31,37,37,37,37,5000,37
2016-09-13,37,37,37,37,13950,37
2016-10-03,37,37,37,37,11785,37
2016-10-13,37,37,37,37,6030,37
2016-10-28,37,37,37,37,7542,37
2016-11-21,37,37,37,37,4800000,37
2016-11-22,37,40,40,40,20000,40
2016-12-13,40,40,40,40,11245,40
2016-12-16,40,37,35,35,14611810,35
2016-12-27,35,35,35,35,3512268,35
2017-01-11,35,35,35,35,47473,35
2017-01-24,35,35,35,35,1833,35
2017-03-13,35,40,40,40,257844,40
2017-03-15,40,40,40,40,9350,40
2017-03-29,40,40,40,40,18000,40
2017-03-30,40,40,40,40,107000,40
2017-04-04,40,40,40,40,47591,40
2017-04-27,40,33,33,33,49395,33
2017-05-03,33,33,33,33,156861,33
2017-05-22,33,35,35,35,127784,35
2017-05-31,35,35.1,35,35,115000,35
2017-06-09,35,35,35,35,200000,35
2017-06-19,35,35,35,35,50000,35
2017-06-23,35,35,35,35,100000,35
2017-06-28,35,35,35,35,1000,35
2017-06-30,35,35,35,35,132829,35
2017-07-07,35,35,35,35,3455,35
2017-07-12,35,33,33,33,75000,33
2017-07-13,33,34,34,34,41264,34
2017-07-14,34,34,34,34,1731,34
2017-07-26,34,34,34,34,60650,34
2017-08-03,34,34,34,34,13384,34
