date,open,high,low,close,volume,adj_close
2009-06-03,2950,2951.1,2951.1,2951.1,3755,2951.1
2009-06-04,2951.1,2951.1,2951.1,2951.1,1495,2951.1
2009-06-05,2951.1,2951,2951,2951,688,2951
2009-06-08,2951,2951.1,2951.1,2951.1,2350,2951.1
2009-06-09,2951.1,3000,3000,3000,2739,3000
2009-06-10,3000,3100,3000,3000,7410,3000
2009-06-11,3000,3000,3000,3000,50,3000
2009-06-12,3000,3000.1,3000,3000.1,52750,3000.1
2009-06-15,3000.1,3000.1,3000.1,3000.1,5125,3000.1
2009-06-16,3000.1,3000,3000,3000,499,3000
2009-06-22,3000,3001,3001,3001,73309,3001
2009-06-23,3001,3000,3000,3000,659,3000
2009-06-25,3000,3000,3000,3000,1314,3000
2009-06-26,3000,3000,2999.9,3000,127981,3000
2009-07-01,3000,3100,3100,3100,64966,3100
2009-07-02,3100,3100,3100,3100,88193,3100
2009-07-08,3100,3100,3100,3100,21277,3100
2009-07-14,3100,3200,3100,3200,10692,3200
2009-07-20,3200,3200,3200,3200,671,3200
2009-07-22,3200,3400,3300,3300,1509966,3300
2009-07-23,3300,3350,3350,3350,700,3350
2009-07-24,3350,3350,3350,3350,2721,3350
2009-07-30,3350,3250,3250,3250,250,3250
2009-08-04,3250,3400,3350,3400,2555,3400
2009-08-05,3400,3550,3450,3550,940,3550
2009-08-06,3550,3700,3650,3650,56149,3650
2009-08-10,3650,3650,3650,3650,1724,3650
2009-08-12,3650,3700,3650,3650,18145,3650
2009-08-13,3650,3700,3661,3700,91894,3700
2009-08-17,3700,3700,3700,3700,770,3700
2009-08-18,3700,3750,3710,3710,3611,3710
2009-08-20,3710,3700,3700,3700,40540,3700
2009-08-21,3700,3800,3800,3800,790,3800
2009-08-24,3800,3799.9,3799.9,3799.9,1060,3799.9
2009-08-25,3799.9,3800,3800,3800,27000,3800
2009-08-26,3800,3815,3815,3815,2272,3815
2009-08-27,3815,4000,3850,3900,321898,3900
2009-08-28,3900,3900,3900,3900,857,3900
2009-08-31,3900,3899.9,3899.9,3899.9,64100,3899.9
2009-09-02,3899.9,3900,3900,3900,170,3900
2009-09-03,3900,3800,3800,3900,600,3900
2009-09-09,3900,3900,3800,3899.4,400,3899.4
2009-09-15,3899.4,3850,3800,3850,7726,3850
2009-09-16,3850,3849,3775,3775,72863,3775
2009-09-22,3775,3775,3675,3775,42705,3775
2009-09-28,3775,3775,3775,3775,1797,3775
2009-09-30,3775,3775,3775,3775,6064,3775
2009-10-02,3775,3825,3775,3825,26690,3825
2009-10-07,3825,3800,3800,3800,14780,3800
2009-10-13,3800,3800,3800,3800,2600,3800
2009-10-14,3800,3800,3800,3800,10873,3800
2009-10-15,3800,3800,3799,3800,15000,3800
