date,open,high,low,close,volume,adj_close
2009-06-03,117.7767,118.6758,116.1284,116.8776,30214170,116.8776
2009-06-04,116.8776,118.0764,114.7798,117.1473,30367330,117.1473
2009-06-05,117.4769,118.0764,115.9725,116.6498,36227100,116.6498
2009-06-08,115.6789,116.8776,114.2404,115.3193,16749960,115.3193
2009-06-09,115.3193,116.2783,114.4802,115.6669,20358680,115.6669
2009-06-10,115.6668,117.1773,115.6789,116.5719,38696170,116.5719
2009-06-11,116.548,117.477,116.4221,116.7278,28474610,116.7278
2009-06-12,116.5779,116.8776,115.6789,116.1164,35855900,116.1164
2009-06-15,115.0795,116.8776,114.4802,116.7877,35567670,116.7877
2009-06-16,116.8777,116.8776,115.0795,115.7988,59855380,115.7988
2009-06-17,115.6729,116.578,112.9817,113.5811,36060330,113.5811
2009-06-18,113.8808,116.8776,112.676,113.1915,32041130,113.1915
2009-06-19,113.1915,113.8808,112.8618,113.5811,71904910,113.5811
2009-06-22,113.581,113.5811,110.8839,111.4832,56907150,111.4832
2009-06-23,111.4833,113.5811,109.0857,109.7271,115192700,109.7271
2009-06-24,109.7271,112.9517,109.8649,110.776,36029230,110.776
2009-06-25,110.776,114.4802,110.776,114.1145,22228700,114.1145
2009-06-26,113.2814,115.6789,113.2814,115.6609,31264600,115.6609
2009-06-30,115.6789,118.6758,115.3792,118.3281,40945420,118.3281
2009-07-01,118.6757,119.2751,117.7767,117.8905,49203670,117.8905
2009-07-02,117.8906,116.8836,115.7388,116.0505,36276410,116.0505
2009-07-03,115.6789,116.8776,115.8587,116.6259,20436980,116.6259
2009-07-06,116.6259,117.477,115.0795,117.1773,12786630,117.1773
2009-07-07,117.477,117.477,115.9786,116.8117,21544380,116.8117
2009-07-08,116.8776,116.8776,115.0795,115.4271,24540830,115.4271
2009-07-09,115.4271,116.578,115.0795,115.2353,17629130,115.2353
2009-07-10,114.606,115.8287,113.8808,115.0795,19152950,115.0795
2009-07-13,115.0795,116.8776,114.2104,116.548,25471330,116.548
2009-07-14,117.5129,120.4739,117.5129,119.4669,55783970,119.4669
2009-07-15,119.5748,122.5717,119.2751,122.2,58181230,122.2
2009-07-17,122.2,123.4707,121.0732,121.3609,21620360,121.3609
2009-07-20,121.6725,122.8773,120.8395,122.8653,28569030,122.8653
2009-07-21,122.8774,123.7105,122.3019,123.5187,35311450,123.5187
2009-07-22,123.4707,124.0701,122.266,123.9982,35556960,123.9982
2009-07-23,123.9981,124.9692,123.4707,124.0041,78445410,124.0041
2009-07-24,124.0041,124.0701,122.8714,123.4707,10858020,123.4707
2009-07-27,123.4707,124.6695,123.207,124.4597,21977830,124.4597
2009-07-28,124.4596,124.6695,122.8833,124.5016,17390640,124.5016
2009-07-29,124.6695,124.3698,122.272,122.8714,30895260,122.8714
2009-07-30,122.8714,124.6695,122.8714,123.8903,53635990,123.8903
2009-07-31,123.8903,124.3758,123.4707,123.9622,56277120,123.9622
2009-08-03,124.0701,124.6755,123.7704,124.5256,21092340,124.5256
2009-08-04,124.0701,124.9692,123.4707,123.7704,33109440,123.7704
2009-08-05,123.7704,124.3458,122.8714,123.231,25129590,123.231
2009-08-06,123.231,124.2499,120.7795,121.2171,27410780,121.2171
2009-08-07,121.9723,122.272,119.2751,119.419,12158230,119.419
2009-08-10,119.8745,121.3729,119.8685,121.3729,21666230,121.3729
2009-08-11,121.3729,121.3729,119.8625,119.8685,11421140,119.8685
2009-08-12,119.8685,121.3789,119.5748,121.3729,27520930,121.3729
2009-08-13,121.6786,121.6786,120.4739,121.3729,13022080,121.3729
2009-08-14,121.373,122.8714,121.0732,122.8714,24774050,122.8714
2009-08-17,122.8713,121.6726,120.4739,121.3489,16783710,121.3489
2009-08-18,121.3489,122.272,119.8745,120.306,39573630,120.306
2009-08-19,120.7136,121.1332,119.2751,119.7786,22153840,119.7786
2009-08-20,119.7786,121.1332,119.5748,120.1682,11507480,120.1682
2009-08-21,120.1682,120.7736,118.6758,120.0843,21804790,120.0843
2009-08-24,120.0842,119.8745,118.0764,118.8735,26185120,118.8735
2009-08-25,118.9755,120.4139,118.0764,120.1742,27089270,120.1742
2009-08-26,120.1742,119.8745,118.6758,118.9155,16320550,118.9155
2009-08-27,119.2751,119.2751,117.477,117.5549,29463520,117.5549
2009-08-28,117.5548,118.9155,117.1773,117.6927,32835520,117.6927
2009-08-31,117.6928,118.9155,114.8997,115.3073,32537360,115.3073
2009-09-01,115.3073,116.2783,114.1445,114.66,35855070,114.66
