date,open,high,low,close,volume,adj_close
2016-04-21,71.02,90,80,88.11,7839077,88.11
2016-04-22,88.11,89.9,87.37,88.99,9707145,88.99
2016-04-25,88.99,88.35,83.5,86.04,13779480,86.04
2016-04-26,86.04,87,82.51,84.57,33214990,84.57
2016-04-27,84.57,84.2,81.01,82.74,19140540,82.74
2016-04-28,82.74,83.95,81.06,82.37,51988850,82.37
2016-04-29,82.37,82.5,80,80.91,53768800,80.91
2016-05-02,80.91,82.97,81.5,82.7,48313790,82.7
2016-05-03,82.7,82.75,81.05,82.63,22879140,82.63
2016-05-04,82.63,83,80.75,81.75,89870780,81.75
2016-05-05,81.75,83.01,81.46,82.3,62473150,82.3
2016-05-06,82.3,82.5,81.37,81.9,58030830,81.9
2016-05-09,81.9,82.25,79.5,81.48,30476080,81.48
2016-05-10,81.48,82.5,80.5,81.54,58868680,81.54
2016-05-11,81.54,82.5,80.52,81.61,39269250,81.61
2016-05-12,81.61,82.79,81.81,81.97,47556940,81.97
2016-05-13,81.97,82.5,81.9,82.04,17355700,82.04
2016-05-16,82.04,82.95,79,81.07,35736500,81.07
2016-05-17,81.07,82.5,79.25,80.94,26112110,80.94
2016-05-18,80.94,82.51,76.28,77.23,91787260,77.23
2016-05-19,77.23,78.2,75.6,76.37,40803760,76.37
2016-05-20,76.37,78.9,75.5,75.56,17586380,75.56
2016-05-23,75.56,76.7,74,74.84,32820110,74.84
2016-05-24,74.84,76.9,74,75.34,103891400,75.34
2016-05-25,75.34,78.2,75.5,77.97,74580500,77.97
2016-05-26,77.97,78,77.2,77.24,39321650,77.24
2016-05-27,77.24,78.15,77.1,77.69,20676720,77.69
2016-05-30,77.69,78.49,77.31,78.4,8515640,78.4
2016-05-31,78.5,79.5,78.11,79.3,93744600,79.3
2016-06-01,79.3,79.51,78.5,79.42,48183130,79.42
2016-06-02,79.42,79.81,78.7,78.98,44727030,78.98
2016-06-03,78.98,79.5,78.25,79.29,80275590,79.29
2016-06-06,79.29,79.6,78.18,78.61,14778030,78.61
2016-06-07,78.55,79.5,78.45,78.93,19653530,78.93
2016-06-08,78.93,79.5,78.17,78.81,49536240,78.81
2016-06-09,78.81,79.1,76,77.24,88481550,77.24
2016-06-10,77.24,79.11,76.2,76.21,13131990,76.21
2016-06-13,76.21,78.65,75.16,75.53,24651540,75.53
2016-06-14,75.53,78.66,75,75.05,26183060,75.05
2016-06-15,75.05,75.59,75,75.14,18551370,75.14
2016-06-16,75.14,75.9,73.94,75.83,42374950,75.83
2016-06-17,75.83,77.3,74.5,76.64,56507260,76.64
2016-06-20,76.64,78.1,76.64,77.47,19706310,77.47
2016-06-21,77.47,79.47,76.25,77.37,35528200,77.37
2016-06-22,77.37,78.5,76.5,76.99,23455560,76.99
2016-06-23,76.99,79.3,76,77.24,27127740,77.24
2016-06-24,77.24,78.63,75.25,77.97,37748380,77.97
2016-06-28,77.97,78,76,77.17,23788500,77.17
2016-06-29,77.17,78,76.48,77.42,23568120,77.42
2016-06-30,77.42,78,76.5,77.57,30590980,77.57
2016-07-01,77.57,78,76.31,76.85,26852300,76.85
2016-07-04,76.85,77.8,76.72,76.94,3554158,76.94
2016-07-05,76.94,77.1,76,76.93,32532330,76.93
2016-07-06,76.93,77.12,76,76.94,22191750,76.94
2016-07-07,76.94,77.08,76.1,76.74,25450630,76.74
2016-07-08,76.74,76.9,75.01,75.5,9160690,75.5
2016-07-11,75.5,77,75.31,76.45,17344240,76.45
2016-07-12,76.45,78,76.45,77.31,34185600,77.31
2016-07-13,77.31,77.9,75.1,76.1,37910680,76.1
2016-07-14,76.1,77.54,75,75.96,41771890,75.96
2016-07-15,75.96,77.7,75.96,76.98,27447330,76.98
2016-07-18,76.98,78,75.51,77.4,16410100,77.4
2016-07-19,77.4,78,76.5,77.83,26975280,77.83
2016-07-20,77.83,78,75.61,76.51,54391710,76.51
2016-07-21,76.51,77.8,75.94,77.32,18233160,77.32
2016-07-22,77.32,78,76.5,77.46,17561240,77.46
2016-07-25,77.46,78,76.04,77.65,17194010,77.65
2016-07-26,77.65,77.9,77.2,77.45,42453180,77.45
2016-07-27,77.45,78,76.84,77.09,20465180,77.09
2016-07-28,77.09,78.01,76.03,76.88,24428720,76.88
2016-07-29,76.88,77.5,75.35,76.17,27814860,76.17
2016-08-01,76.17,77.51,75.44,75.97,26257510,75.97
2016-08-02,75.97,76.75,75.15,76.05,15767150,76.05
2016-08-03,76.05,77.85,76,77.79,10789370,77.79
2016-08-04,77.5,78,77.01,77.61,34146680,77.61
2016-08-05,77.61,78.45,76.43,77.18,26148300,77.18
2016-08-08,77.18,78.6,76.75,77.9,71223700,77.9
2016-08-09,77.9,78.99,77.21,78.63,26780020,78.63
2016-08-10,78.63,79,77.5,77.81,14159910,77.81
2016-08-11,77.81,77.52,75.51,76.33,24429900,76.33
2016-08-12,76.33,77.48,75.31,75.97,48656670,75.97
2016-08-16,76,76,72.6,73.31,62837630,73.31
2016-08-17,73.31,75.91,70,70.18,65500900,70.18
2016-08-18,70.18,76,70.2,73.45,65704510,73.45
2016-08-19,73.45,76.01,73.11,73.85,54770500,73.85
2016-08-22,73.85,74.49,72.71,74.14,17021670,74.14
2016-08-23,74.48,74.5,73,74.17,63807120,74.17
2016-08-24,74.17,74.6,74.1,74.39,32281700,74.39
2016-08-25,74.39,75.28,73.01,74.21,44044970,74.21
2016-08-26,72.29,74.45,72.29,73.93,16054220,73.93
2016-08-29,73.93,75.26,73.25,73.78,25480900,73.78
2016-08-30,73.78,74.5,73.99,74.14,75450020,74.14
2016-08-31,74.14,74.51,72.49,72.84,41040370,72.84
2016-09-01,72.84,74.4,72.53,73.87,20911100,73.87
2016-09-02,73.87,74.41,72.86,73.74,21672540,73.74
2016-09-05,73.74,73.49,72.51,73.01,4631987,73.01
2016-09-06,72.59,72.72,71.4,72.21,22073860,72.21
2016-09-07,72.21,72.21,71.19,71.39,6980524,71.39
2016-09-08,71.39,71.8,70.47,71.08,29509310,71.08
2016-09-09,71.08,72.21,70.99,71.83,12002890,71.83
2016-09-12,71.83,71.59,70.5,71.15,9837426,71.15
2016-09-13,71.15,71.79,70.5,71.44,16051190,71.44
2016-09-14,71.44,71.5,70,70.15,10023200,70.15
2016-09-15,70.15,70.17,69,69.2,13899310,69.2
2016-09-16,69.2,69.99,68,68.84,24514900,68.84
2016-09-20,68.84,70,67.51,69.62,50316990,69.62
