date,open,high,low,close,volume,adj_close
2009-06-03,357.3284,356.7431,349.9272,351.6042,9188477,351.6042
2009-06-04,351.5876,356.1537,345.1536,351.4423,14649230,351.4423
2009-06-05,351.4423,356.9839,348.6819,350.7574,7815819,350.7574
2009-06-08,350.7574,352.8329,343.2856,345.7887,8695241,345.7887
2009-06-09,345.7886,353.248,341.6253,344.9377,7639694,344.9377
2009-06-10,346.6064,348.2668,343.2856,346.7974,16471250,346.7974
2009-06-11,346.7973,347.8517,342.2479,345.9713,11758710,345.9713
2009-06-12,345.9838,352.4178,345.7762,351.6748,15647250,351.6748
2009-06-15,352.0027,361.1348,348.6819,359.8563,13837220,359.8563
2009-06-16,361.0933,361.1348,354.9084,357.6314,16609940,357.6314
2009-06-17,357.6065,361.1348,349.097,352.9284,11924680,352.9284
2009-06-18,352.9284,360.3046,350.7574,352.8329,11773010,352.8329
2009-06-19,352.8329,356.1537,351.1725,353.8042,10970950,353.8042
2009-06-22,353.8042,356.9839,351.1725,352.2725,11466420,352.2725
2009-06-23,352.4178,355.9461,347.8517,350.1015,9013109,350.1015
2009-06-24,350.3423,355.9461,344.5309,345.5894,5460069,345.5894
2009-06-25,346.6064,354.9084,346.6064,354.6967,11025610,354.6967
2009-06-26,352.8329,362.3801,352.8329,362.1228,8748588,362.1228
2009-06-30,363.2103,368.1915,360.5122,365.2318,15889650,365.2318
2009-07-01,365.4934,371.0972,365.4934,369.084,18787310,369.084
2009-07-02,369.084,369.4368,365.2443,369.4368,4765704,369.4368
2009-07-03,369.4368,371.0972,365.2858,366.9462,1834323,366.9462
2009-07-06,366.9462,369.4368,359.0593,363.9077,6689749,363.9077
2009-07-07,363.9077,363.6254,359.0593,361.1348,10158910,361.1348
2009-07-08,361.1348,363.6254,355.365,356.9963,6306887,356.9963
2009-07-09,356.9963,363.2103,356.9839,359.1216,5260460,359.1216
2009-07-10,359.1216,361.139,356.1537,361.1307,7241458,361.1307
2009-07-13,361.1307,365.2858,360.7197,363.6462,13392710,363.6462
2009-07-14,363.6461,370.8896,362.5877,370.4164,14447130,370.4164
2009-07-15,370.4164,375.6632,370.267,374.5798,12862660,374.5798
2009-07-17,370.682,374.8331,370.6821,370.9643,3205428,370.9643
2009-07-20,370.9643,373.5878,369.4368,371.6326,6021445,371.6326
2009-07-21,371.6327,375.6632,371.4293,372.7327,5818871,372.7327
2009-07-22,372.7326,373.5462,370.6821,371.7281,3535003,371.7281
2009-07-23,371.7281,373.5878,370.267,370.653,20668040,370.653
2009-07-24,370.653,372.3881,368.1915,368.7228,10515200,368.7228
2009-07-27,368.6066,373.5878,368.6066,372.824,7429211,372.824
2009-07-28,372.8239,373.5878,368.6066,370.8896,13715490,370.8896
2009-07-29,371.5122,371.5123,368.1915,369.8477,19455510,369.8477
2009-07-30,369.8478,373.5878,370.5575,372.3425,24802950,372.3425
2009-07-31,371.5123,371.5123,365.7009,366.8051,15144540,366.8051
2009-08-03,366.8051,371.5123,369.4368,370.7568,16954920,370.7568
2009-08-04,370.6821,372.3425,370.2296,370.844,24112600,370.844
2009-08-05,370.844,371.5123,364.8292,365.6968,7220031,365.6968
2009-08-06,366.116,367.3613,363.2103,363.6254,20559570,363.6254
2009-08-07,363.6254,366.9462,359.0593,360.5371,5076448,360.5371
2009-08-10,360.5371,367.2617,362.7952,364.4515,21900530,364.4515
2009-08-11,364.4514,365.2858,363.1688,364.4556,7910011,364.4556
2009-08-12,364.4556,369.0217,365.2858,367.8677,12320660,367.8677
2009-08-13,367.7764,374.418,366.5311,373.0564,5253395,373.0564
2009-08-14,373.0565,373.5878,367.3613,369.1421,9510763,369.1421
2009-08-17,369.142,369.4368,364.4556,365.5971,7098245,365.5971
2009-08-18,365.5971,371.9274,362.7952,369.8685,10791570,369.8685
2009-08-19,369.4368,369.4368,364.0405,364.1194,4399335,364.1194
2009-08-20,364.1194,369.0217,360.7197,363.2062,7228942,363.2062
2009-08-21,363.2062,369.0217,356.9839,357.8265,25951770,357.8265
2009-08-24,361.1349,364.4556,352.8329,354.5597,11310850,354.5597
2009-08-25,354.5597,357.399,354.2857,356.5771,9222303,356.5771
2009-08-26,356.5771,356.9839,354.0782,356.2035,12287490,356.2035
2009-08-27,356.9839,357.2163,352.8329,355.2944,18108970,355.2944
2009-08-28,355.7385,356.988,354.9084,356.934,13255100,356.934
2009-08-31,356.9839,356.9839,350.7574,351.2597,10487900,351.2597
2009-09-01,351.2597,354.9084,348.6819,350.3257,9146704,350.3257
2009-09-02,350.3257,354.9084,347.0215,347.7106,7471909,347.7106
2009-09-03,347.7105,354.4103,346.6064,350.2966,12201300,350.2966
2009-09-04,350.2967,352.4178,349.9272,351.1144,6680086,351.1144
2009-09-07,351.1144,355.7386,352.4178,352.945,7675067,352.945
2009-09-08,353.248,356.9839,353.248,355.9005,11391850,355.9005
2009-09-09,355.9005,359.4744,355.365,355.7344,7255849,355.7344
2009-09-10,355.7344,359.0593,354.9499,355.3069,10008780,355.3069
2009-09-11,355.3068,359.0593,351.5876,352.5921,9142464,352.5921
2009-09-14,352.8329,356.5688,351.5876,352.808,19954260,352.808
2009-09-15,352.4178,356.5688,351.9612,352.3099,14229030,352.3099
2009-09-16,352.3099,358.6442,352.4178,357.8971,31808800,357.8971
2009-09-17,357.6065,360.7197,356.9839,360.6907,23337350,360.6907
2009-09-21,360.7198,360.7197,356.1537,357.1333,13281320,357.1333
2009-09-22,357.1333,360.7031,356.1537,357.1873,12566840,357.1873
2009-09-23,357.1873,359.0593,354.9499,355.9005,5606444,355.9005
2009-09-24,356.6186,358.2292,354.9084,355.7635,13265610,355.7635
2009-09-25,355.7635,357.7725,354.9499,355.2197,15993890,355.2197
2009-09-28,355.2197,356.9839,354.9499,355.8797,4852551,355.8797
2009-09-29,356.3612,356.9839,355.7386,356.2574,5300278,356.2574
2009-09-30,356.2574,356.9839,354.4933,355.0038,12134660,355.0038
2009-10-01,355.7386,356.9839,350.3423,351.517,7674257,351.517
2009-10-02,351.517,356.1537,347.8517,349.5702,9152503,349.5702
2009-10-05,349.5702,352.2102,346.3615,350.1389,8303271,350.1389
2009-10-06,350.3423,354.4933,350.1555,354.4933,22201730,354.4933
2009-10-07,354.9084,356.1537,351.8366,354.8627,9711807,354.8627
2009-10-08,355.7385,356.1537,353.6631,354.9706,10861370,354.9706
2009-10-09,354.9707,356.9839,355.3235,355.722,10251900,355.722
2009-10-13,355.722,362.7952,356.9423,360.2424,22433230,360.2424
2009-10-14,360.2424,362.7952,358.6442,360.2839,22623810,360.2839
2009-10-15,360.2839,362.7952,356.9839,357.8224,8912467,357.8224
2009-10-16,357.8141,360.7197,354.9125,360.342,9815320,360.342
2009-10-19,361.1349,362.7952,358.6442,359.1092,8537315,359.1092
2009-10-20,358.7272,360.7197,352.2102,352.8702,9119819,352.8702
2009-10-21,352.8329,352.8329,349.1012,349.7446,24122960,349.7446
2009-10-22,350.3423,352.8329,346.6064,347.171,18469790,347.171
2009-10-23,348.2668,351.5876,346.1913,346.5857,21107890,346.5857
2009-10-26,346.5857,348.2668,346.1913,346.4653,11192320,346.4653
2009-10-27,346.4652,348.2668,342.0403,342.4554,12115450,342.4554
2009-10-28,342.0403,347.4366,339.4252,339.5622,13100700,339.5622
2009-10-29,339.9649,347.4366,336.229,343.3064,20781040,343.3064
2009-10-30,346.6064,346.6064,338.7196,340.2679,8120916,340.2679
2009-11-02,340.2679,343.4932,332.9082,334.1161,6296634,334.1161
2009-11-03,334.1161,342.829,329.6289,336.0214,17507220,336.0214
2009-11-04,336.6441,340.4256,335.5648,339.583,11392320,339.583
2009-11-05,339.5829,341.2102,338.155,339.9607,16841930,339.9607
2009-11-06,339.9607,341.2102,337.1422,340.1807,7297671,340.1807
2009-11-09,340.1807,348.2668,339.5498,346.8472,12290270,346.8472
2009-11-10,346.814,347.2291,341.0192,346.3325,17259840,346.3325
2009-11-11,346.3325,347.0215,342.9121,344.1449,5966943,344.1449
2009-11-12,344.1449,342.4554,339.5498,340.38,5057535,340.38
2009-11-13,340.38,342.2479,340.38,341.2102,5238150,341.2102
2009-11-16,341.2102,341.8328,338.3086,340.0313,5123803,340.0313
2009-11-17,339.5498,341.2517,332.078,332.5305,13698260,332.5305
2009-11-18,332.5305,340.38,330.4176,330.8327,11426400,330.8327
2009-11-19,330.8328,332.078,327.927,332.0573,6384259,332.0573
2009-11-20,332.078,333.3233,330.0025,331.2478,2854125,331.2478
2009-11-23,331.2478,334.1535,328.7987,329.6621,11394860,329.6621
2009-11-24,329.6621,330.0025,327.0553,327.8938,40374330,327.8938
2009-11-25,327.8938,329.5874,326.2666,327.0844,8863069,327.0844
2009-11-26,327.0844,327.927,317.9647,318.6372,3921585,318.6372
2009-11-27,317.9647,327.927,317.9647,324.4319,8760204,324.4319
2009-11-30,324.6063,331.2478,323.7761,329.4131,20641570,329.4131
2009-12-01,329.4131,334.5727,328.1346,334.3735,9451962,334.3735
2009-12-02,334.3734,339.1347,328.035,336.6897,16540110,336.6897
2009-12-03,336.6898,339.1347,334.1535,334.4441,6463664,334.4441
2009-12-04,334.4441,338.3045,334.1535,336.9886,9344204,336.9886
2009-12-07,336.9886,338.3045,332.161,332.5139,5573929,332.5139
2009-12-09,332.5138,336.229,332.4516,334.5727,47829980,334.5727
2009-12-10,334.5728,339.5498,336.229,337.2875,62324320,337.2875
2009-12-11,337.2874,345.3611,337.0592,344.5309,9915116,344.5309
2009-12-14,344.5309,349.9272,344.5309,349.7072,19859760,349.7072
2009-12-15,349.7072,351.5876,346.6064,349.5121,23052420,349.5121
2009-12-16,349.5121,351.7951,349.097,349.18,12887790,349.18
2009-12-17,349.5121,351.5876,346.1913,347.7645,9155451,347.7645
2009-12-18,347.7645,351.5876,343.2856,345.166,11282200,345.166
2009-12-21,345.166,350.3464,345.1536,349.8981,18679780,349.8981
2009-12-22,350.3423,351.5876,348.6819,349.0638,15718330,349.0638
2009-12-23,352.0027,352.0027,349.097,350.94,12824350,350.94
2009-12-24,350.94,352.0027,349.097,350.8321,6685583,350.8321
2009-12-28,350.7574,353.6631,350.7574,353.0031,40759920,353.0031
2009-12-29,354.9084,356.988,352.8329,355.7635,28377900,355.7635
2009-12-30,356.9838,359.0593,354.9084,358.3495,54170300,358.3495
2010-01-04,358.3495,361.1348,354.9084,361.1348,121274400,361.1348
2010-01-05,361.1348,364.8707,360.5122,361.0767,77900460,361.0767
2010-01-06,361.0767,364.4556,359.8895,363.4552,19594250,363.4552
2010-01-07,364.4557,365.2858,361.5499,363.7832,19118640,363.7832
2010-01-08,364.4556,365.29,361.965,364.7877,6936324,364.7877
2010-01-11,364.7877,371.3047,362.3801,368.0711,15185410,368.0711
2010-01-12,367.7764,371.4708,365.7009,369.6651,15642080,369.6651
2010-01-13,370.2669,377.3236,365.7424,375.6549,10691280,375.6549
2010-01-14,374.8331,377.7387,373.5878,374.4678,10683860,374.4678
2010-01-15,374.8331,375.6632,369.4368,370.5825,10037980,370.5825
2010-01-18,370.5824,375.6217,371.5123,375.3851,6956573,375.3851
2010-01-19,375.6633,377.7387,371.8443,377.7097,8087360,377.7097
2010-01-20,377.7096,376.95,374.418,376.0617,19335720,376.0617
2010-01-21,375.6633,378.9633,373.5878,374.5093,19088810,374.5093
2010-01-22,374.5092,378.984,370.7651,377.444,12829350,377.444
2010-01-25,377.444,380.7689,376.4934,379.1999,12515750,379.1999
2010-01-26,379.1998,379.4406,375.6632,376.0783,9399808,376.0783
2010-01-27,377.7387,380.4369,370.7692,374.31,15361010,374.31
2010-01-28,375.6632,377.7387,366.5311,373.5836,11782100,373.5836
2010-01-29,373.1727,377.6972,369.8519,372.5002,10946770,372.5002
2010-02-01,372.5002,376.2236,371.9274,373.484,18697230,373.484
2010-02-02,373.5877,377.3236,373.1727,376.1032,10183310,376.1032
2010-02-03,376.9085,383.9652,376.0783,383.8531,18483890,383.8531
2010-02-04,383.8531,383.8407,375.6632,377.6516,22457030,377.6516
2010-02-05,377.6516,378.021,364.8707,366.1119,21904980,366.1119
2010-02-08,366.1118,377.3236,366.116,366.9088,5000391,366.9088
2010-02-09,366.9089,372.3051,363.2145,364.053,16047040,364.053
2010-02-10,364.053,370.267,355.7386,357.6771,16719180,357.6771
2010-02-11,357.6771,369.4368,357.399,363.7458,14579920,363.7458
2010-02-12,363.6254,364.082,359.0593,360.948,12664690,360.948
2010-02-15,361.1349,369.0217,360.3046,360.3628,12121460,360.3628
2010-02-16,360.3627,366.116,360.9273,365.2484,4781342,365.2484
2010-02-17,365.2858,369.0217,365.2858,367.8594,6456379,367.8594
2010-02-18,367.8594,369.8519,366.116,366.9379,21841030,366.9379
2010-02-19,366.9379,369.0217,359.4744,363.8081,6295140,363.8081
2010-02-22,363.808,369.0217,362.3801,363.4884,10411670,363.4884
2010-02-23,363.4885,364.8707,360.3005,360.3711,21579200,360.3711
2010-02-24,360.3711,364.4971,356.9839,357.8016,10467480,357.8016
