date,open,high,low,close,volume,adj_close
2010-10-21,18,18,18,18,323628,18
2010-10-22,18,18,17.98,18,307193,18
2010-10-25,18,20,18.2,20,696756,20
2010-10-26,20,20.2,19,19,420616,19
2010-10-27,19,19,18,19,180283,19
2010-10-28,19,18.5,18.5,18.5,246124,18.5
2010-10-29,18.5,19,19,19,163649,19
2010-11-02,19,19,19,19,121360,19
2010-11-03,19,18.5,18,18.5,219579,18.5
2010-11-04,18.5,18.05,18.05,18.05,108087,18.05
2010-11-05,18.05,18.05,18.05,18.05,17646,18.05
2010-11-08,18.05,18.05,18.05,18.05,43659,18.05
2010-11-09,18.05,18.5,18.5,18.5,79669,18.5
2010-11-10,18.5,18.51,18.5,18.51,195010,18.51
2010-11-11,18.51,19.8,18.51,19.8,286658,19.8
2010-11-12,19.8,24,24,24,171740,24
2010-11-15,24,24.5,22.8,24.5,402451,24.5
2010-11-16,24.5,24,24,24,91718,24
2010-11-17,24,25,23,24,349573,24
2010-11-18,24,24,24,24,39132,24
2013-01-15,3.692,2.2,2,3.692,6511402,3.692
2013-01-16,3.692,4.5,3.7,3.45,7615868,3.45
2013-01-17,3.45,4.6,4,4.55,2331141,4.55
2013-01-18,4.55,4.7,4.6,4.6,1135526,4.6
2013-01-21,4.6,4.1,4.1,4.1,401334,4.1
2013-01-22,4.1,4.1,4.1,4.1,26797,4.1
2013-01-24,4.1,2,2,2,1233484,2
2013-01-25,2,2,2,2,519244,2
2013-01-28,2,3.2,2.1,3.053,9604960,3.053
2013-01-29,3.053,3,2.51,2.62,7008392,2.62
2013-01-30,2.62,2.62,2.62,2.62,1171352,2.62
2013-01-31,2.62,2.62,2.62,2.62,1000000,2.62
2017-12-13,5,5,3.2,5,4583582,5
2017-12-14,5,5.5,5.22,5.5,1174917,5.5
2017-12-15,5.5,6.627,6.627,6.627,262125,6.627
2017-12-18,6.627,8.5,7.5,8,2204071,8
2017-12-19,8,10,7.5,7.5,1924535,7.5
2017-12-20,7.5,7.3,7.25,7.3,1000251,7.3
2017-12-21,7.3,6.7,6,6,1006381,6
2017-12-22,6,6,6,6,2672314,6
2017-12-26,6,5,5,5,6472285,5
2017-12-27,5,5,5,5,1103857,5
2017-12-28,5,4.5,4.3,4.5,3907515,4.5
2017-12-29,4.5,5,5,4.5,538759,4.5
2018-01-02,4.5,5.5,4.5,5.476,2881449,5.476
2018-01-03,5.476,5.25,5,5.476,8517039,5.476
2018-01-04,5.476,5.33,5,5.476,3983606,5.476
2021-03-18,2.867,5.15,2,2.867,161036700,2.867
2021-03-19,2.8,2.838,1.9,2.145,144301500,2.145
2021-03-22,2.145,2.3,1.72,1.85,89900250,1.85
2021-03-23,1.85,1.84,1.6,1.736,75157160,1.736
2021-03-24,1.736,2.28,1.736,2.207,120458700,2.207
2021-03-25,2.2,2.2,1.84,1.915,51591020,1.915
2021-03-26,1.915,2.1,1.87,2.064,51098080,2.064
2021-03-29,2.064,1.91,1.831,1.842,42355440,1.842
2021-03-30,1.842,1.85,1.45,1.823,106679400,1.823
2021-03-31,1.823,1.69,1.61,1.638,27031900,1.638
2021-04-01,1.638,1.7,1.31,1.37,62316760,1.37
2021-04-05,1.37,1.32,1.1,1.115,111384400,1.115
2021-04-06,1.1,1.1,0.6,0.669,58760820,0.669
2021-04-07,0.669,0.66,0.55,0.573,107578100,0.573
2021-04-08,0.573,0.55,0.32,0.34,112696100,0.34
2021-04-09,0.34,0.5,0.4,0.437,138612700,0.437
2021-04-12,0.437,0.5,0.411,0.463,111126700,0.463
2021-04-13,0.55,1.1,0.55,0.728,175042800,0.728
2021-04-14,0.728,0.735,0.35,0.366,199396300,0.366
2021-04-15,0.366,0.4,0.2,0.366,192121700,0.366
2021-05-06,0.961,1,0.85,0.961,6346819,0.961
2021-05-07,0.961,0.95,0.8,0.836,9934914,0.836
2021-05-10,0.836,0.82,0.75,0.764,15817430,0.764
2021-05-11,0.764,0.372,0.372,0.764,11249350,0.764
2021-05-12,0.764,0.764,0.764,0.764,1399705,0.764
2021-05-13,0.764,0.54,0.54,0.764,4723942,0.764
2021-05-14,0.764,0.764,0.764,0.764,2494878,0.764
2021-05-17,0.764,0.69,0.69,0.764,3405956,0.764
2021-05-18,0.764,0.764,0.764,0.764,969000,0.764
2021-05-19,0.764,0.69,0.501,0.646,12094750,0.646
2021-05-20,0.646,0.65,0.65,0.646,5698468,0.646
2021-05-24,0.646,0.649,0.649,0.646,4863191,0.646
2021-05-25,0.646,0.6,0.6,0.646,8213851,0.646
2021-05-26,0.646,0.646,0.646,0.646,2885850,0.646
2021-05-27,0.646,0.646,0.646,0.646,2052601,0.646
2021-05-28,0.646,0.65,0.65,0.646,1558487,0.646
2021-05-31,0.646,0.646,0.646,0.646,2422228,0.646
2021-06-01,0.646,0.646,0.646,0.646,2241068,0.646
2021-06-02,0.646,0.646,0.646,0.646,777988,0.646
2021-06-03,0.646,0.64,0.64,0.646,4039352,0.646
2021-06-04,0.646,0.646,0.646,0.646,166666,0.646
2021-06-07,0.646,0.646,0.646,0.646,1654410,0.646
2021-06-08,0.646,0.646,0.646,0.646,1532359,0.646
2021-06-09,0.646,0.646,0.646,0.646,16882,0.646
2021-06-10,0.646,0.646,0.646,0.646,235939,0.646
2021-06-14,0.646,0.646,0.646,0.646,1481331,0.646
2021-06-15,0.646,0.646,0.646,0.646,192747,0.646
2021-06-16,0.646,0.646,0.646,0.646,74719,0.646
2021-06-17,0.646,0.646,0.646,0.646,150000,0.646
2021-06-18,0.646,0.646,0.646,0.646,1040812,0.646
