date,open,high,low,close,volume,adj_close
2011-12-30,550,550,485,550,14000,550
2012-01-02,550,550,550,550,50,550
2012-01-03,550,575,550,575,10000,575
2012-01-04,575,630,600,630,317683,630
2012-01-05,630,680,680,680,7140,680
2012-01-06,680,760,700,760,141899,760
2012-01-09,760,820,770,809.9,156716,809.9
2012-01-10,809.9,820,820,820,100001,820
2012-01-11,820,820,790,790,24062,790
2012-01-12,790,750,740,740,14646,740
2012-01-13,740,740,740,740,4515,740
2012-01-17,740,740,740,740,402,740
2012-01-19,740,740,740,740,123,740
2012-01-24,740,760,759,759,24590,759
2012-01-26,759,759,759,759,12,759
2012-01-27,759,760,750,754,723586,754
2012-01-30,754,770,740,770,8001,770
2012-01-31,770,788,730,750,49830,750
2012-02-01,750,780,780,780,4128,780
2012-02-02,780,799,799,799,2000,799
2012-02-06,799,780,780,780,3252,780
2012-02-10,780,780,780,780,209,780
2012-02-13,780,750,750,750,2614,750
2012-02-14,750,750,750,750,7680,750
2012-02-15,750,769,730,750,19905,750
2012-02-20,750,750,750,750,1021,750
2012-02-22,750,780,750,780,51689,780
2012-02-23,780,800,790,800,25611,800
2012-02-24,800,820,800,820,5000,820
2012-02-28,820,825,825,825,2656,825
2012-02-29,825,800,800,800,2371,800
2012-03-02,800,800,800,800,20,800
2012-03-05,850,850,840,850,7956,850
2012-03-06,850,900,850,850,9620,850
2012-03-07,850,851,851,851,1497918,851
2012-03-08,851,870,861,861,1271,861
2012-03-09,861,900,900,900,3030,900
2012-03-12,900,900,893.5,893.5,3053,893.5
2012-03-13,893.5,900,890,900,14583,900
2012-03-15,900,900,900,900,11045,900
2012-03-16,900,900,900,900,1000,900
2012-03-19,900,900,900,900,218,900
2012-03-20,900,900,900,900,276,900
2012-03-21,900,870,865,870,424798,870
2012-03-22,870,850,850,850,7000,850
2012-03-23,850,870,870,870,16805,870
2012-03-26,870,860,860,860,11524,860
2012-03-27,860,860,850,860,11532,860
2012-03-28,860,860,860,860,342,860
2012-04-09,860,860,860,860,1000,860
2012-04-11,860,860,860,860,11000,860
2012-04-16,860,860,860,860,102,860
2012-04-18,860,830,800,800,10302,800
2012-04-26,800,810,810,810,618,810
2012-05-03,810,810,810,810,494,810
2012-05-09,810,810,810,810,2000,810
2012-05-10,810,810,810,810,21,810
2012-05-15,810,810,810,810,8235,810
2012-05-16,810,815,780,800,14592,800
2012-05-17,800,810,810,810,1801,810
2012-05-18,810,840,840,840,11904,840
2012-05-22,840,860,850,860,3168,860
2012-05-23,860,860,840,860,9478,860
2012-05-25,860,850,850,850,1070,850
2012-05-28,850,860,860,860,690,860
2012-05-29,860,870,860,870,5983,870
2012-05-31,870,890,850,850,35688,850
2012-06-04,850,850,850,850,100,850
2012-06-06,850,850,850,850,120,850
2012-06-14,850,880,850,862.3,14744,862.3
2012-07-09,862.3,800,800,800,1875,800
2012-07-11,800,800,800,800,2000,800
2012-07-19,800,765,765,765,5796739,765
2012-07-20,765,765,764,765,6345,765
2012-07-23,765,765,765,765,6522,765
2012-07-26,765,765,765,765,287,765
2012-07-27,765,765,765,765,2763,765
2012-08-02,765,770,770,770,6345,770
2012-08-30,770,701,700,701,10851740,701
2012-09-05,701,710,710,710,5668,710
2012-09-10,710,710,710,710,553,710
2012-09-12,710,710,710,710,30,710
2012-09-20,710,750,750,750,42872,750
2012-09-21,750,750,750,750,12500,750
2012-10-25,750,750,750,750,1700,750
2012-10-29,750,740,740,740,1708,740
2012-10-31,740,740,740,740,11514,740
2012-11-08,740,750,750,750,15238,750
2012-11-09,750,750,750,750,500,750
2012-11-12,750,800,800,800,750,800
2012-12-17,800,800,800,800,2000,800
2012-12-27,800,800,800,800,5000,800
2012-12-28,800,800,750,800,66747,800
2013-01-08,800,800,800,800,13,800
2013-01-14,800,800,800,800,2500,800
2013-01-17,800,800,800,800,1240,800
2013-01-29,800,800,800,800,60,800
2013-02-12,800,800,800,800,2440,800
2013-02-14,800,800,800,800,1235,800
2013-03-01,800,800,800,800,500,800
2013-03-07,800,800,800,800,3875,800
2013-03-11,800,800,800,800,500,800
2013-03-22,800,800,800,800,375,800
2013-04-08,800,800,800,800,625,800
2013-04-09,800,800,800,800,10000,800
2013-04-17,800,800,800,800,375,800
2013-04-30,800,760,760,760,6330,760
2013-05-03,760,760,750,750,331642,750
2013-05-17,750,700,700,700,1373,700
2013-05-22,700,720,720,720,857,720
2013-05-27,720,720,720,720,5300,720
2013-05-30,720,750,750,750,857,750
2013-06-27,750,780,780,780,154165,780
2013-06-28,780,800,800,800,800,800
2013-07-09,800,800,780,780.01,2000000,780.01
2013-07-10,780.01,780,780,780.01,1449250,780.01
2013-07-12,780.01,820,820,820,24097,820
2013-07-15,820,800,800,800,498154,800
