date,open,high,low,close,volume,adj_close
2009-06-03,7229.954,7229.954,7034.745,7122.579,276622,7122.579
2009-06-04,7132.252,7308.116,7131.275,7282.518,468541,7282.518
2009-06-05,7281.736,7497.658,7278.707,7483.784,632670,7483.784
2009-06-08,7474.209,7477.14,7327.656,7400.933,120871,7400.933
2009-06-09,7400.933,7523.06,7342.311,7483.784,306948,7483.784
2009-06-10,7537.715,7571.911,7425.358,7561.359,319368,7561.359
2009-06-11,7560.187,7762.43,7426.335,7719.246,284781,7719.246
2009-06-12,7719.246,7767.315,7601.222,7755.396,130091,7755.396
2009-06-15,7755.396,7718.464,7523.06,7662.383,213044,7662.383
2009-06-16,7662.383,7718.464,7610.992,7610.992,145818,7610.992
2009-06-17,7610.992,7474.209,7326.679,7353.156,176999,7353.156
2009-06-18,7353.156,7474.209,7356.967,7366.15,191823,7366.15
2009-06-19,7366.15,7444.898,7366.737,7368.397,158858,7368.397
2009-06-22,7371.622,7371.622,7083.401,7133.131,77165,7133.131
2009-06-23,7132.252,7229.954,7083.401,7096.884,121179,7096.884
2009-06-24,7096.884,7278.805,7083.401,7083.401,87604,7083.401
2009-06-25,7083.401,7278.805,7078.516,7190.287,175432,7190.287
2009-06-26,7181.103,7181.103,7098.056,7102.746,144416,7102.746
2009-06-30,7102.746,7181.103,6936.848,6980.911,226725,6980.911
2009-07-01,7033.573,7181.103,7033.573,7083.889,222666,7083.889
2009-07-02,7083.889,7228.977,6995.469,7181.103,179280,7181.103
2009-07-03,7181.103,7278.805,7210.414,7278.805,28548,7278.805
2009-07-06,7278.805,7356.967,7190.873,7355.306,56919,7355.306
2009-07-07,7355.306,7361.852,7181.103,7326.581,129024,7326.581
2009-07-08,7326.581,7327.656,7181.103,7237.672,69075,7237.672
2009-07-09,7237.672,7376.507,7298.345,7303.523,183589,7303.523
2009-07-10,7278.805,7327.656,7210.414,7220.281,92566,7220.281
2009-07-13,7225.069,7302.253,7112.711,7228.586,660076,7228.586
2009-07-14,7228.586,7425.358,7249.494,7408.944,62503,7408.944
2009-07-15,7408.944,7581.681,7425.358,7564.779,144693,7564.779
2009-07-17,7564.779,7622.716,7523.06,7595.555,124763,7595.555
2009-07-20,7595.555,7622.716,7523.06,7568.394,151103,7568.394
2009-07-21,7568.394,7576.796,7386.277,7448.513,166562,7448.513
2009-07-22,7448.513,7473.232,7269.035,7322.38,421135,7322.38
2009-07-23,7322.38,7400.933,7313,7370.449,501584,7370.449
2009-07-24,7370.45,7425.358,7308.116,7320.426,204098,7320.426
2009-07-27,7320.426,7327.656,7210.414,7309.483,175417,7309.483
2009-07-28,7309.483,7298.345,7161.563,7174.752,434585,7174.752
2009-07-29,7174.752,7182.178,7107.826,7150.034,792228,7150.034
2009-07-30,7150.034,7317.886,7181.103,7248.126,231560,7248.126
2009-07-31,7248.126,7352.082,7239.724,7257.506,82177,7257.506
2009-08-03,7239.724,7338.403,7239.724,7281.15,133450,7281.15
2009-08-04,7376.507,7386.277,7327.656,7376.507,223575,7376.507
2009-08-05,7376.507,7474.209,7366.737,7432.783,141122,7432.783
2009-08-06,7432.783,7474.209,7366.737,7374.455,50139,7374.455
2009-08-07,7374.455,7523.06,7361.852,7400.542,100888,7400.542
2009-08-10,7400.542,7450.272,7341.334,7396.927,123521,7396.927
2009-08-11,7396.927,7405.817,7278.805,7289.063,209523,7289.063
2009-08-12,7289.063,7424.381,7278.805,7421.646,154489,7421.646
2009-08-13,7421.45,7421.45,7278.805,7286.816,62257,7286.816
2009-08-14,7286.816,7347.196,7316.909,7328.926,215323,7328.926
2009-08-17,7327.656,7376.507,7229.954,7373.869,65091,7373.869
2009-08-18,7373.869,7377.484,7229.954,7245.977,196178,7245.977
2009-08-19,7245.977,7327.656,7230.931,7242.069,138217,7242.069
2009-08-20,7231.908,7322.771,7231.908,7298.345,100096,7298.345
2009-08-21,7298.345,7352.082,7269.035,7285.155,107087,7285.155
2009-08-24,7285.156,7327.656,7181.103,7211.391,83776,7211.391
2009-08-25,7211.391,7278.805,7215.298,7229.954,71214,7229.954
2009-08-26,7229.954,7249.494,7181.103,7218.229,188054,7218.229
2009-08-27,7218.229,7278.805,7132.252,7138.211,335052,7138.211
2009-08-28,7151.792,7181.103,7035.527,7052.917,204411,7052.917
2009-08-31,7082.424,7082.424,6839.146,6874.025,365824,6874.025
2009-09-01,6936.848,6985.699,6874.025,6896.106,466690,6896.106
2009-09-02,6896.106,6936.848,6863.571,6883.991,176162,6883.991
2009-09-03,6883.991,7082.424,6878.227,6988.728,188660,6988.728
2009-09-04,6988.728,7082.424,6975.928,7004.262,71471,7004.262
2009-09-07,7004.262,7054.09,6937.825,6981.4,66492,6981.4
2009-09-08,6981.4,7034.55,6917.307,6937.238,115718,6937.238
2009-09-09,7005.239,7005.239,6887.997,6893.37,166610,6893.37
2009-09-10,6893.37,6966.256,6927.078,6934.405,326462,6934.405
2009-09-11,6934.405,7005.239,6931.962,6958.342,200916,6958.342
2009-09-14,6958.342,6975.049,6834.26,6857.22,369594,6857.22
2009-09-15,6857.22,6907.537,6795.18,6819.507,643043,6819.507
2009-09-16,6819.507,6935.871,6796.157,6892.393,892123,6892.393
2009-09-17,6892.393,6926.101,6834.26,6842.956,486863,6842.956
2009-09-21,6842.956,6853.801,6800.065,6818.726,324040,6818.726
2009-09-22,6818.726,6946.618,6817.651,6937.141,456852,6937.141
2009-09-23,6937.141,7034.55,6936.848,6990.584,553774,6990.584
2009-09-24,6990.584,7024.779,6966.158,6972.998,295223,6972.998
2009-09-25,6975.831,7005.239,6937.825,6982.768,68209,6982.768
2009-09-28,6982.768,7024.779,6966.158,6995.469,84844,6995.469
2009-09-29,7015.009,7015.009,6995.469,6999.182,95472,6999.182
2009-09-30,7000.452,7010.124,6840.123,6888.583,178361,6888.583
2009-10-01,6888.583,6980.813,6887.997,6896.399,145548,6896.399
2009-10-02,6893.859,6893.859,6839.146,6853.801,193442,6853.801
2009-10-05,6853.801,6936.848,6853.801,6874.318,263832,6874.318
2009-10-06,6890.048,6936.848,6890.048,6916.33,458538,6916.33
2009-10-07,6927.078,6936.848,6897.767,6922.192,345304,6922.192
2009-10-08,6927.078,6985.699,6907.537,6974.072,194678,6974.072
2009-10-09,6974.072,7083.401,6974.951,7060.929,260338,7060.929
2009-10-13,7044.32,7151.792,7044.32,7136.453,279114,7136.453
