date,open,high,low,close,volume,adj_close
2009-06-04,220,220,220,220,6008,220
2009-06-11,220,225,220,225,27436,225
2009-06-17,225,225,225,225,1251,225
2009-06-22,225,205,204.98,205,53476,205
2009-06-24,205,205,205,205,9131,205
2009-06-26,205,204,204,204,10288,204
2009-07-02,204,210,210,210,58941,210
2009-07-07,210,210,210,210,2318284,210
2009-07-08,210,215,215,215,25000,215
2009-07-09,215,215,215,215,12000,215
2009-07-13,215,215,215,215,19047,215
2009-07-15,215,215,215,215,13588,215
2009-07-17,215,215,215,215,2686352,215
2009-07-20,215,215,215,215,10146,215
2009-07-24,215,220,204,220,18634,220
2009-07-28,220,220,220,220,12000,220
2009-07-29,220,220,220,220,19578,220
2009-08-05,220,220,220,220,6000,220
2009-08-06,220,215,215,215,5735,215
2009-08-10,215,215,215,215,9265,215
2009-08-11,215,212,212,212,15000,212
2009-09-04,212,200,195,200,7864,200
2009-09-07,200,200,195,200,20252,200
2009-09-11,200,200,200,200,24000,200
2009-09-21,200,200,200,200,12000,200
2009-09-23,200,200,200,200,14800,200
2009-09-30,200,200,200,200,513740,200
2009-10-22,200,198,195,198,468839,198
2009-11-06,198,194.5,193,194.5,31062,194.5
2009-12-29,194.5,189,179.9,189,547456,189
2010-01-06,189,189,189,189,414,189
2010-01-13,189,192,189,189,66189,189
2010-01-14,189,190,190,190,44651,190
2010-01-15,190,189,188,188,19425,188
2010-01-19,188,186,186,186,5000,186
2010-01-20,186,186,186,186,6684,186
2010-01-29,186,188,188,188,9666,188
2010-02-10,188,195,195,195,26386,195
2010-02-11,195,200,188,200,30296,200
2010-02-22,200,200,190,200,40000,200
2010-02-23,200,199.9,199.9,199.9,6684,199.9
2010-03-01,199.9,200,190,199.28,16687,199.28
2010-03-03,199.28,200,190,190,48505,190
2010-03-04,190,190,190,190,1300,190
2010-03-08,190,190,170,190,27327,190
2010-03-10,190,200,195,200,35541,200
2010-03-12,200,195,195,195,76646,195
2010-03-16,195,195,190,195,34625,195
2010-03-22,195,200,200,200,19493,200
2010-03-25,200,200,200,200,13442,200
2010-03-29,200,200,180,200,142416,200
2010-05-05,200,200,200,200,2360,200
2010-05-06,200,200.2,190,200.2,1037080,200.2
2010-05-07,200.2,200.2,200.2,200.2,65000,200.2
2010-05-10,200.2,200,200,200,99652,200
2010-05-12,200,205,205,205,20000,205
2010-05-13,205,215,210,215,43745,215
2010-05-19,215,215,215,215,508037,215
2010-05-25,215,215,215,215,13299,215
2010-05-27,215,220,220,220,10000,220
2010-05-28,220,220,220,220,5001,220
2010-05-31,220,230,225.1,230,13106,230
2010-06-01,230,230,230,230,3072,230
2010-06-02,230,250,250,250,476646,250
2010-06-03,250,230,230,230,3817,230
2010-06-04,230,235,235,235,5000,235
2010-06-08,235,240,235,240,34751,240
2010-06-10,240,250,250,250,30214,250
2010-06-11,250,250,250,250,3072,250
2010-06-29,250,250,250,250,96,250
2010-07-01,250,255,250,255,61450,255
2010-07-08,255,255,255,255,214,255
2010-07-15,255,260,260,260,1962,260
2010-07-19,260,260,260,260,4000,260
2010-07-26,260,260,260,260,3320,260
2010-08-06,260,260,260,260,5001,260
2010-08-12,260,260,260,260,261,260
2010-08-13,260,265,265,265,2580,265
2010-08-16,265,265,265,265,532,265
2010-08-17,265,285,284,285,2124083,285
2010-08-19,285,285,285,285,18242,285
2010-08-25,285,300,300,300,51088,300
2010-08-26,300,300,300,300,39049,300
2010-08-27,300,300,300,300,2923,300
2010-08-31,300,300,300,300,10000,300
2010-09-07,300,305,305,305,1500,305
2010-09-22,305,310,310,310,62935,310
2010-09-23,310,310,310,310,14495,310
2010-09-28,310,310,310,310,321,310
2010-09-29,310,315,315,315,14285,315
2010-09-30,315,320,320,320,32152,320
2010-10-12,320,325,325,325,6791,325
2010-10-13,325,325,325,325,3209,325
2010-10-14,325,330,330,330,6507,330
2010-11-12,330,340,340,340,1650,340
2010-11-15,340,330,330,330,607181,330
2010-11-16,330,330,330,330,6272,330
2010-11-22,330,330,330,330,101,330
2010-11-25,330,340,340,340,2937,340
2010-12-09,340,340,340,340,440,340
2010-12-16,340,340,340,340,15531,340
2011-01-04,340,335,335,335,1194030,335
2011-03-04,335,335,335,335,1351,335
2011-03-15,335,335,335,335,3273,335
2011-04-06,335,335,335,335,570,335
2011-04-15,335,300,300,300,37100,300
2011-05-27,300,300,300,300,1,300
2011-06-21,300,300,300,300,1,300
2011-07-15,300,200,200,200,8301,200
2011-07-18,200,250,235,250,182456,250
2011-07-19,250,270,250,262,75494,262
2011-07-21,262,264.8,264.8,264.8,37699,264.8
2011-07-26,264.8,264.8,264.8,264.8,8000,264.8
2011-08-10,264.8,250,225,250,54467,250
2011-08-16,250,250,250,250,2000,250
2011-08-24,250,259,259,250,20000,250
2011-09-26,250,250,250,250,1500,250
2011-10-06,250,250,220,236.92,8060,236.92
2011-10-07,236.92,250,250,250,2500,250
2011-10-17,250,245,245,245,10000,245
2011-10-25,245,244.9,244.9,244.9,14982,244.9
2011-11-23,244.9,240,240,244.9,201176,244.9
2011-11-25,244.9,244.9,244.9,244.9,3500000,244.9
2011-11-28,244.9,244.9,244.9,244.9,3500000,244.9
2011-12-21,244.9,244.99,244.99,244.99,3523,244.99
2011-12-23,244.99,244.99,244.99,244.99,2762,244.99
2011-12-30,245,270,245,269.38,504571,269.38
2012-01-26,269.38,239.5,239.5,239.5,5000,239.5
2012-03-22,239.5,218.99,218.99,218.99,4818,218.99
2012-05-02,218.99,190,190,190,31409,190
2012-05-03,190,190,190,190,600,190
2012-05-07,190,190,190,190,19319,190
2012-05-16,170,170,170,170,78268,170
2012-05-17,170,170,170,170,60,170
2012-05-18,170,170,170,170,10940,170
2012-05-29,170,170,170,170,532,170
2012-06-12,170,170,170,170,534,170
2012-06-25,170,170,170,170,2851,170
2012-07-10,170,150,150,150,10000,150
2012-07-11,150,150,150,150,50126,150
2012-07-17,150,150,150,150,733,150
2012-07-23,150,140,140,140,7802,140
2012-07-24,140,140.1,140,140,48465,140
2012-07-26,140,140,140,140,40,140
2012-07-30,140,140,140,140,25572,140
2012-09-11,140,133,133,133,1500000,133
2012-09-12,133,130,130,130,1500000,130
2012-09-26,130,130,130,130,3507253,130
2012-09-28,130,130,130,130,2127,130
2012-10-03,130,130,130,130,7652208,130
2012-10-08,130,130,130,130,446,130
2012-10-09,130,130,130,130,23300,130
2012-10-10,130,130,130,130,11681,130
2012-10-18,130,120,120,120,371328,120
2012-10-19,120,120,120,120,359940,120
2012-11-07,120,120,120,120,4037,120
2012-11-13,120,124,124,124,5000,124
2012-11-14,124,120,120,120,47873,120
2012-11-16,120,120,120,120,1000,120
2012-11-20,120,120,120,120,3000,120
2012-12-04,120,120,120,120,215027,120
2012-12-12,120,120,120,120,89459,120
2012-12-14,120,120,120,120,69388,120
2012-12-20,120,125,125,125,50000,125
2012-12-21,125,125,125,125,2000,125
2013-01-02,125,129,129,129,15600,129
2013-01-03,129,135,135,135,41963,135
2013-01-09,135,140,140,140,13473,140
2013-01-15,140,140,140,140,266,140
2013-01-18,140,140,140,140,7571,140
2013-01-28,130,130,127,127,1149332,127
2013-01-31,127,125,125,125,12000,125
2013-02-04,125,125,120,120,40210,120
2013-02-05,120,120,120,120,3640,120
2013-02-06,120,120,120,120,44338,120
2013-02-07,120,120,120,120,500,120
2013-02-12,120,120,120,120,29007,120
2013-02-18,120,120,120,120,4535,120
2013-02-25,120,121,120,120,49426,120
2013-02-26,120,120,120,120,4488,120
2013-03-05,120,120,120,120,3000,120
2013-03-18,120,120,120,120,26000,120
2013-03-20,120,120,120,120,33000,120
2013-03-28,120,120,120,120,5000,120
2013-04-04,120,120,120,120,33304,120
2013-04-24,120,120,120,120,27278,120
2013-05-07,120,120,120,120,877,120
2013-05-24,120,117.5,117.5,117.5,17400,117.5
2013-05-28,117.5,117.5,117.5,117.5,7700,117.5
2013-05-31,117.5,117,117,117,10000,117
2013-06-07,117,117.5,117.5,117.5,61711,117.5
2013-06-14,117.5,117.5,117.5,117.5,43944,117.5
2013-06-17,117.5,117.5,117.5,117.5,12993,117.5
2013-06-19,117.5,117.5,117.5,117.5,6980,117.5
2013-06-20,117.5,117.5,117.5,117.5,20000,117.5
2013-06-24,117.5,117.5,117.5,117.5,27932,117.5
2013-07-01,117.5,117.5,117.5,117.5,644,117.5
2013-07-02,117.5,117.5,117.5,117.5,20000,117.5
2013-07-03,117.5,117.5,117,117,29150,117
2013-07-05,117,119,117,119,2089376,119
2013-08-22,119,112,112,112,53782,112
2013-08-23,112,111,111,111,25928,111
2013-08-27,111,111,111,111,40000,111
2013-09-02,111,111,111,111,3000,111
2013-09-09,111,111,111,111,14217,111
2013-09-11,111,111,111,111,3133,111
2013-09-30,111,110,110,110,19670,110
2013-10-02,110,110,110,110,17661,110
2013-10-08,110,110,110,110,3000,110
2013-10-09,110,110,110,110,99339,110
2013-10-22,110,110,110,110,42197,110
2013-10-23,110,110,110,110,16427,110
2013-10-25,110,110,110,110,3300,110
2013-11-06,110,105,105,105,11300,105
2013-11-08,105,110,110,110,15324,110
2013-11-11,110,110,110,110,2900,110
2013-11-12,110,111,111,111,6925,111
2013-11-14,111,111,111,111,36665,111
2013-11-26,111,110,110,110,32714,110
2013-12-03,110,110,110,110,10000,110
2013-12-05,110,110,110,110,532,110
2013-12-17,110,108,108,108,21534,108
2013-12-20,108,108,108,108,10000,108
2014-01-16,108,108,108,108,1776,108
2014-02-05,108,100,100,100,34985,100
2014-02-11,100,100,100,100,1001,100
2014-02-18,100,100,100,100,40210,100
2014-03-10,100,100,100,100,2589,100
2014-03-25,100,100,100,100,7778,100
2014-03-26,100,100,100,100,1890,100
2014-04-03,100,100,100,100,8314,100
2014-04-10,100,100,100,100,6249,100
2014-04-16,100,100,100,100,26000,100
2014-05-06,100,100,100,100,951,100
2014-05-07,100,100,100,100,1462,100
2014-05-12,100,100,100,100,11790,100
2014-07-31,100,100,100,100,19360,100
2014-08-04,100,100,100,100,3440,100
2014-08-07,100,100,100,100,920,100
2014-08-11,100,100,100,100,10097,100
2014-08-14,100,100,100,100,35381,100
2014-09-01,100,100,100,100,906,100
2014-09-03,100,100,100,100,850,100
2014-09-04,100,100,100,100,7047,100
2014-09-08,100,105,101.1,105,1115000,105
2014-09-09,105,102,102,102,20000,102
2014-09-10,102,107.1,107.1,107.1,20321,107.1
2014-09-11,107.1,107,107,107,26978,107
2014-09-12,107,100,100,107,3854572,107
2014-09-16,107,107,107,107,12800,107
2014-09-24,107,107,107,107,920,107
2014-10-02,107,106,106,106,19115,106
2014-10-03,106,109,109,109,17660,109
2014-10-06,109,109,109,109,10000,109
2014-10-07,109,109,109,109,945,109
2014-10-10,109,110.01,109,110.01,16000,110.01
2014-10-13,110.01,112,112,112,8000,112
2014-10-15,112,113,113,113,16879,113
2014-10-21,113,113,113,113,1776,113
2014-10-22,113,113,113,113,390,113
2014-10-24,113,114.3,114.3,114.3,13850,114.3
2014-10-29,114.3,115,115,115,60000,115
2014-11-03,115,115,115,115,4700,115
2014-11-04,115,115,115,115,3000,115
2014-11-25,115,110,110,110,40000,110
2014-11-26,110,100,100,100,6243,100
2014-12-03,100,102,100,100,43215,100
2014-12-10,100,102,101.82,102,1106925,102
2014-12-11,102,102,102,102,54305,102
2014-12-12,102,100,100,100,14950,100
2014-12-15,100,100,100,100,9964,100
2014-12-17,100,100,100,100,24454,100
2014-12-24,100,100,100,100,6086,100
2014-12-26,100,110,110,110,15000,110
2014-12-29,110,110,110,110,10010,110
2015-01-06,110,110,110,110,101,110
2015-01-07,110,110,110,110,15000,110
2015-01-08,110,110,110,110,10000,110
2015-01-12,110,110,110,110,4500,110
2015-01-15,110,110,110,110,20000,110
2015-01-16,110,110,110,110,9018,110
2015-01-21,110,110,110,110,394,110
2015-01-26,110,106,106,106,46000,106
2015-02-05,106,106,106,106,3140,106
2015-02-11,106,111.3,110,110,24500,110
2015-02-13,110,110,110,110,2409,110
2015-02-16,110,110,110,110,3096,110
2015-03-09,110,105,105,105,5865,105
2015-03-10,105,110,110,110,15641,110
2015-03-11,110,110,110,110,1500,110
2015-03-16,110,110,110,110,2650,110
2015-03-18,110,105,105,105,8900,105
2015-03-24,105,105,105,105,15000,105
2015-03-31,105,105,105,105,8000,105
2015-04-06,105,105,105,105,20000,105
2015-04-07,105,105,105,105,18063,105
2015-04-08,105,109,109,109,6000,109
2015-04-09,109,109,109,109,22936,109
2015-04-15,109,109,109,109,387,109
2015-04-16,109,106,106,106,7745,106
2015-04-22,106,106,106,106,25596,106
2015-04-24,106,106,106,106,121162,106
2015-05-07,106,111.3,111.3,111.3,10387,111.3
2015-05-08,111.3,112,112,112,10000,112
2015-05-12,112,112,112,112,10000,112
2015-05-15,112,112,112,112,15623,112
2015-05-26,112,110,110,110,20000,110
2015-06-24,110,108.8,107,108.8,20000,108.8
