date,open,high,low,close,volume,adj_close
2010-09-02,1700,1700,1700,1700,5,1700
2010-09-03,1700,1790,1790,1790,6894,1790
2010-10-25,1790,1970,1970,1970,1000,1970
2011-01-31,1970,2210,2210,2210,27599,2210
2011-06-16,2210,2210,2210,2210,10041,2210
2011-08-01,2210,2210,2210,2210,2480,2210
2011-09-01,2210,2400,2400,2400,1300,2400
2012-01-12,2400,2400,2400,2400,1687,2400
2014-04-30,2400,2400,2400,2400,6899,2400
2015-02-02,2400,2400,2400,2400,2000,2400
2015-03-20,2400,2400,2400,2400,233,2400
2015-04-15,2400,2400,2400,2400,1767,2400
2015-05-26,2400,2400,2400,2400,3493,2400
2016-02-04,2400,2400,2400,2400,79305,2400
2017-08-01,2400,2400,2400,2400,31089,2400
2018-07-12,2400,2400,2400,2400,3237,2400
2019-01-29,2400,2400,2400,2400,13355,2400
2019-10-22,2400,2400,2400,2400,0,2400
2019-11-19,2400,2400,2400,2400,0,2400
2019-11-20,2400,2400,2400,2400,0,2400
