date,open,high,low,close,volume,adj_close
2014-06-23,8.2,8.2,8.2,8.2,309969,8.2
2014-06-25,8.2,9,9,9,120508,9
2014-08-07,9,9.2,9.2,9.2,152811,9.2
2014-08-14,9.2,9.2,9.2,9.2,21000,9.2
2014-09-03,9.2,9.2,9.2,9.2,50475,9.2
2014-09-15,9.2,9.2,9.2,9.2,86835,9.2
2014-09-24,9.2,9.2,9.2,9.2,10451,9.2
2014-11-04,9.2,9.2,9.2,9.2,8797,9.2
2015-01-23,9.2,9.2,9.2,9.2,46465,9.2
2015-06-15,9.2,9.2,9.2,9.2,630,9.2
2015-06-24,9.2,9.2,9.2,9.2,108351,9.2
2015-08-14,9.2,9.2,9.2,9.2,11848,9.2
2015-08-19,9.2,9.2,9.2,9.2,15523,9.2
2015-08-20,9.2,9.2,9.2,9.2,144683,9.2
2015-08-21,9.2,9.2,9.2,9.2,5000,9.2
2016-02-26,9.2,9.2,9.2,9.2,11000,9.2
2016-03-02,9.2,9.2,9.2,9.2,150929,9.2
2016-03-14,9.2,9.2,9.2,9.2,34000,9.2
2016-05-06,9.2,9.2,9.2,9.2,3200,9.2
2016-05-09,9.2,9.2,9.2,9.2,51800,9.2
2016-05-16,9.2,9.2,9.2,9.2,61929,9.2
2016-07-04,9.2,9.2,9.2,9.2,130762,9.2
2016-07-11,9.2,9.2,9.2,9.2,5000,9.2
2016-07-13,9.2,9.2,9.2,9.2,5000,9.2
2016-08-29,9.2,10,10,10,100000,10
2016-09-26,10,10,10,10,5762,10
2016-10-07,10,10,10,10,1593655,10
2016-10-11,10,10,10,10,218573,10
2016-10-13,10,10.2,10.2,10.2,349491,10.2
2016-10-20,10.2,10.5,10.4,10.5,290000,10.5
2016-10-26,10.5,11,10.7,11,312297,11
2016-10-28,11,11,11,11,100000,11
2016-11-08,11,11,11,11,58333,11
2016-11-24,11,12,12,12,100000,12
2016-11-30,12,12,12,12,80792,12
2016-12-02,12,13,12.08,13,262354,13
2016-12-06,13,14,14,14,90000,14
2017-01-30,14,14,13.99,14,417143,14
2017-01-31,14,14,14,14,128920,14
2017-03-27,14,13.5,13.5,13.5,109298,13.5
2017-03-31,13.5,13.5,13.5,13.5,137014,13.5
2017-04-05,13.5,13.5,13.5,13.5,93765,13.5
2017-04-28,13.5,14.4,14.4,14.4,90000,14.4
2017-05-04,14.4,14.6,14.6,14.6,115000,14.6
2017-05-17,14.6,14.8,14.8,14.8,68000,14.8
2017-05-26,14.8,14.8,14.8,14.8,30000,14.8
2017-06-01,14.8,14.5,14.5,14.5,41350,14.5
2017-06-06,14.5,14.23,14.23,14.23,42164,14.23
2017-06-08,14,14,14,14,60714,14
2017-06-14,14,13.85,13.85,13.85,167593,13.85
2017-06-30,13.85,13.85,13.85,13.85,25870,13.85
2017-08-25,13.85,13.6,13.6,13.6,251765,13.6
2017-12-04,13.6,13.85,13.85,13.85,61643,13.85
2017-12-13,13.85,15,14.1,14.95,540737,14.95
2018-01-02,14.95,15,15,15,118208,15
2018-01-03,15,15,15,15,815401,15
2018-01-25,15,15,14.8,15,549970,15
2018-03-02,15,15,15,15,25485,15
2018-03-12,15,15,15,15,127011,15
2018-03-14,15,15,15,15,19060,15
2018-04-12,15,15,15,15,53148,15
2018-05-04,15,15,15,15,921520,15
2018-05-08,15,15,15,15,64270,15
2018-05-09,15,14.5,14.5,14.5,401299,14.5
2018-05-10,14.5,14.49,14.49,14.49,103048,14.49
2018-05-11,14.49,14.49,14.49,14.49,250000,14.49
2018-05-22,14.49,14.49,14.49,14.49,34610,14.49
2018-06-04,14.49,14.49,14.49,14.49,4130,14.49
2018-06-28,14.49,14.49,14.49,14.49,6767,14.49
2018-07-30,14.49,14.3,14.3,14.3,103048,14.3
2018-09-25,14.3,14.3,14.3,14.3,7668,14.3
2018-10-11,14.3,12.89,12.89,12.89,50000,12.89
2018-11-16,12.89,12.85,12.85,12.85,100000,12.85
2019-03-07,12.85,11.5,11.5,11.5,1000,11.5
2019-03-28,11.5,12,12,12,1823107,12
2019-06-12,12,12,12,12,177634,12
2019-06-13,12,12,12,12,382366,12
2019-06-14,12,12,12,12,500000,12
2019-06-19,12,12,12,12,83333,12
2019-06-20,12,12,12,12,500000,12
2019-06-24,12,12,12,12,56173,12
2019-07-01,12,12,12,12,100000,12
2019-07-02,12,12,12,12,100000,12
2019-07-03,12,12,12,12,100000,12
2019-07-08,12,12,12,12,200000,12
2019-08-22,12,12,12,12,609713,12
2019-10-02,12,12,12,12,756705,12
2019-10-11,12,13,13,13,752595,13
2019-10-16,13,13,13,13,47,13
2019-10-21,13,12,12,12,1000000,12
2019-10-22,13,12,12,12,1000000,12
2019-11-19,12,12,12,12,0,12
2019-11-20,12,12,12,12,0,12
2019-11-21,12,12,12,12,0,12
2019-11-23,12,12,12,12,0,12
2019-12-12,12,11.05,11.05,12,318176,12
2019-12-20,12,12,12,12,0,12
2019-12-27,12,12,12,12,500000,12
2020-01-02,12,12,12,12,478724,12
2020-01-06,12,12,12,12,571309,12
2020-02-18,12,12,12,12,4200,12
2020-03-12,12,12,12,12,3085000,12
2020-03-13,12,12,12,12,113,12
2020-04-04,12,12,12,12,0,12
2020-04-08,12,12,12,12,1520000,12
2020-04-09,12,12,12,12,1500000,12
2020-04-18,12,12,12,12,0,12
2020-11-04,12,12,12,12,2696030,12
2020-11-27,12,12,12,12,843497,12
2021-01-08,12,12,12,12,7350,12
2021-01-21,12,12,12,12,77922,12
2021-02-24,12,12,12,12,208333,12
