date,open,high,low,close,volume,adj_close
2009-10-06,4000000,4300000,4300000,4300000,1,4300000
2010-06-16,4300000,4100000,4100000,4100000,1,4100000
2010-07-14,4100000,3700000,3700000,3700000,1,3700000
2010-09-27,3700000,3400000,3400000,3400000,1,3400000
2010-10-26,3400000,3260000,3260000,3260000,1,3260000
2011-11-03,3260000,3749000,3749000,3749000,1,3749000
2011-11-23,3749000,3749000,3749000,3749000,51,3749000
2012-12-11,3749000,4700000,4700000,4700000,3,4700000
2013-01-09,4700000,4700000,4700000,4700000,2,4700000
2015-01-26,4700000,5200000,5200000,5200000,10,5200000
2015-05-07,5200000,5100000,5100000,5100000,1,5100000
2016-07-13,5100000,6500000,6500000,6500000,1,6500000
2019-07-01,6500000,6500000,6500000,6500000,1,6500000
2019-10-22,6500000,6500000,6500000,6500000,0,6500000
2019-11-19,6500000,6500000,6500000,6500000,0,6500000
2019-11-20,6500000,6500000,6500000,6500000,0,6500000
2019-11-21,6500000,6500000,6500000,6500000,0,6500000
2019-11-23,6500000,6500000,6500000,6500000,0,6500000
2019-12-20,6500000,6500000,6500000,6500000,0,6500000
2020-04-04,6500000,6500000,6500000,6500000,0,6500000
