date,open,high,low,close,volume,adj_close
2014-06-16,0.034,0.034,0.034,0.034,28281930,0.034
2014-06-17,0.034,0.034,0.034,0.034,24000000,0.034
2014-06-18,0.034,0.034,0.034,0.034,41989500,0.034
2014-06-19,0.034,0.034,0.034,0.034,7426143,0.034
2014-06-23,0.034,0.034,0.034,0.034,3000000,0.034
2014-06-25,0.034,0.034,0.034,0.034,3041522,0.034
2014-06-26,0.034,0.034,0.034,0.034,5530617,0.034
2014-07-04,0.034,0.034,0.034,0.034,36819560,0.034
2014-07-07,0.034,0.034,0.034,0.034,24551780,0.034
2014-07-09,0.034,0.034,0.034,0.034,23898770,0.034
2014-07-11,0.034,0.034,0.034,0.034,86722,0.034
2014-07-14,0.034,0.03,0.03,0.03,20927160,0.03
2014-07-15,0.03,0.03,0.03,0.03,5000000,0.03
2014-07-24,0.03,0.03,0.03,0.03,3000000,0.03
2014-07-29,0.03,0.03,0.03,0.03,26564110,0.03
2014-08-05,0.03,0.021,0.021,0.021,36939540,0.021
2014-08-06,0.021,0.021,0.021,0.021,291940,0.021
2014-08-28,0.021,0.021,0.021,0.021,4000000,0.021
2014-08-29,0.021,0.021,0.021,0.021,22650000,0.021
2014-09-01,0.021,0.021,0.021,0.021,4552444,0.021
2014-09-02,0.021,0.025,0.025,0.025,39879000,0.025
2014-09-03,0.025,0.025,0.025,0.025,10102040,0.025
2014-09-05,0.025,0.025,0.025,0.025,21547960,0.025
2014-09-08,0.025,0.025,0.025,0.025,10698570,0.025
2014-09-24,0.025,0.025,0.025,0.025,28073500,0.025
2014-09-29,0.025,0.025,0.025,0.025,1950943,0.025
2014-09-30,0.025,0.025,0.025,0.025,65446560,0.025
2014-10-02,0.025,0.025,0.025,0.025,39200000,0.025
2014-10-03,0.025,0.025,0.025,0.025,34800000,0.025
2014-10-08,0.025,0.025,0.025,0.025,438596,0.025
2014-10-09,0.025,0.026,0.026,0.026,39000000,0.026
2014-10-10,0.026,0.026,0.026,0.026,11450260,0.026
2014-10-20,0.026,0.03,0.03,0.03,67180160,0.03
2014-10-21,0.03,0.03,0.03,0.03,38333340,0.03
2014-10-29,0.03,0.034,0.034,0.034,132004800,0.034
2014-10-30,0.034,0.038,0.034,0.037,140238300,0.037
2014-11-03,0.037,0.04,0.04,0.04,162590900,0.04
2014-11-04,0.04,0.04,0.04,0.04,1758930,0.04
2014-11-10,0.04,0.04,0.04,0.04,10000000,0.04
2014-11-11,0.04,0.04,0.04,0.04,18000000,0.04
2014-11-13,0.04,0.04,0.04,0.04,1178571,0.04
2014-11-17,0.04,0.04,0.04,0.04,10775560,0.04
2014-11-18,0.04,0.04,0.04,0.04,10000000,0.04
2014-11-20,0.04,0.04,0.04,0.04,8303110,0.04
2014-11-24,0.04,0.04,0.04,0.04,10000000,0.04
2014-11-25,0.04,0.04,0.04,0.04,50000000,0.04
2014-12-01,0.04,0.028,0.028,0.028,200000000,0.028
2014-12-02,0.028,0.031,0.03,0.03,640368800,0.03
2014-12-03,0.03,0.03,0.03,0.03,179186800,0.03
2014-12-04,0.03,0.03,0.03,0.03,230000000,0.03
2014-12-09,0.03,0.03,0.03,0.03,5670125,0.03
2014-12-10,0.03,0.03,0.03,0.03,16421430,0.03
2014-12-11,0.03,0.03,0.03,0.03,14012540,0.03
2014-12-12,0.03,0.028,0.028,0.028,213866100,0.028
2014-12-15,0.028,0.028,0.028,0.028,17000000,0.028
2014-12-16,0.028,0.028,0.028,0.028,35000000,0.028
2014-12-22,0.028,0.028,0.028,0.028,3000000,0.028
2014-12-26,0.028,0.028,0.028,0.028,12337430,0.028
2014-12-30,0.028,0.03,0.03,0.03,20000000,0.03
2015-01-02,0.03,0.029,0.029,0.029,41834540,0.029
2015-01-05,0.029,0.029,0.029,0.029,6000000,0.029
2015-01-08,0.029,0.029,0.029,0.029,14000000,0.029
2015-01-09,0.029,0.029,0.029,0.029,33836,0.029
2015-01-13,0.029,0.029,0.029,0.029,3290014,0.029
2015-01-14,0.029,0.028,0.027,0.027,84983080,0.027
2015-01-16,0.027,0.03,0.03,0.03,25000000,0.03
2015-01-20,0.03,0.03,0.03,0.03,3400000,0.03
2015-01-21,0.03,0.03,0.03,0.03,209767,0.03
2015-01-22,0.03,0.03,0.03,0.03,10000000,0.03
2015-02-02,0.03,0.03,0.03,0.03,16955010,0.03
2015-02-03,0.03,0.03,0.029,0.03,43925410,0.03
2015-02-04,0.03,0.029,0.029,0.029,23474140,0.029
2015-02-05,0.029,0.029,0.027,0.027,200000000,0.027
2015-02-10,0.027,0.026,0.026,0.026,105800000,0.026
2015-02-11,0.026,0.026,0.026,0.026,10000000,0.026
2015-02-12,0.026,0.026,0.026,0.026,99224090,0.026
2015-02-19,0.026,0.026,0.026,0.026,1468333,0.026
2015-02-24,0.026,0.026,0.026,0.026,5000000,0.026
2015-02-26,0.026,0.026,0.026,0.026,5000000,0.026
2015-02-27,0.026,0.026,0.026,0.026,5000000,0.026
2015-03-02,0.026,0.026,0.026,0.026,23000000,0.026
2015-03-04,0.026,0.026,0.026,0.026,35631170,0.026
2015-03-06,0.026,0.026,0.026,0.026,46153850,0.026
2015-03-10,0.026,0.026,0.026,0.026,15000000,0.026
2015-03-18,0.026,0.026,0.026,0.026,10000000,0.026
2015-03-26,0.026,0.03,0.03,0.03,37250380,0.03
2015-03-27,0.03,0.03,0.03,0.03,5859620,0.03
2015-03-30,0.03,0.03,0.03,0.03,3295500,0.03
2015-04-01,0.03,0.03,0.03,0.03,1000000,0.03
2015-04-08,0.03,0.028,0.028,0.028,170714000,0.028
2015-04-09,0.028,0.028,0.028,0.028,10321590,0.028
2015-04-10,0.028,0.028,0.028,0.028,83401080,0.028
2015-04-13,0.028,0.028,0.028,0.028,9786594,0.028
2015-04-14,0.028,0.028,0.028,0.028,1335000,0.028
2015-04-15,0.028,0.028,0.028,0.028,6145000,0.028
2015-04-21,0.028,0.028,0.028,0.028,8079393,0.028
2015-04-27,0.028,0.028,0.028,0.028,4508740,0.028
2015-04-28,0.028,0.028,0.028,0.028,1363656,0.028
2015-05-11,0.028,0.028,0.028,0.028,780000,0.028
2015-05-12,0.028,0.028,0.028,0.028,28990930,0.028
2015-05-18,0.028,0.028,0.028,0.028,232953800,0.028
2015-05-19,0.028,0.04,0.04,0.04,62525880,0.04
2015-05-20,0.04,0.04,0.04,0.04,2200000,0.04
2015-05-29,0.04,0.035,0.035,0.035,29500000,0.035
2015-06-11,0.035,0.035,0.035,0.035,10499600,0.035
2015-06-15,0.035,0.035,0.035,0.035,11000000,0.035
2015-06-16,0.035,0.03,0.03,0.03,18907820,0.03
2015-06-17,0.03,0.029,0.029,0.029,56600000,0.029
