date,open,high,low,close,volume,adj_close
2009-06-03,2298.508,2348.476,2237.548,2287.515,732121,2287.515
2009-06-04,2287.515,2313.498,2233.45,2295.11,1254221,2295.11
2009-06-05,2299.507,2323.492,2268.527,2287.115,638279,2287.115
2009-06-08,2288.514,2288.514,2248.54,2263.531,258743,2263.531
2009-06-09,2264.53,2278.521,2244.543,2248.24,809140,2248.24
2009-06-10,2248.24,2273.524,2238.547,2267.028,765471,2267.028
2009-06-11,2267.528,2348.476,2267.528,2333.485,1090712,2333.485
2009-06-12,2338.482,2339.481,2288.514,2305.903,330812,2305.903
2009-06-15,2278.521,2305.503,2203.57,2290.313,1030376,2290.313
2009-06-16,2290.313,2313.498,2248.54,2248.94,1611431,2248.94
2009-06-17,2248.54,2248.54,2148.605,2153.402,859376,2153.402
2009-06-18,2148.605,2220.559,2138.612,2173.589,767286,2173.589
2009-06-19,2176.087,2233.65,2176.087,2188.579,953587,2188.579
2009-06-22,2188.579,2188.579,2118.625,2138.312,1181372,2138.312
2009-06-23,2138.612,2140.61,2078.651,2079.25,1995596,2079.25
2009-06-24,2079.25,2178.586,2048.67,2079.05,1157288,2079.05
2009-06-25,2079.05,2116.626,2083.647,2114.327,1363730,2114.327
2009-06-26,2114.328,2128.618,2098.638,2099.737,1747868,2099.737
2009-06-30,2099.737,2108.631,2078.551,2080.449,2149153,2080.449
2009-07-01,2080.449,2118.625,2078.651,2083.647,519957,2083.647
2009-07-02,2083.647,2098.638,2048.57,2083.248,708924,2083.248
2009-07-03,2078.651,2099.437,2059.663,2063.66,239037,2063.66
2009-07-06,2063.66,2078.551,2043.673,2068.957,1353838,2068.957
2009-07-07,2068.957,2093.641,2053.667,2068.157,887596,2068.157
2009-07-08,2068.157,2068.757,2018.79,2023.586,346294,2023.586
2009-07-09,2038.677,2068.657,2033.68,2039.776,976274,2039.776
2009-07-10,2039.776,2068.657,2028.683,2028.683,310004,2028.683
2009-07-13,2033.68,2134.614,2033.68,2132.615,598167,2132.615
2009-07-14,2132.616,2227.554,2133.615,2215.062,739608,2215.062
