date,open,high,low,close,volume,adj_close
2013-06-14,23.4,23.4,23.4,23.4,2450,23.4
2013-07-05,23.4,24.38,24.38,24.38,2450,24.38
2013-07-22,24.38,26.05,26.05,26.05,75,26.05
2013-07-25,26.05,33.17,33.17,33.17,75,33.17
2013-08-23,33.17,40.1,40.1,40.1,183,40.1
2013-10-04,40.1,50.47,50.47,50.47,82,50.47
2014-02-13,50.47,64.3,64.3,64.3,138,64.3
2014-03-18,64.3,68.67,68.67,68.67,324,68.67
2014-03-25,68.67,65.11,64.18,64.8,3108,64.8
2014-03-26,64.8,61.15,61.15,61.15,160,61.15
2014-03-27,61.15,60.54,59.68,59.68,810,59.68
2014-04-03,59.68,61.9,59.79,59.79,960,59.79
2014-04-04,59.79,59.64,58.34,58.34,423,58.34
2014-04-22,58.34,63.03,62.95,63.03,930,63.03
2014-04-24,63.03,62.05,61.91,62.05,300,62.05
2014-05-02,62.05,60.48,60.48,60.48,25,60.48
2014-05-08,60.48,58.02,58.02,58.02,138,58.02
2014-05-22,58.02,61.09,61.09,61.09,300,61.09
2014-05-28,61.09,64,64,64,160,64
2014-06-10,64,65.65,65.65,65.65,154,65.65
2014-06-12,65.65,66.37,66.3,66.37,306,66.37
2014-06-24,66.37,66.89,66.76,66.89,881,66.89
2014-06-26,66.89,67.9,67.9,67.9,810,67.9
2014-06-27,67.9,67.56,67.56,67.56,100,67.56
2014-07-28,67.56,74.76,74.76,74.76,305,74.76
2014-07-31,74.76,73.15,73.15,73.15,324,73.15
2014-08-11,73.15,73.47,73.47,73.47,404,73.47
2014-08-20,73.47,74.87,74.87,74.87,13100,74.87
2014-10-01,74.87,76.76,76.76,76.76,404,76.76
2014-10-17,76.76,75.44,75.44,75.44,394,75.44
2014-10-24,75.44,79.62,79.62,79.62,394,79.62
2014-10-28,79.62,80.85,80.85,80.85,420,80.85
2014-11-05,80.85,75.95,75.95,75.95,130,75.95
2014-11-13,75.95,75,75,75,154,75
2014-11-28,75,77.57,77.57,77.57,382,77.57
2014-12-30,77.57,80.19,80.19,80.19,382,80.19
2015-01-28,80.19,76.28,76.28,76.28,420,76.28
2015-03-18,76.28,79.41,79.41,79.41,82,79.41
2015-05-11,79.41,78.74,78.74,78.74,145,78.74
2015-05-13,78.74,77.99,77.95,77.99,640,77.99
2015-05-14,77.99,81.45,79.02,81.45,636,81.45
2015-05-18,81.45,81.26,81.26,81.26,300,81.26
2015-05-19,81.26,80.92,80.92,80.92,40,80.92
2015-05-20,80.92,80,80,80,124,80
2015-05-26,80,79.87,79.87,79.87,58,79.87
2015-05-28,79.87,80.2,80.15,80.15,624,80.15
2015-05-29,80.15,79.59,79.15,79.22,1198,79.22
2015-06-01,79.22,80.05,80.05,80.05,30,80.05
2015-06-09,80.05,80.62,80.62,80.62,25,80.62
2015-06-12,80.62,81.6,81.6,81.6,74,81.6
2015-06-18,81.6,83,82.9,82.95,1296,82.95
2015-06-22,82.95,84.6,83.95,84.59,910,84.59
2015-06-23,84.59,87.28,86.15,87.11,370,87.11
2015-06-24,87.11,89.08,88.73,89.08,196,89.08
2015-07-02,89.08,86.61,86.61,86.61,186,86.61
2015-07-07,86.61,86.65,85.9,85.9,86,85.9
2015-07-08,85.9,85.56,85.56,85.56,70,85.56
2015-07-10,85.56,87.32,87.32,87.32,186,87.32
2015-07-15,87.32,90.63,90.35,90.35,319,90.35
2015-07-21,90.35,98.71,98.71,98.71,36,98.71
2015-07-22,98.71,97,96.81,97,336,97
2015-07-28,97,94.32,94.32,94.32,23,94.32
2015-07-30,94.32,92,92,92,200,92
2015-07-31,92,94.13,94.13,94.13,90,94.13
2015-08-04,94.13,93.97,93.97,93.97,40,93.97
2015-08-24,93.97,85.53,83,85.53,111,85.53
2015-08-25,85.53,85.92,85.92,85.92,815,85.92
2015-08-28,85.92,90.8,90.8,90.8,32,90.8
2015-09-01,90.8,86.6,86.6,86.6,815,86.6
2015-09-16,86.6,92.75,92.75,92.75,87,92.75
2015-09-22,92.75,93.03,93.03,93.03,28,93.03
2015-09-25,93.03,95.5,95.5,95.5,23,95.5
2015-10-07,95.5,91.75,91.75,91.75,48,91.75
2015-10-09,91.75,93.13,93.13,93.13,14,93.13
2015-10-13,93.13,95.4,95.12,95.4,392,95.4
2015-10-14,95.4,94.43,94.43,94.43,200,94.43
2015-10-21,94.43,97.46,97.46,97.46,100,97.46
2015-10-23,97.46,100.56,100.56,100.56,60,100.56
2015-10-29,100.56,104.34,104.34,104.34,100,104.34
2015-11-02,104.34,102.04,102.04,102.04,75,102.04
2015-11-11,102.04,109.78,109.78,109.78,14,109.78
2015-11-18,109.78,106.59,106.23,106.47,80,106.47
2015-11-20,106.47,106.81,106.81,106.81,40,106.81
2015-11-23,106.81,107.35,107.15,107.35,80,107.35
2015-11-24,107.35,105.6,104.55,105.22,366,105.22
2015-11-25,105.22,106.28,105.5,105.5,109,105.5
2015-11-27,105.5,105.41,105.36,105.36,25,105.36
2015-11-30,105.36,105.84,104,104,1812,104
2015-12-03,104,106.12,106.12,106.12,122,106.12
2015-12-07,106.12,105.3,105.22,105.22,195,105.22
2015-12-09,105.22,105.66,105.66,105.66,19,105.66
2015-12-10,105.66,105.35,105.35,105.35,40,105.35
2015-12-14,105.35,103.19,101.85,103.19,161,103.19
