date,open,high,low,close,volume,adj_close
2021-01-26,209770,209770,209770,209770,47,209770
2021-01-27,209770,204120,204120,204120,5,204120
2021-01-28,209770,205710,205520,205710,4,205710
2021-01-29,209770,190250,190250,190250,10,190250
2021-02-02,209770,197560,197560,197560,50,197560
2021-02-05,197560,198190,198190,197560,1,197560
2021-02-17,197560,198000,198000,198000,5,198000
2021-02-24,197560,186210,185310,185310,11,185310
2021-02-25,197560,185130,185130,185130,5,185130
2021-03-01,197560,189340,189340,189340,23,189340
2021-03-02,197560,194340,194340,197560,5,197560
2021-03-03,197560,188280,188280,197560,1,197560
2021-03-11,197560,198560,198560,197560,10,197560
2021-03-15,197560,197500,197500,197560,4,197560
