date,open,high,low,close,volume,adj_close
2013-04-10,33.67,33.67,33.67,33.67,149,33.67
2013-04-12,33.67,32.21,32.21,32.21,310,32.21
2013-04-22,32.21,27.89,27.89,27.89,310,27.89
2013-05-31,27.89,31.24,31.24,31.24,480,31.24
2013-08-09,31.24,31.65,31.65,31.65,480,31.65
2013-08-30,31.65,30.26,30.26,30.26,145,30.26
2014-01-24,30.26,32.7,32.7,32.7,762,32.7
2014-02-19,32.7,34,34,34,762,34
2014-06-11,34,34.05,34.05,34.05,730,34.05
2014-06-13,34.05,33.95,33.95,33.95,879,33.95
2014-06-19,33.95,34.65,34.62,34.65,1609,34.65
2014-08-13,34.65,36.45,36.45,36.45,676,36.45
2014-09-03,36.45,35.54,35.54,35.54,149,35.54
2014-09-24,35.54,33.14,33.14,33.14,750,33.14
2014-11-28,33.14,26.94,26.94,26.94,918,26.94
2015-01-27,26.94,19.55,19.55,19.55,23,19.55
2015-04-28,19.55,21,21,21,23,21
2015-07-21,21,15.7,15.7,15.7,145,15.7
2015-08-28,15.7,10.57,10.57,10.57,500,10.57
2015-09-03,10.57,10.08,10.08,10.08,500,10.08
2015-09-28,10.08,8.81,8.81,8.81,160,8.81
2015-10-08,8.81,13.19,13.19,13.19,1344,13.19
2016-03-09,13.19,9.1,9.1,9.1,2700,9.1
2016-04-19,9.1,11.81,11.04,11.81,4305,11.81
2016-06-06,11.81,11.56,11.56,11.56,1906,11.56
2016-06-30,11.56,10.81,10.81,10.81,4630,10.81
2016-07-05,10.81,10.59,10.59,10.59,943,10.59
2016-07-12,10.59,12.8,12.36,12.8,2849,12.8
2016-11-10,12.8,13.83,13.83,13.83,3940,13.83
2016-11-15,13.83,13.58,13.58,13.58,160,13.58
2016-11-29,13.58,14.94,14.94,14.94,3940,14.94
2016-11-30,14.94,15.28,15.28,15.28,3820,15.28
2016-12-27,15.28,13.89,13.89,13.89,620,13.89
2017-01-20,13.89,15.47,15.47,15.47,3230,15.47
2017-01-24,15.47,16.17,16.17,16.17,3230,16.17
2017-01-31,16.17,16.08,16.08,16.08,3820,16.08
2017-02-03,16.08,15.81,15.81,15.81,25080,15.81
2017-02-06,15.81,16.02,16.02,16.02,22100,16.02
2017-02-07,16.02,15.88,15.88,15.88,8570,15.88
2017-03-21,15.88,12.85,12.7,12.77,8200,12.77
2017-04-03,12.77,13.2,13.2,13.2,1100,13.2
2017-04-06,13.2,13.67,13.67,13.67,750,13.67
2017-05-19,13.67,11.68,11.68,11.68,4630,11.68
2017-06-15,11.68,11.73,11.73,11.73,4630,11.73
2017-07-12,11.73,12.43,12.43,12.43,234,12.43
2017-07-17,12.43,13.2,13.2,13.2,681,13.2
2017-07-19,13.2,13.11,13.11,13.11,1150,13.11
2017-07-25,13.11,14.93,14.53,14.93,2480,14.93
2017-07-28,14.93,14.75,14.56,14.56,99,14.56
2017-08-16,14.56,14.56,14.56,14.56,1580,14.56
2017-08-17,14.56,14.33,14.33,14.33,33,14.33
2017-08-29,14.33,15.19,14.91,15.19,2670,15.19
2017-08-30,15.19,14.93,14.93,14.93,2130,14.93
2017-08-31,14.93,14.97,14.97,14.97,20400,14.97
2017-09-06,14.97,15,15,15,1100,15
2017-09-08,15,14.63,14.63,14.63,20400,14.63
2017-09-12,14.63,14.1,14.1,14.1,22100,14.1
2017-11-03,14.1,14.05,14.05,14.05,66,14.05
2017-11-17,14.05,13.83,13.83,13.83,2300,13.83
2017-12-13,13.83,16,16,16,2300,16
2018-01-02,16,19.42,19.42,19.42,1259,19.42
2018-01-03,19.42,19.39,19.39,19.39,257,19.39
2018-01-05,19.39,19.71,19.68,19.71,25530,19.71
2018-01-23,19.71,19.38,19.13,19.38,4880,19.38
2018-01-25,19.38,20.12,20.12,20.12,3850,20.12
2018-01-31,20.12,19.45,19.45,19.45,750,19.45
2018-02-27,19.45,19.16,19.16,19.16,1000,19.16
2018-03-08,19.16,17.84,17.84,17.84,600,17.84
