date,open,high,low,close,volume,adj_close
2021-03-24,24100,24100,24100,24100,400,24100
2021-04-19,24100,26190,26170,24100,19,24100
2021-04-20,24100,25330,25330,24100,39,24100
2021-04-26,24100,27266,27266,27266,256,27266
2021-05-04,27266,27500,27500,27266,4,27266
2021-05-10,27266,30563,30563,27266,15,27266
2021-05-13,27266,30806,29775,27266,110,27266
2021-05-14,27266,29828,29743,27266,6,27266
2021-06-08,27266,29619,29619,27266,1,27266
2021-06-10,27266,29180,29180,29180,400,29180
2021-06-15,29180,26720,26720,26720,30,26720
2021-06-16,29180,26860,26860,29180,12,29180
2021-06-17,29180,25369,25369,29180,7,29180
2021-06-29,29180,27720,27720,29180,70,29180
2021-07-02,29180,27350,27350,29180,25,29180
2021-07-12,29180,27200,27200,27200,360,27200
2021-07-20,27200,25310,25090,27200,9,27200
2021-07-21,27200,25736,25736,27200,6,27200
2021-08-03,27200,27960,27960,27200,10,27200
2021-08-11,27200,29540,29540,27200,13,27200
