date,open,high,low,close,volume,adj_close
2009-12-21,5.81,5.3,5.3,5.3,63546730,5.3
2010-09-30,5.3,5.3,5.3,5.3,16188000,5.3
2011-03-15,5.3,5.3,5.3,5.3,3800000,5.3
2011-07-22,5.3,5.5,5.5,5.5,7000000,5.5
2012-10-10,5.5,5.5,5.5,5.5,1500000,5.5
2013-06-25,5.5,5.5,5.5,5.5,90922930,5.5
2014-06-25,5.5,5.5,5.5,5.5,13000000,5.5
2014-12-29,5.5,5.5,5.5,5.5,59680840,5.5
2014-12-30,5.5,5.5,5.5,5.5,75136500,5.5
2015-03-12,5.5,5.5,5.5,5.5,107106100,5.5
2015-06-26,5.5,5.5,5.5,5.5,164809700,5.5
2015-11-26,5.5,5.8,5.8,5.8,12282000,5.8
2017-09-14,5.8,5.8,5.8,5.8,9000000,5.8
2019-10-22,5.8,5.8,5.8,5.8,0,5.8
2019-11-19,5.8,5.8,5.8,5.8,0,5.8
