date,open,high,low,close,volume,adj_close
2009-06-03,619.78,615,605,615,9601,615
2009-06-04,615,600,600,600,8658,600
2009-06-05,600,609,601,609,11242,609
2009-06-09,609,609,609,609,15021,609
2009-06-10,609,610,605,609,134601,609
2009-06-11,609,609,608,608.72,433932,608.72
2009-06-12,608.72,615,609,615,439531,615
2009-06-15,615,601,600,601,34964,601
2009-06-16,601,603,600,603,146221,603
2009-06-17,603,588,588,588,23534,588
2009-06-18,588,575,570.1,570.1,249977,570.1
2009-06-19,570.1,570.1,570,570,142419,570
2009-06-22,570,565,560,560,21805,560
2009-06-23,560,560,560,560,4671,560
2009-06-24,560,560.01,560,560,21312,560
2009-06-25,560,570,560,570,27079,570
2009-06-26,570,569.99,569.99,569.99,331585,569.99
2009-07-01,569.99,560.1,560,560,434649,560
2009-07-03,560,559,555,555.99,42860,555.99
2009-07-06,555.99,560,555,560,115312,560
2009-07-07,560,575,560,560,27801,560
2009-07-08,560,560,560,560,12688,560
2009-07-13,560,560,555,560,10000,560
2009-07-14,560,555,541.01,545.96,24990,545.96
2009-07-15,545.96,567,555,565,82987,565
2009-07-17,565,565,565,565,7143,565
2009-07-20,565,585,570,584.53,93836,584.53
2009-07-21,584.53,590,589.99,589.99,84721,589.99
2009-07-23,589.99,590,590,590,13750,590
2009-07-24,590,590,590,590,13215,590
2009-07-27,590,585,579.99,580.27,128878,580.27
2009-07-28,580.27,580,580,580,7719,580
2009-07-29,580,580,580,580,80671,580
2009-07-30,580,580,580,580,28830,580
2009-07-31,580,580,580,580,6943,580
2009-08-03,580,580,580,580,87393,580
2009-08-04,580,580,580,580,25000,580
2009-08-07,580,580,570,580,45910,580
2009-08-11,580,570,560,560,49802,560
2009-08-13,560,560,560,560,26043,560
2009-08-14,560,570,560,570,40448,570
2009-08-17,570,546.01,545,546.01,5330,546.01
2009-08-18,546.01,550,545,546.49,52944,546.49
2009-08-19,546.49,550,545,545.1,57563,545.1
2009-08-20,545.1,550,545,550,133666,550
2009-08-21,550,556,550,555,650143,555
2009-08-24,555,555,550,550,69782,550
2009-08-26,550,550,549.99,550,101427,550
2009-08-27,550,550,550,550,64518,550
2009-08-28,550,555,550,554.75,424745,554.75
2009-08-31,554.75,555,550,550,35223,550
2009-09-01,550,550,550,550,30404,550
2009-09-02,550,555,550,550,56723,550
2009-09-03,550,555,550,550,193743,550
2009-09-04,550,550,550,550,7378,550
2009-09-07,550,555,555,555,105704,555
2009-09-08,555,555.03,555,555.02,44000,555.02
