date,open,high,low,close,volume,adj_close
2009-07-22,1550,1450,1300,1300,2193,1300
2009-07-23,1300,1320,1315,1320,2210,1320
2009-07-28,1320,1320,1320,1320,300,1320
2009-07-31,1320,1400,1400,1400,708,1400
2009-08-14,1400,1400,1400,1400,70,1400
2009-08-19,1400,1389.9,1387,1387.9,151668,1387.9
2009-09-21,1387.9,1349.9,1349.9,1349.9,344,1349.9
2009-09-22,1350,1350,1350,1350,700,1350
2009-09-30,1350,1350,1350,1350,144,1350
2009-10-01,1350,1350,1350,1350,731,1350
2009-10-06,1350,1350,1350,1350,600,1350
2009-10-07,1350,1350,1350,1350,3263,1350
2009-12-10,1350,1200,1200,1200,677881,1200
2009-12-16,1200,1200,1200,1200,75,1200
2009-12-18,1200,1200,1200,1200,290,1200
2009-12-21,1200,1100,1100,1100,600,1100
2009-12-23,1100,1100,1100,1100,2275,1100
2010-01-05,1100,1100,1100,1100,1895,1100
2010-01-06,1100,1100,1100,1100,572,1100
2010-01-11,1100,1100,1100,1100,459,1100
2010-01-13,1100,1120,1110,1110,3527,1110
2010-01-19,1110,1170,1110,1170,2530,1170
2010-01-21,1170,1150,1150,1150,9687,1150
2010-01-25,1150,1120,1120,1120,650,1120
2010-01-26,1120,1120,1120,1120,8450,1120
2010-01-27,1120,1126,1122.1,1122.1,8932,1122.1
2010-01-29,1122.1,1122.1,1122.1,1122.1,89,1122.1
2010-02-04,1122.1,1150,1100,1150,2900,1150
2010-02-17,1150,1150,1150,1150,862,1150
2010-02-22,1150,1150,1150,1150,25000,1150
2010-02-24,1150,1125,1125,1125,60584,1125
2010-02-25,1125,1125,1125,1125,103,1125
2010-03-02,1125,1125,1125,1125,797,1125
2010-03-03,1125,1100,1100,1100,7328,1100
2010-03-04,1100,1100,1100,1100,22672,1100
2010-03-05,1100,1100,1100,1100,20000,1100
2010-03-09,1100,1100,1100,1100,64655,1100
2010-03-30,1100,1100,1100,1100,813,1100
2010-03-31,1100,1065,1060,1060,17007,1060
2010-04-07,1060,1080,1080,1080,5501,1080
2010-04-08,1080,1120,1120,1120,2577,1120
2010-04-09,1120,1150,1120,1150,6095,1150
2010-04-12,1150,1150,1150,1150,520,1150
2010-04-13,1150,1150,1150,1150,7908,1150
2010-04-14,1150,1150,1150,1150,1902,1150
2010-04-15,1150,1151.1,1150,1150,28682,1150
2010-04-16,1150,1140,1140,1140,10936,1140
2010-04-19,1140,1140,1140,1140,5505,1140
2010-04-20,1140,1140,1140,1140,11001,1140
2010-04-21,1140,1140,1140,1140,450,1140
2010-04-22,1140,1140,1140,1140,10523,1140
2010-04-27,1140,1140,1140,1140,1954,1140
2010-04-30,1140,1140,1138,1140,26796,1140
2010-05-03,1140,1240,1210,1221,24704,1221
2010-05-04,1221,1222,1220,1220,14214,1220
2010-05-05,1220,1220,1220,1220,4472,1220
2010-05-06,1220,1214,1210,1214,283673,1214
2010-05-07,1214,1100,1100,1100,1070,1100
2010-05-10,1100,1100,1100,1100,3930,1100
2010-05-12,1100,1100,1100,1100,136564,1100
2010-05-13,1100,1080,1080,1080,3481,1080
2010-05-14,1080,1078.9,1078.9,1078.9,1181,1078.9
2010-05-19,1078.9,1078.9,1078.9,1078.9,300,1078.9
2010-05-20,1040,1040,1040,1040,7624,1040
2010-05-24,1040,1040,1040,1040,14966,1040
2010-05-25,1040,1038,1038,1038,6052,1038
2010-05-26,1038,1038,1037,1037,12967,1037
2010-05-27,1037,1030,1030,1030,5080,1030
2010-05-28,1030,1030,1030,1030,596,1030
2010-06-01,1030,1030,1030,1030,3401,1030
2010-06-04,1030,1035,1035,1035,955,1035
2010-06-08,1035,1035,1035,1035,2677,1035
2010-06-10,1035,1035,1035,1035,100,1035
2010-06-15,1035,1010,1010,1010,2900,1010
2010-06-16,1010,1010,1010,1010,1400,1010
2010-06-18,1010,1000,1000,1000,450,1000
2010-06-29,1000,1020,1020,1020,1000,1020
2010-07-01,1020,1020,1020,1020,2655,1020
2010-07-09,1020,1020,1020,1020,550,1020
2010-07-13,1020,1050,1050,1050,2167,1050
2010-07-19,1050,1050,1050,1050,4514,1050
2010-07-26,1050,1050,1050,1050,173,1050
2010-07-28,1075,1075,1075,1075,7400,1075
2010-08-02,1075,1120,1120,1120,3639,1120
2010-08-04,1120,1120,1120,1120,1916,1120
2010-08-05,1120,1120,1120,1120,4284,1120
2010-08-06,1120,1120,1120,1120,375,1120
2010-08-10,1120,1120,1120,1120,875,1120
2010-08-13,1120,1150,1120,1150,2908,1150
2010-08-16,1150,1150,1150,1150,2500,1150
2010-08-17,1150,1120,1120,1120,2556,1120
2010-08-18,1120,1120,1120,1120,1358,1120
2010-08-19,1120,1180,1180,1180,4811,1180
2010-08-20,1180,1200,1180,1200,2241,1200
