date,open,high,low,close,volume,adj_close
2009-06-08,122,122,122,122,13311,122
2009-07-01,122,122,122,122,1796,122
2009-08-27,122,122,122,122,2890,122
2009-09-16,122,123,123,123,7205,123
2009-09-17,123,123,123,123,4354,123
2009-09-24,123,123,123,123,855,123
2009-09-30,123,130,130,130,111019,130
2009-10-02,130,131,131,131,24000,131
2009-11-17,123,131,131,131,1044,131
2009-12-01,131,131,131,131,625,131
2009-12-10,131,131,131,131,8148,131
2009-12-15,131,123,123,123,29328,123
2009-12-17,123,123,123,123,12150,123
2010-01-08,120,123,123,123,566,123
2010-01-11,123,120,120,120,14295,120
2010-01-21,120,120,120,120,491,120
2010-02-02,120,122,122,122,12500,122
2010-02-09,120,122,122,122,2796,122
2010-03-05,122,121,121,121,6010,121
2010-03-16,121,121,121,121,1964,121
2010-04-09,121,121,121,121,517,121
2010-04-22,121,120,120,120,12150,120
2010-04-26,120,120,120,120,3362,120
2010-05-28,120,120,120,120,35152,120
2010-06-07,120,120,120,120,15000,120
2010-08-23,120,125.01,125,125.01,34847,125.01
2010-08-27,125.01,130.01,130.01,130.01,59897,130.01
2010-09-06,130.01,130.01,130.01,130.01,1021,130.01
2010-09-09,130.01,130.01,130.01,130.01,1443,130.01
2010-09-15,130.01,125.2,125.2,125.2,34848,125.2
2010-09-22,125.2,130,130,130,5553,130
2010-10-05,130,130,130,130,1040,130
2010-10-18,130,130,130,130,15500,130
2010-10-21,130,130,130,130,2272,130
2010-11-03,130,135,135,135,36850,135
2010-11-04,135,135,135,135,15793,135
2010-11-12,135,135,135,135,1443,135
2010-11-15,135,135,135,135,598,135
2010-11-22,135,150,150,150,48450,150
2011-01-19,150,140,140,140,7740,140
2011-02-02,140,140,140,140,10705,140
2011-02-04,140,140,140,140,39295,140
2011-02-07,140,135,135,135,50000,135
2011-02-11,135,125,125,125,50000,125
2011-02-18,125,120,120,120,17476,120
2011-03-31,120,140,140,140,4354,140
2011-06-09,140,140,140,140,17407,140
2011-06-16,140,140,140,140,41788,140
2011-07-12,140,140,140,140,1684,140
2011-07-20,140,140,140,140,244,140
2011-09-08,140,140,140,140,3221,140
2011-10-05,140,140,140,140,14707,140
2011-10-07,140,140,140,140,3233,140
2011-11-15,140,140,140,140,75,140
2011-11-16,140,140,140,140,148,140
2011-11-23,140,140,140,140,32063,140
2011-12-19,140,140,140,140,1532,140
2012-02-03,140,140,140,140,1000,140
2012-02-08,140,140,140,140,36,140
2012-03-09,140,140,140,140,746,140
2012-03-12,140,140,140,140,15000,140
2012-03-23,140,140,140,140,23007,140
2012-04-10,140,140,140,140,383,140
2012-04-19,140,140,140,140,18049,140
2012-05-09,140,140,140,140,8065,140
2012-05-16,140,140,140,140,1392,140
2012-05-22,140,140,140,140,345,140
2012-06-04,140,140,140,140,6794,140
2012-06-07,140,140,140,140,9024,140
2012-06-21,140,140,140,140,1619,140
2012-07-17,140,140,140,140,4017,140
2012-07-18,140,140,140,140,5884,140
2012-07-24,140,140,140,140,394,140
2012-08-17,140,140,140,140,10126,140
2012-08-21,140,140,140,140,19937,140
2012-08-24,140,140,140,140,1805,140
2012-10-01,140,140,140,140,1392,140
2012-10-02,142,142,142,142,63243,142
2012-10-23,142,142,142,142,1600,142
2012-12-12,142,156,156,156,3623,156
2012-12-19,156,150,150,150,11520,150
2012-12-26,150,150,150,150,4272,150
2013-01-11,150,150,150,150,7236,150
2013-01-15,150,148,148,148,10000,148
2013-01-18,148,148,148,148,618,148
2013-01-29,148,148,148,148,40500,148
2013-02-06,148,148,148,148,1103,148
2013-02-11,148,148,148,148,29958,148
2013-02-22,148,148,148,148,15244,148
2013-03-08,148,148,148,148,18951,148
2013-03-19,148,155,155,155,226781,155
2013-03-20,155,155.01,155,155.01,174268,155.01
2013-03-21,155.01,155,155,155,369091,155
2013-04-01,155,155,155,155,909,155
2013-04-02,155,156,156,156,10000,156
2013-04-10,156,156,156,156,500,156
2013-05-31,156,149,149,149,9005,149
2013-06-19,149,150,150,150,120000,150
2013-09-06,150,150,150,150,4247,150
2013-12-11,150,149,149,149,10225,149
2013-12-12,149,149,149,149,1093,149
2013-12-20,149,150,150,150,3530,150
2014-03-10,150,150,150,150,4774,150
2014-04-24,150,150,150,150,3610,150
2014-05-14,150,155,155,155,12120,155
2014-05-16,155,150,150,150,3393,150
2014-06-02,150,150,150,150,7727,150
2014-06-09,150,150,150,150,8660,150
2014-07-15,150,147.99,147.99,147.99,7261,147.99
2014-07-17,147.99,148.01,148,148.01,7140,148.01
2014-07-24,148.01,147.99,147.99,147.99,30000,147.99
2014-07-25,147.99,147.99,147.99,147.99,5000,147.99
2014-07-28,147.99,148,147.99,148,59994,148
2014-07-31,148,147.99,147.99,147.99,3530,147.99
2014-08-27,147.99,148,148,148,19622,148
2014-08-28,148,150,150,150,13200,150
2014-11-17,150,150,150,150,3504,150
2014-11-19,150,140,140,140,10741,140
2015-01-13,140,129,129,129,7360,129
2015-02-23,129,129,129,129,776,129
2015-03-03,129,129,129,129,1800,129
2015-03-04,129,129,129,129,615,129
2015-03-05,129,130,130,130,6873,130
2015-05-19,130,130,130,130,546,130
2015-05-27,130,119.9,119.9,119.9,40059,119.9
2015-06-01,119.9,119.9,119.9,119.9,958,119.9
2015-06-17,119.9,118.9,118.9,118.9,6873,118.9
2015-08-19,118.9,118,118,118,20557,118
2015-09-03,118,117,117,117,15606,117
2015-09-04,117,117,117,117,23257,117
2015-09-07,117,115,115,115,9933,115
2015-09-16,115,115,115,115,5807,115
2015-09-17,115,115,115,115,3880,115
2015-09-21,115,115,115,115,5302,115
2015-09-24,115,115,115,115,157,115
2015-09-25,115,117,117,117,15186,117
2015-09-30,117,117,117,117,21105,117
2015-10-14,117,117,117,117,4038,117
