date,open,high,low,close,volume,adj_close
2009-06-03,886.082,886.082,886.082,886.082,6403,886.082
2009-06-04,886.082,886.082,882.674,886.082,36508,886.082
2009-06-08,886.082,882.674,882.674,882.674,9472,882.674
2009-06-09,882.674,882.674,877.562,882.674,30217,882.674
2009-06-11,882.674,882.674,880.97,882.674,11737,882.674
2009-06-15,882.674,880.97,879.266,879.266,39369,879.266
2009-06-16,879.266,879.266,862.2259,879.266,7908,879.266
2009-06-17,879.266,879.266,879.266,879.266,147,879.266
2009-06-18,879.266,852.0019,852.0019,852.0019,5869,852.0019
2009-06-19,852.0019,852.0019,852.0019,852.0019,60152,852.0019
2009-06-22,852.0019,852.0019,852.0019,852.0019,293,852.0019
2009-06-23,852.0019,852.0019,851.9678,851.9678,8521,851.9678
2009-06-25,851.9678,851.9678,851.9678,851.9678,255,851.9678
2009-06-30,851.9678,818.2626,817.581,817.9218,87875,817.9218
2009-07-02,817.9218,817.9218,817.9218,817.9218,132042,817.9218
2009-07-06,817.9219,783.8418,783.8418,783.8418,1027,783.8418
2009-07-08,783.8418,783.8418,783.8418,783.8418,7603,783.8418
2009-07-09,783.8418,784.1826,783.8418,784.1826,18709,784.1826
2009-07-13,784.1826,790.9986,790.6578,790.6578,76402,790.6578
2009-07-15,790.6578,787.2498,787.2498,787.2498,7629,787.2498
2009-07-20,787.2498,787.2498,787.2498,787.2498,13803,787.2498
2009-07-21,787.2498,787.2498,787.2498,787.2498,17397,787.2498
2009-07-22,787.2498,787.2498,787.2498,787.2498,1543,787.2498
2009-07-23,787.2498,787.2498,787.2498,787.2498,695,787.2498
2009-07-24,787.2498,800.8818,787.2498,800.8818,10153,800.8818
2009-07-27,800.8818,800.8818,790.6578,790.6578,37556,790.6578
2009-07-28,790.6578,800.8818,800.8818,800.8818,2165,800.8818
2009-07-29,800.8818,800.8818,800.8818,800.8818,2934,800.8818
2009-07-30,800.8818,800.541,800.541,800.541,513479,800.541
2009-07-31,800.541,800.541,749.7617,800.541,2001,800.541
2009-08-03,800.541,783.8418,783.8418,783.8418,4933,783.8418
2009-08-04,783.8418,783.8418,780.4338,783.8418,17559,783.8418
2009-08-05,783.8417,800.8818,783.8418,800.8818,7459,800.8818
2009-08-07,800.8818,800.8818,800.8818,800.8818,67711,800.8818
2009-08-10,800.8818,800.8818,800.8818,800.8818,6972,800.8818
2009-08-11,800.8818,800.8818,800.8818,800.8818,3015709,800.8818
2009-08-12,800.8818,800.8818,800.8818,800.8818,29343,800.8818
2009-08-14,800.8818,800.8818,800.8818,800.8818,9765,800.8818
2009-08-18,800.8818,800.8818,800.8818,800.8818,7239,800.8818
2009-08-20,800.8818,800.8818,800.8818,800.8818,60009,800.8818
2009-08-21,800.8818,800.8818,800.8818,800.8818,27086,800.8818
2009-08-24,800.8818,800.8818,800.8818,800.8818,880,800.8818
2009-08-25,800.8818,784.5234,783.8418,784.1826,10070,784.1826
2009-08-26,784.1826,783.8418,783.8418,783.8418,22048,783.8418
2009-08-27,783.8418,783.8418,777.0258,783.8418,22770,783.8418
2009-09-01,783.8417,800.8818,800.8818,800.8818,4255,800.8818
2009-09-03,800.8818,800.8818,800.8818,800.8818,13944,800.8818
2009-09-07,800.8818,800.8818,800.541,800.541,20540,800.541
2009-09-08,800.541,800.8818,800.8818,800.8818,4695,800.8818
2009-09-09,800.8818,800.8818,800.8818,800.8818,1467,800.8818
