date,open,high,low,close,volume,adj_close
2012-05-24,18.78,18.78,18.78,18.78,100,18.78
2012-06-07,18.78,19.12,19.12,19.12,100,19.12
2012-07-09,19.12,20.06,20.06,20.06,515,20.06
2012-08-10,20.06,21.03,21.03,21.03,515,21.03
2012-10-01,21.03,22.93,22.93,22.93,441,22.93
2012-10-05,22.93,23.16,23.16,23.16,252,23.16
2013-02-07,23.16,22.43,22.43,22.43,890,22.43
2013-04-29,22.43,22.24,22.24,22.24,674,22.24
2013-05-03,22.24,22.68,22.68,22.68,135,22.68
2013-05-08,22.68,22.95,22.95,22.95,674,22.95
2013-05-23,22.95,23.6,23.55,23.6,1466,23.6
2013-05-28,23.6,23.83,23.75,23.75,2517,23.75
2013-07-11,23.75,23.85,23.79,23.85,624,23.85
2013-07-12,23.85,24.5,24.5,24.5,34,24.5
2013-08-27,24.5,23.3,23.3,23.3,852,23.3
2013-09-03,23.3,23.15,23.15,23.15,9,23.15
2013-09-25,23.15,24.6,24.6,24.6,90,24.6
2013-10-22,24.6,26.28,26.28,26.28,100,26.28
2013-10-25,26.28,25.82,25.82,25.82,852,25.82
2013-11-14,25.82,27.11,27.11,27.11,97,27.11
2013-11-25,27.11,26.91,26.91,26.91,252,26.91
2013-11-27,26.91,26.77,26.77,26.77,3262,26.77
2013-12-16,26.77,27.07,27.07,27.07,1988,27.07
2013-12-19,27.07,27.1,27.1,27.1,1988,27.1
2013-12-27,27.1,27.85,27.85,27.85,358,27.85
2014-01-15,27.85,27.28,27.28,27.28,1000,27.28
2014-01-24,27.28,25.19,25.19,25.19,1190,25.19
2014-02-06,25.19,25.16,25.16,25.16,117,25.16
2014-03-10,25.16,26,26,26,1190,26
2014-03-26,26,26.1,26.1,26.1,76,26.1
2014-04-08,26.1,26,26,26,50,26
2014-04-21,26,26.7,26.68,26.68,774,26.68
2014-04-23,26.68,26.68,26.68,26.68,1000,26.68
2014-04-24,26.68,26.52,26.52,26.52,187,26.52
2014-04-29,26.52,26.69,26.69,26.69,358,26.69
2014-05-02,26.69,26.7,26.7,26.7,187,26.7
2014-06-05,26.7,27,27,27,57,27
2014-06-09,27,27.15,27.15,27.15,1000,27.15
2014-06-18,27.15,26.75,26.75,26.75,926,26.75
2014-07-23,26.75,26.05,26.05,26.05,952,26.05
2014-07-25,26.05,25.77,25.77,25.77,677,25.77
2014-07-31,25.77,25.35,25.35,25.35,980,25.35
2014-08-13,25.35,25.9,25.9,25.9,1250,25.9
2014-08-21,25.9,26.3,26.3,26.3,1932,26.3
2014-11-07,26.3,26.41,26.41,26.41,926,26.41
2015-01-07,26.41,24.12,24.12,24.12,1130,24.12
2015-01-14,24.12,23.59,23.59,23.59,988,23.59
2015-02-10,23.59,24.7,24.7,24.7,144,24.7
2015-02-13,24.7,25.1,25.1,25.1,844,25.1
2015-03-10,25.1,25.42,25.42,25.42,386,25.42
2015-04-10,25.42,27.75,27.75,27.75,1130,27.75
2015-11-02,27.75,29.18,29.18,29.18,1757,29.18
2016-01-26,29.18,28.37,28.37,28.37,707,28.37
2016-02-17,28.37,29.44,29.44,29.44,500,29.44
2016-02-22,29.44,29.41,29.41,29.41,48,29.41
2016-03-03,29.41,30.22,30.22,30.22,250,30.22
2016-06-01,30.22,30.06,30.06,30.06,677,30.06
2016-09-06,30.06,30.86,30.86,30.86,1436,30.86
2016-10-07,30.86,29.08,29.08,29.08,66,29.08
2017-01-23,29.08,29.7,29.7,29.7,500,29.7
2017-02-23,29.7,29.99,29.99,29.99,500,29.99
2017-04-10,29.99,30.19,30.13,30.13,2892,30.13
2017-05-26,30.13,27.38,27.38,27.38,5750,27.38
2017-06-27,27.38,27.35,27.26,27.26,832,27.26
2017-07-14,27.26,26.84,26.84,26.84,557,26.84
2017-08-08,26.84,25.78,25.78,25.78,1625,25.78
2017-08-23,25.78,24.66,24.66,24.66,178,24.66
2017-10-12,24.66,22.88,22.88,22.88,214,22.88
2017-10-19,22.88,23.36,23.36,23.36,1250,23.36
2017-10-30,23.36,20.58,20.58,20.58,557,20.58
2017-10-31,20.58,20.18,20.18,20.18,240,20.18
2017-11-06,20.18,20.26,20.26,20.26,500,20.26
2017-11-13,20.26,19.78,19.75,19.75,29302,19.75
2017-12-26,19.75,17.57,17.46,17.57,2076,17.57
2018-01-04,17.57,18.48,18.42,18.42,12610,18.42
2018-01-05,18.42,18.65,18.59,18.65,28145,18.65
2018-01-08,18.65,18.21,18.21,18.21,14300,18.21
2018-01-09,18.21,18.18,18.18,18.18,4400,18.18
2018-01-11,18.18,19.15,19.15,19.15,1666,19.15
2018-01-17,19.15,17.47,17.39,17.47,460,17.47
2018-01-18,17.47,17.09,17.09,17.09,29302,17.09
2018-01-22,17.09,16.02,16.02,16.02,240,16.02
2018-03-06,16.02,14.57,14.57,14.57,135,14.57
2018-05-24,14.57,14.6,14.6,14.6,630,14.6
2018-05-31,14.6,14.08,14.08,14.08,1625,14.08
2018-06-18,14.08,13.19,13.17,13.17,2892,13.17
2018-06-26,13.17,13.82,13.82,13.82,3620,13.82
2018-06-27,13.82,14.18,14.13,14.13,14739,14.13
2018-08-21,14.13,12.55,12.55,12.55,333,12.55
2018-09-13,12.55,12.69,12.69,12.69,500,12.69
2019-01-08,12.69,8.8,8.8,8.8,1960,8.8
2019-01-14,8.8,8.88,8.88,8.88,231,8.88
2019-01-23,8.88,8.75,8.75,8.75,1140,8.75
2019-02-06,8.75,10.85,10.85,10.85,1850,10.85
2019-02-12,10.85,10.12,10.12,10.12,10000,10.12
2019-02-15,10.12,10.12,10.12,10.12,10000,10.12
2019-03-06,10.12,9.516,9.516,9.516,2000,9.516
2019-04-08,9.516,9.3,9.3,9.3,1100,9.3
2019-05-09,9.3,10.06,10.06,10.06,26300,10.06
2019-05-13,10.06,9.84,9.84,9.84,4400,9.84
2019-08-05,9.84,9.67,9.67,9.67,1222,9.67
2019-08-07,9.67,9.3,9.3,9.3,215,9.3
2019-08-12,9.3,9.01,9,9,4200,9
2019-11-08,9,11.38,11.38,9,3850,9
2019-11-19,9,11.37,11.37,11.37,1200,11.37
2019-11-27,11.37,11.3,11.3,11.3,10000,11.3
2020-01-07,11.3,12.13,12.13,12.13,1000,12.13
2020-01-22,12.13,11.44,11.44,11.44,1000,11.44
2020-01-23,11.44,11.73,11.73,11.73,2140,11.73
2020-01-29,11.73,12.91,12.91,12.91,1000,12.91
2020-02-03,12.91,12.41,12.41,12.41,1000,12.41
2020-02-05,12.41,12.8,12.8,12.41,465,12.41
2020-02-07,12.41,13.01,13.01,13.01,2140,13.01
2020-03-11,13.01,8.6,8.59,8.59,2060,8.59
2020-03-13,8.59,7.8,7.8,7.8,1000,7.8
2020-03-16,7.8,7,7,7,2000,7
2020-03-20,7,6.8,6.8,6.8,1000,6.8
2020-03-24,6.8,6.83,6.6,6.83,15700,6.83
2020-03-25,6.83,7.25,7.25,6.83,300,6.83
2020-03-26,6.83,7.75,7.7,7.743,928,7.743
2020-03-31,7.743,7.95,7.95,7.95,1000,7.95
2020-04-01,7.95,7.4,7.4,7.95,800,7.95
2020-04-03,7.95,6.78,6.78,6.78,1206,6.78
2020-04-06,6.78,7.1,7.1,7.1,4647,7.1
2020-04-16,7.1,6.28,6.28,6.28,1580,6.28
2020-04-22,6.28,6.6,6.6,6.28,213,6.28
2020-04-29,6.28,6.62,6.62,6.28,60,6.28
2020-05-05,6.28,6.2,6.2,6.2,2000,6.2
2020-05-08,6.2,6.29,6.29,6.2,795,6.2
