date,open,high,low,close,volume,adj_close
2014-04-02,35,35,35,35,69475,35
2014-04-03,35,43,38.09,43,93078,43
2014-04-04,43,42,38.9,39.1,211169,39.1
2014-04-07,39.1,40.71,36.11,40,324237,40
2014-04-08,40,46,41.7,42,221271,42
2014-04-09,42,44.9,40,44.9,324615,44.9
2014-04-10,44.9,50,43.5,45.8,199580,45.8
2014-04-11,45.8,41.11,40,40,165468,40
2014-04-14,40,46,40,46,1067709,46
2014-04-15,46,48.1,40,48.1,218430,48.1
2014-04-16,48.1,53.8,49.8,53.8,403244,53.8
2014-04-17,53.8,54,54,54,31478,54
2014-04-21,54,58.01,50.01,53.96,445244,53.96
2014-04-22,53.96,48,48,48,217856,48
2014-04-23,48,51.99,51.99,51.99,105455,51.99
2014-04-24,51.99,49.9,44,49.79,310834,49.79
2014-04-25,49.79,44,42,42.01,278440,42.01
2014-04-28,42.01,40,38.56,42.01,487387,42.01
2014-04-29,42.01,44,39.2,42.01,299519,42.01
2020-12-30,7.783,8.05,7.1,7.783,4742108,7.783
2021-01-04,7.783,10.3,8.15,10.3,12709510,10.3
2021-01-05,9.669,11.8,9.698,10.99,6040665,10.99
2021-01-06,10.7,11.18,10.7,10.95,5684976,10.95
2021-01-07,11.34,13.4,11.42,12.8,8295077,12.8
