date,open,high,low,close,volume,adj_close
2014-03-17,75.7,76.04,75.7,75.7,393,75.7
2014-03-18,75.7,77.76,77.6,77.76,329,77.76
2014-03-19,77.76,78.07,78.07,78.07,64,78.07
2014-04-09,78.07,70.66,70,70.66,676,70.66
2014-04-10,70.66,70.37,70,70.3,501,70.3
2014-04-11,70.3,64.48,64.48,64.48,184,64.48
2014-04-22,64.48,72.9,72.5,72.7,627,72.7
2014-04-23,72.7,74.98,74.98,74.98,129,74.98
2014-04-24,74.98,73.44,73.44,73.44,488,73.44
2014-04-29,73.44,76,76,76,100,76
2014-04-30,76,77.15,77.15,77.15,120,77.15
2014-05-02,77.15,77.61,77.61,77.61,17,77.61
2014-05-14,77.61,81.29,81.29,81.29,61,81.29
2014-05-29,81.29,82.45,82.38,82.38,376,82.38
2014-05-30,82.38,81.11,81.11,81.11,90,81.11
2014-06-09,81.11,78.8,78.78,78.8,189,78.8
2014-06-10,78.8,79,79,79,1400,79
2014-06-12,79,81.4,81.4,81.4,189,81.4
2014-06-18,81.4,79.35,79,79.08,1522,79.08
2014-06-23,79.08,81.94,81.63,81.63,189,81.63
2014-06-24,81.63,82.01,81.69,81.95,909,81.95
2014-06-26,81.95,81.69,81.69,81.69,60,81.69
2014-07-01,81.69,85.3,84,85.25,1867,85.25
2014-07-07,85.25,88.45,88.45,88.45,279,88.45
2014-07-08,88.45,86.57,86.57,86.57,126,86.57
2014-07-09,86.57,88.56,88.56,88.56,97,88.56
2014-07-15,88.56,90.67,89.75,89.75,90,89.75
2014-07-23,89.75,90,90,90,49,90
2014-08-26,90,105.92,105.92,105.92,55,105.92
2014-09-25,105.92,106.98,106.98,106.98,46,106.98
2014-10-01,106.98,106.05,106.05,106.05,314,106.05
2014-10-17,106.05,100.79,100.79,100.79,210,100.79
2014-11-13,100.79,104.35,104.35,104.35,210,104.35
2015-01-13,104.35,101.06,99.1,99.1,160,99.1
2015-01-22,99.1,104.34,102.53,104.34,484,104.34
2015-03-30,104.34,99.74,99.74,99.74,50,99.74
2015-05-26,99.74,110.27,110.27,110.27,42,110.27
2015-06-01,110.27,114.26,113.07,114.26,88,114.26
2015-06-04,114.26,114.19,114.19,114.19,50,114.19
2015-07-09,114.19,113.94,113.94,113.94,87,113.94
2015-08-28,113.94,107.4,107.4,107.4,7,107.4
2015-09-03,107.4,103.49,103.49,103.49,97,103.49
2015-09-24,103.49,103.5,103.5,103.5,42,103.5
2015-10-23,103.5,106.57,106.57,106.57,120,106.57
2015-12-09,106.57,101.8,101.8,101.8,300,101.8
2016-01-27,101.8,91.84,91.84,91.84,108,91.84
2016-02-10,91.84,88.79,88.79,88.79,100,88.79
2016-09-20,88.79,79.77,79.77,79.77,49,79.77
2016-10-28,79.77,73.4,73.4,73.4,75,73.4
2016-11-09,73.4,78.23,78.23,78.23,60,78.23
2017-01-23,78.23,71.05,70.5,70.5,224,70.5
2017-01-24,70.5,70,70,70,112,70
2017-02-08,70,65.9,65.9,65.9,58,65.9
2017-03-15,65.9,68,68,68,75,68
2017-03-17,68,69.11,69.11,69.11,90,69.11
2017-03-22,69.11,67.49,67.49,67.49,261,67.49
2017-03-23,67.49,67.49,67.49,67.49,261,67.49
2017-04-28,67.49,68.79,68.79,68.79,7,68.79
2017-06-12,68.79,65.41,65.41,65.41,49,65.41
2017-07-17,65.41,71.5,71.5,71.5,130,71.5
2017-07-19,71.5,72.5,72.5,72.5,130,72.5
2017-07-21,72.5,74.21,74.21,74.21,134,74.21
2017-08-30,74.21,80.06,80.06,80.06,120,80.06
2017-09-07,80.06,85.4,85.4,85.4,370,85.4
2017-09-15,85.4,83.26,83.26,83.26,370,83.26
2017-10-16,83.26,79.8,79.8,79.8,87,79.8
2018-03-14,79.8,81.36,81.36,81.36,120,81.36
2018-05-04,81.36,65.2,65,65,215,65
2018-05-07,65,64.63,64.63,64.63,76,64.63
2018-05-29,64.63,67.08,67.08,67.08,97,67.08
2018-06-29,67.08,71.5,71.5,71.5,291,71.5
2018-08-08,71.5,77,77,77,300,77
2018-12-10,77,66.5,66.5,66.5,127,66.5
2019-04-22,66.5,63.22,63.22,63.22,448,63.22
2019-09-12,63.22,66.95,66.95,66.95,204,66.95
2019-11-21,66.95,65.16,65.16,66.95,60,66.95
2020-01-28,66.95,64.53,64.53,64.53,300,64.53
2020-02-03,64.53,67.05,66.22,66.22,520,66.22
2020-02-07,66.22,70,70,70,127,70
2020-02-13,70,66.6,66.6,66.6,590,66.6
2020-02-14,66.6,67.35,67.35,67.35,550,67.35
2020-02-19,67.35,67.05,67.05,67.35,14,67.35
2020-02-28,67.35,68.63,68.63,68.63,550,68.63
2020-03-03,68.63,73.62,73.62,73.62,510,73.62
2020-03-05,73.62,77.4,77.3,77.4,262,77.4
2020-03-09,77.4,73.96,73.96,73.96,510,73.96
2020-03-12,73.96,68.95,68.95,68.95,230,68.95
2020-03-13,68.95,69.98,69.98,69.98,500,69.98
2020-03-17,69.98,73.9,73.9,73.9,230,73.9
2020-03-20,73.9,74.45,74.45,74.45,250,74.45
2020-03-23,74.45,74.2,74.2,74.2,250,74.2
2020-03-25,74.2,71.6,71.6,74.2,10,74.2
2020-03-27,74.2,74.62,74.62,74.62,500,74.62
2020-03-31,74.62,75.14,75.14,75.14,500,75.14
2020-04-17,75.14,84.89,83.4,75.14,60,75.14
2020-04-20,75.14,83.2,81.5,75.14,8,75.14
2020-04-21,75.14,81.76,81.76,81.76,244,81.76
2020-04-24,81.76,77,74.29,77,515,77
2020-04-29,77,84.36,82.61,84.36,298,84.36
2020-04-30,84.36,83.63,83.63,84.36,6,84.36
2020-05-04,84.36,79.72,79.72,84.36,47,84.36
2020-05-06,84.36,78.15,78.15,84.36,15,84.36
2020-05-11,84.36,79.91,79.91,84.36,10,84.36
2020-05-13,84.36,77.48,77.48,77.48,200,77.48
2020-05-20,77.48,74,74,77.48,47,77.48
2020-05-22,77.48,73.2,73.2,77.48,75,77.48
2020-06-22,77.48,76.27,76.27,77.48,27,77.48
2020-06-24,77.48,75.08,75.08,77.48,33,77.48
2020-07-01,77.48,77.04,76.24,77.01,338,77.01
2020-07-09,77.01,74.66,74.66,74.66,98,74.66
2020-07-17,74.66,77.2,77.2,77.2,380,77.2
2020-07-24,77.2,74.3,74.3,74.3,380,74.3
2020-08-11,74.3,68.5,68.5,74.3,100,74.3
2020-08-13,74.3,68.1,68.1,68.1,244,68.1
2020-11-10,68.1,60.62,60.62,60.62,164,60.62
2020-11-24,60.62,60.15,60.15,60.62,16,60.62
2020-11-25,60.62,59.72,59.72,60.62,42,60.62
2020-12-14,60.62,60.25,60.25,60.25,500,60.25
2020-12-15,60.25,59.4,59.4,59.4,33,59.4
2020-12-18,60.25,58.94,58.94,58.94,700,58.94
2020-12-29,58.94,56.95,56.95,56.95,873,56.95
2021-01-12,56.95,61.83,61.83,61.83,14,61.83
2021-01-27,56.95,65.16,65.16,65.16,873,65.16
2021-01-28,65.16,66.17,66.17,66.17,755,66.17
2021-02-08,66.17,67.65,67.65,67.65,164,67.65
2021-02-23,67.65,62.88,62.88,62.88,500,62.88
2021-03-12,62.88,62.55,62.55,62.88,30,62.88
