date,open,high,low,close,volume,adj_close
2009-07-01,10000000,9800000,9800000,10000000,1,10000000
2009-07-09,10000000,10000000,10000000,10000000,1,10000000
2009-07-21,10000000,10000000,10000000,10000000,1,10000000
2009-07-31,10000000,10000000,10000000,10000000,3,10000000
2009-08-18,10000000,10001000,10001000,10000000,2,10000000
2009-09-01,10000000,10000000,10000000,10000000,3,10000000
2009-09-28,10000000,10050000,10050000,10000000,1,10000000
2009-09-29,10000000,11000000,11000000,10000000,1,10000000
2009-10-08,10000000,10500000,10150000,10000000,3,10000000
2009-10-09,10000000,10150000,10150000,10000000,1,10000000
2009-10-16,10000000,10500000,10500000,10000000,1,10000000
2009-10-23,10000000,10700000,10700000,10000000,1,10000000
2009-11-05,10000000,10700000,10700000,10700000,3,10700000
2009-11-10,10700000,10750000,10750000,10700000,1,10700000
2009-12-23,10700000,11000000,11000000,11000000,3,11000000
2010-01-06,11000000,11700000,11700000,11000000,2,11000000
2010-02-19,11000000,11860000,11860000,11000000,2,11000000
2010-05-10,11000000,14000000,14000000,11000000,3,11000000
2010-06-01,11000000,15000000,15000000,11000000,1,11000000
2010-08-27,11000000,16000000,16000000,16000000,3,16000000
2010-09-15,16000000,16000000,16000000,16000000,1,16000000
2010-10-21,16000000,16634000,16634000,16634000,3,16634000
2010-12-20,16634000,21000000,18500000,21000000,6,21000000
2011-03-28,21000000,21000000,21000000,21000000,1,21000000
2011-07-28,21000000,20500000,20500000,20500000,3,20500000
2011-08-12,20500000,23000000,23000000,23000000,3,23000000
2011-09-06,23000000,26000000,26000000,26000000,3,26000000
2011-09-09,26000000,26000000,26000000,26000000,1,26000000
2011-12-07,26000000,26000000,26000000,26000000,3,26000000
2011-12-22,26000000,26000000,26000000,26000000,1,26000000
2011-12-23,26000000,26000000,26000000,26000000,1,26000000
2012-01-09,26000000,25000000,25000000,25000000,4,25000000
2012-01-12,25000000,25000000,25000000,25000000,1,25000000
2012-01-27,25000000,25000000,25000000,25000000,1,25000000
2012-03-09,25000000,24500000,24500000,24500000,3,24500000
2012-03-13,24500000,24500000,24500000,24500000,1,24500000
2012-04-09,24500000,24500000,24500000,24500000,1,24500000
2012-06-14,24500000,24500000,24500000,24500000,1,24500000
2012-07-30,24500000,24500000,24500000,24500000,2,24500000
2012-09-07,24500000,24500000,24500000,24500000,1,24500000
2012-10-02,24500000,24500000,24500000,24500000,1,24500000
2012-10-24,24500000,24500000,24500000,24500000,1,24500000
2012-10-25,24500000,24500000,24500000,24500000,1,24500000
2012-11-14,24500000,24500000,24500000,24500000,1,24500000
2012-11-19,24500000,24500000,24500000,24500000,3,24500000
2012-11-27,24500000,24500000,24500000,24500000,2,24500000
2012-12-20,24500000,24500000,24500000,24500000,1,24500000
2013-01-10,24500000,24500000,24500000,24500000,3,24500000
2013-01-22,24500000,25500000,25500000,25500000,3,25500000
2013-02-01,25500000,25500000,25500000,25500000,1,25500000
2013-04-30,25500000,25500000,25500000,25500000,1,25500000
2013-06-10,25500000,25500000,25500000,25500000,3,25500000
2013-06-13,25500000,25500000,25500000,25500000,1,25500000
2013-07-22,25500000,26300000,26300000,26300000,3,26300000
2013-09-09,26300000,26300000,26300000,26300000,1,26300000
2013-09-25,26300000,26300000,26300000,26300000,3,26300000
2013-10-04,26300000,26300000,26300000,26300000,1,26300000
2013-10-24,26300000,26300000,26300000,26300000,1,26300000
2014-01-22,26300000,26300000,26300000,26300000,1,26300000
2014-03-31,26300000,26300000,26300000,26300000,1,26300000
2014-04-28,26300000,22501000,22501000,22501000,3,22501000
2014-05-13,22501000,22501000,22501000,22501000,1,22501000
2014-06-05,22501000,24000000,24000000,24000000,6,24000000
2014-06-25,24000000,24000000,24000000,24000000,1,24000000
2014-08-05,24000000,24000000,24000000,24000000,2,24000000
2014-08-07,24000000,23500000,23500000,23500000,3,23500000
2014-08-12,23500000,23500000,23500000,23500000,1,23500000
2014-08-18,23500000,23500000,23500000,23500000,1,23500000
2014-08-21,23500000,23500000,23500000,23500000,1,23500000
2014-08-25,23500000,23500000,23500000,23500000,4,23500000
2014-08-26,23500000,23500000,23500000,23500000,1,23500000
2014-08-29,23500000,22000000,22000000,22000000,3,22000000
2014-09-01,22000000,22000000,22000000,22000000,2,22000000
2014-09-05,22000000,22000000,22000000,22000000,3,22000000
2014-09-26,22000000,22000000,22000000,22000000,2,22000000
2014-10-06,22000000,22000000,22000000,22000000,2,22000000
2014-11-03,22000000,22000000,22000000,22000000,1,22000000
2014-12-01,22000000,22000000,22000000,22000000,1,22000000
2014-12-10,22000000,22000000,22000000,22000000,3,22000000
2015-01-09,22000000,22000000,22000000,22000000,1,22000000
2015-02-03,22000000,22000000,22000000,22000000,1,22000000
2015-02-06,22000000,21800000,21800000,21800000,3,21800000
2015-04-15,21800000,21800000,21800000,21800000,1,21800000
2015-05-14,21800000,21000000,21000000,21000000,3,21000000
2015-05-15,21000000,21800000,21800000,21800000,3,21800000
2015-05-27,21800000,21800000,21800000,21800000,1,21800000
2015-06-09,21800000,21800000,21800000,21800000,1,21800000
2015-07-28,21800000,21800000,21800000,21800000,2,21800000
2015-07-30,21800000,21800000,21800000,21800000,1,21800000
2015-08-12,21800000,21800000,21800000,21800000,3,21800000
2015-08-21,21800000,21800000,21800000,21800000,1,21800000
2015-09-04,21800000,20500000,20500000,20500000,3,20500000
2015-10-16,20500000,20500000,20500000,20500000,3,20500000
2015-10-21,21000000,20500000,20500000,20500000,2,20500000
2015-11-19,20500000,20500000,20500000,20500000,1,20500000
2015-11-26,20500000,20500000,20500000,20500000,3,20500000
2016-01-06,20500000,20500000,20500000,20500000,1,20500000
2016-04-27,20500000,20500000,20500000,20500000,1,20500000
2016-05-06,20500000,20500000,20500000,20500000,2,20500000
2016-05-09,20500000,20500000,20500000,20500000,1,20500000
2016-05-12,20500000,20500000,20500000,20500000,1,20500000
2016-06-20,20500000,20500000,20500000,20500000,1,20500000
2016-06-23,20500000,20500000,20500000,20500000,3,20500000
2016-07-19,20500000,20500000,20500000,20500000,2,20500000
2016-07-20,20500000,20000000,20000000,20000000,3,20000000
2016-08-29,20000000,20000000,20000000,20000000,1,20000000
2016-12-01,20000000,20000000,20000000,20000000,1,20000000
2017-01-12,20000000,20500000,20500000,20000000,3,20000000
2017-05-23,20000000,20000000,20000000,20000000,3,20000000
2017-05-25,20000000,20000000,20000000,20000000,1,20000000
2017-05-26,20000000,20000000,20000000,20000000,2,20000000
2017-06-02,20000000,20000000,20000000,20000000,1,20000000
2017-06-15,20000000,20000000,20000000,20000000,3,20000000
2017-07-14,20000000,20000000,20000000,20000000,1,20000000
2017-08-28,20000000,20000000,20000000,20000000,3,20000000
2017-10-30,20000000,20000000,20000000,20000000,1,20000000
2017-11-03,20000000,20000000,20000000,20000000,2,20000000
2018-01-05,20000000,20000000,20000000,20000000,1,20000000
2018-01-10,20000000,20000000,20000000,20000000,1,20000000
2018-01-11,20000000,20000000,20000000,20000000,1,20000000
2018-02-14,20000000,20000000,20000000,20000000,1,20000000
2018-02-26,20000000,20000000,20000000,20000000,1,20000000
2018-04-26,20000000,20000000,20000000,20000000,2,20000000
2018-05-11,20000000,20000000,20000000,20000000,1,20000000
2018-05-29,20000000,20000000,20000000,20000000,3,20000000
2018-08-07,20000000,20000000,20000000,20000000,3,20000000
2018-08-09,20000000,20000000,20000000,20000000,3,20000000
2018-09-14,20000000,20000000,20000000,20000000,1,20000000
2018-12-11,20000000,20000000,20000000,20000000,1,20000000
2018-12-12,20000000,20000000,20000000,20000000,1,20000000
2018-12-19,20000000,20000000,20000000,20000000,1,20000000
2018-12-21,20000000,20000000,20000000,20000000,2,20000000
2019-01-11,20000000,19900000,19900000,19900000,3,19900000
2019-01-24,19900000,19900000,19900000,19900000,1,19900000
2019-02-05,19900000,19900000,19900000,19900000,1,19900000
2019-03-22,19900000,19900000,19900000,19900000,2,19900000
2019-04-03,19900000,19000000,19000000,19000000,4,19000000
2019-05-16,19000000,19000000,19000000,19000000,1,19000000
2019-05-24,19000000,19000000,19000000,19000000,2,19000000
2019-06-24,19000000,19000000,19000000,19000000,3,19000000
2019-07-24,19000000,19000000,19000000,19000000,3,19000000
2019-08-22,19000000,19000000,19000000,19000000,1,19000000
2019-08-26,19000000,19000000,19000000,19000000,2,19000000
2019-08-27,19000000,19000000,19000000,19000000,1,19000000
2019-09-24,19000000,19000000,19000000,19000000,1,19000000
2019-09-30,19000000,19000000,19000000,19000000,1,19000000
2019-10-22,19000000,19000000,19000000,19000000,0,19000000
2019-11-19,19000000,19000000,19000000,19000000,0,19000000
2019-11-20,19000000,19000000,19000000,19000000,0,19000000
2019-11-21,19000000,19000000,19000000,19000000,0,19000000
2019-11-23,19000000,19000000,19000000,19000000,0,19000000
2019-12-10,19000000,19000000,19000000,19000000,2,19000000
2019-12-20,19000000,19000000,19000000,19000000,0,19000000
2020-01-14,19000000,18000000,18000000,18000000,3,18000000
2020-01-15,18000000,18000000,18000000,18000000,2,18000000
2020-04-04,18000000,18000000,18000000,18000000,0,18000000
