date,open,high,low,close,volume,adj_close
2014-11-18,538.07,538.07,538.07,538.07,4,538.07
2014-12-15,538.07,514,514,514,15,514
2015-01-02,514,527.01,527.01,527.01,7,527.01
2015-01-22,527.01,532.17,530.8,532.05,20,532.05
2015-01-23,532.05,540.65,540.65,540.65,5,540.65
2015-02-12,540.65,538.6,538.6,538.6,3,538.6
2015-02-17,538.6,548.55,548.55,548.55,25,548.55
2015-02-27,548.55,560.9,560.9,560.9,239,560.9
2015-05-19,560.9,535.4,535.4,535.4,9,535.4
2015-06-10,535.4,536.58,536.58,536.58,3,536.58
2015-07-09,536.58,522.72,522.72,522.72,28,522.72
2015-07-21,522.72,676.2,676.2,676.2,3,676.2
2015-07-24,676.2,632.3,632.3,632.3,239,632.3
2015-07-31,632.3,628.87,628.87,628.87,12,628.87
2015-08-04,628.87,629.08,629.08,629.08,9,629.08
2015-08-11,629.08,663.99,663.99,663.99,230,663.99
2015-08-14,663.99,656.54,656.54,656.54,1,656.54
2015-08-27,656.54,637.92,634.1,634.1,119,634.1
2015-08-28,634.1,628.32,628.31,628.31,74,628.31
2015-09-09,628.31,620.46,620.46,620.46,3,620.46
2015-09-22,620.46,615.55,615.55,615.55,3,615.55
2015-09-25,615.55,627.94,627.94,627.94,2,627.94
2015-10-13,627.94,660,660,660,39,660
2015-10-22,660,647.3,647.3,647.3,10,647.3
2015-10-23,647.3,710.87,708.82,708.82,7,708.82
2015-11-02,708.82,717.78,717.48,717.78,4,717.78
2015-11-05,717.78,739.37,739.37,739.37,2,739.37
2015-11-09,739.37,730.7,730.7,730.7,7,730.7
2015-11-10,730.7,724.92,724.92,724.92,13,724.92
2015-11-18,724.92,732,729.72,732,31,732
2015-11-24,732,750.52,750.52,750.52,22,750.52
2015-11-27,750.52,751.03,751.03,751.03,67,751.03
2015-12-14,751.03,733.93,733.71,733.71,8,733.71
2015-12-16,733.71,740.73,740.73,740.73,94,740.73
2015-12-17,740.73,760.51,760.51,760.51,6,760.51
2016-01-06,760.51,729.52,729.52,729.52,6,729.52
2016-01-19,729.52,703.05,703.05,703.05,2,703.05
2016-01-29,703.05,736.36,736.36,736.36,12,736.36
2016-02-04,736.36,715.06,715.06,715.06,7,715.06
2016-02-05,715.06,688.06,688.06,688.06,7,688.06
2016-02-26,688.06,708.13,708.13,708.13,27,708.13
2016-03-03,708.13,717.98,714.08,715.03,264,715.03
2016-03-10,715.03,709.78,709.78,709.78,14,709.78
2016-03-21,709.78,734.14,734.14,734.14,4,734.14
2016-03-22,734.14,744.42,744.42,744.42,16,744.42
2016-03-29,744.42,733.02,733.02,733.02,94,733.02
2016-04-01,733.02,741.12,741.12,741.12,5,741.12
2016-04-05,741.12,739.68,739.68,739.68,6,739.68
2016-04-13,739.68,752.05,752.05,752.05,7,752.05
2016-04-14,752.05,753.9,753.9,753.9,15,753.9
2016-04-15,753.9,759.13,759.13,759.13,38,759.13
2016-05-02,759.13,694,694,694,25,694
2016-05-06,694,709.36,709.36,709.36,70,709.36
2016-05-10,709.36,721.64,719,721.64,14,721.64
2016-05-19,721.64,697.35,697.35,697.35,7,697.35
2016-05-24,697.35,719.08,719.08,719.08,25,719.08
2016-06-01,719.08,735.66,734.3,735.66,52,735.66
2016-06-09,735.66,728.71,727.23,728.71,17,728.71
2016-06-10,728.71,720.18,720.18,720.18,40,720.18
2016-06-28,720.18,675.6,675.6,675.6,6,675.6
2016-07-11,675.6,712.87,712.87,712.87,15,712.87
2016-07-13,712.87,720.63,720.63,720.63,4,720.63
2016-07-20,720.63,740.94,740.94,740.94,45,740.94
2016-07-25,740.94,738.76,738.76,738.76,4,738.76
2016-07-27,738.76,740.77,740.77,740.77,172,740.77
