date,open,high,low,close,volume,adj_close
2020-12-10,1323800,1323800,1323800,1323800,5,1323800
2020-12-15,1323800,1300900,1300900,1300900,2,1300900
2020-12-21,1323800,1269100,1264700,1269100,2,1269100
2020-12-23,1323800,1247700,1247700,1247700,8,1247700
2021-01-07,1247700,1272700,1272700,1247700,1,1247700
2021-01-08,1247700,1281700,1281700,1281700,1,1281700
2021-01-15,1247700,1289000,1289000,1289000,1,1289000
2021-01-20,1247700,1340000,1340000,1340000,1,1340000
2021-01-25,1247700,1413700,1413700,1413700,1,1413700
2021-01-26,1247700,1411900,1386900,1247700,2,1247700
2021-01-27,1247700,1404500,1367100,1247700,2,1247700
2021-02-02,1247700,1413200,1413200,1247700,1,1247700
2021-02-03,1247700,1512800,1506400,1247700,3,1247700
2021-02-04,1247700,1525600,1525600,1525600,6,1525600
2021-02-05,1525600,1538700,1520600,1520600,2,1520600
2021-02-10,1525600,1545100,1545100,1545100,2,1545100
2021-02-11,1525600,1528600,1528600,1528600,1,1528600
2021-02-16,1525600,1547700,1547700,1525600,3,1525600
2021-02-25,1525600,1478000,1478000,1478000,2,1478000
2021-02-26,1525600,1492600,1481600,1492600,8,1492600
2021-03-01,1484743,1504000,1490000,1504000,2,1504000
2021-03-03,1484743,1521800,1521800,1521800,1,1521800
2021-03-11,1484743,1518000,1514400,1484743,3,1484743
2021-04-08,1484743,1608800,1608800,1484743,1,1484743
2021-04-29,1484743,1719000,1719000,1484743,1,1484743
2021-05-05,1484743,1683000,1683000,1484743,1,1484743
2021-05-06,1484743,1661100,1654000,1655420,5,1655420
2021-05-10,1655420,1637300,1619900,1619900,10,1619900
2021-05-11,1619900,1628400,1625500,1619900,2,1619900
2021-05-12,1619900,1613000,1613000,1619900,1,1619900
2021-05-14,1619900,1626900,1626900,1619900,1,1619900
2021-05-19,1619900,1625000,1625000,1619900,2,1619900
2021-05-24,1619900,1756000,1756000,1619900,1,1619900
2021-05-28,1619900,1755000,1755000,1619900,1,1619900
2021-06-02,1619900,1767100,1738400,1619900,2,1619900
2021-06-04,1619900,1756000,1756000,1756000,12,1756000
2021-06-07,1756000,1763800,1763800,1763800,5,1763800
2021-06-10,1763800,1827900,1820000,1820000,6,1820000
2021-06-11,1820000,1821000,1821000,1820000,1,1820000
2021-06-14,1820000,1825000,1815000,1815000,4,1815000
2021-06-15,1822500,1835000,1835000,1835000,3,1835000
2021-06-17,1822500,1874300,1866000,1822500,3,1822500
2021-06-18,1822500,1876000,1876000,1876000,1,1876000
2021-06-25,1822500,1868200,1868200,1868200,2,1868200
2021-07-01,1822500,1884000,1884000,1822500,1,1822500
2021-07-02,1822500,1874000,1874000,1822500,1,1822500
2021-07-06,1822500,1927000,1916300,1927000,35,1927000
2021-07-07,1927000,1970000,1915000,1953550,4,1953550
2021-07-12,1953550,1945000,1921000,1953550,3,1953550
2021-07-13,1953550,1971800,1948900,1950338,29,1950338
2021-07-14,1950338,1992900,1965000,1982050,5,1982050
2021-07-19,1982050,1959900,1959900,1982050,1,1982050
2021-07-21,1982050,1976900,1890000,1972072,54,1972072
2021-07-22,1972072,2013400,2013400,1972072,1,1972072
2021-07-23,1972072,2121000,2106400,2107727,11,2107727
2021-07-27,2107727,2085400,2085400,2107727,1,2107727
2021-07-28,2107727,2116600,2116600,2107727,2,2107727
2021-08-03,2107727,2109100,2109100,2107727,2,2107727
2021-08-05,2107727,2143400,2143400,2107727,1,2107727
2021-08-06,2107727,2144300,2116800,2116800,11,2116800
2021-08-09,2116800,2163900,2163900,2116800,1,2116800
2021-08-10,2116800,2160000,2160000,2160000,4,2160000
2021-08-13,2160000,2153600,2153600,2160000,1,2160000
2021-08-18,2160000,2158000,2158000,2160000,1,2160000
2021-08-23,2160000,2208100,2208100,2208100,4,2208100
2021-09-02,2208100,2236700,2236700,2208100,1,2208100
2021-09-07,2208100,2245500,2245500,2208100,1,2208100
2021-09-08,2208100,2294200,2292100,2208100,2,2208100
2021-09-16,2208100,2267400,2267400,2208100,1,2208100
2021-09-22,2208100,2202100,2202100,2208100,1,2208100
2021-09-27,2208100,2260000,2248600,2260000,2,2260000
2021-09-28,2208100,2169800,2169800,2208100,2,2208100
2021-10-01,2208100,2197900,2197900,2208100,1,2208100
2021-10-04,2208100,2129500,2129500,2129500,1,2129500
