date,open,high,low,close,volume,adj_close
2012-05-24,599.74,599.74,599.74,599.74,100,599.74
2012-06-07,599.74,581.01,581.01,581.01,100,581.01
2012-06-08,581.01,578.9,578.9,578.9,4,578.9
2012-06-20,578.9,575,575,575,16,575
2012-07-05,575,595,595,595,16,595
2012-08-21,595,676.61,668,675,62,675
2012-08-31,675,687.9,687.9,687.9,14,687.9
2012-09-11,687.9,694.86,694.86,694.86,8,694.86
2012-09-12,694.86,685,685,685,9,685
2012-09-20,685,728,725,728,17,728
2012-09-25,728,760.9,760.9,760.9,130,760.9
2012-09-26,760.9,752.83,752.83,752.83,5,752.83
2012-09-27,752.83,761.9,761.9,761.9,500,761.9
2012-10-02,761.9,755,755,755,8,755
2012-10-05,755,772.46,772.46,772.46,50,772.46
2012-10-24,772.46,682.7,682.7,682.7,58,682.7
2012-11-07,682.7,675.57,675.57,675.57,16,675.57
2012-11-16,675.57,640.68,640.68,640.68,5,640.68
2012-11-26,640.68,662.2,661.3,661.3,168,661.3
2012-11-29,661.3,689.31,688.43,689.31,24,689.31
2012-12-19,689.31,720.44,720.44,720.44,15,720.44
2013-01-02,720.44,719.1,719.1,719.1,11,719.1
2013-01-10,719.1,739,739,739,8,739
2013-01-14,739,728,728,728,13,728
2013-01-23,728,745,745,745,13,745
2013-01-25,745,752.48,752.48,752.48,109,752.48
2013-01-29,752.48,750.45,750.45,750.45,15,750.45
2013-02-08,750.45,782.7,782.7,782.7,13,782.7
2013-02-19,782.7,802,802,802,500,802
2013-02-21,802,802.56,802.56,802.56,58,802.56
2013-02-28,802.56,803.42,803.42,803.42,8,803.42
2013-03-12,803.42,827,827,827,13,827
2013-04-09,827,773.8,773.8,773.8,18,773.8
2013-04-22,773.8,794.68,794.68,794.68,13,794.68
2013-04-29,794.68,835.6,835.6,835.6,1,835.6
2013-05-22,835.6,890,890,890,12,890
2013-05-24,890,872.37,872.37,872.37,8,872.37
2013-05-29,872.37,873.71,873.71,873.71,12,873.71
2013-06-03,873.71,870,860,870,14,870
2013-06-10,870,890,890,890,12,890
2013-06-12,890,870,870,870,12,870
2013-06-18,870,897.91,897.91,897.91,12,897.91
2013-07-18,897.91,915.43,907.91,907.91,26,907.91
2013-07-22,907.91,909.21,909.21,909.21,2,909.21
2013-08-19,909.21,870,870,870,2,870
2013-08-20,870,868.51,868.51,868.51,11,868.51
2013-10-14,868.51,870.37,870.37,870.37,65,870.37
2013-10-18,870.37,1005.8,1003.1,1005.8,66,1005.8
2013-10-21,1005.8,1007.2,1007.2,1007.2,15,1007.2
2013-10-22,1007.2,1008.4,1001.4,1001.4,14,1001.4
2013-11-06,1001.4,1018.4,1018.4,1018.4,57,1018.4
2013-11-07,1018.4,1014,1014,1014,7,1014
2013-12-04,1014,1054.4,1054.4,1054.4,2,1054.4
2014-01-23,1054.4,1159.9,1159.9,1159.9,2,1159.9
2014-02-06,1159.9,1153,1153,1153,18,1153
2014-02-10,1153,1176,1176,1176,18,1176
2014-02-11,1176,1178,1178,1178,5,1178
2014-02-13,1178,1190,1190,1190,15,1190
2014-02-14,1190,1194.5,1194.5,1194.5,2,1194.5
2014-02-26,1194.5,1217.9,1217.9,1217.9,7,1217.9
2014-03-06,1217.9,1223.1,1223.1,1223.1,3,1223.1
2014-03-13,1223.1,1185.5,1185.5,1185.5,22,1185.5
2014-03-14,1185.5,1174.3,1174.3,1174.3,16,1174.3
2014-03-18,1174.3,1201.9,1201.9,1201.9,18,1201.9
2014-03-19,1201.9,1205,1205,1205,5,1205
2014-06-12,1205,559.6,559.6,559.6,3,559.6
2014-07-14,559.6,586.65,586.65,586.65,3,586.65
2014-08-01,586.65,569.5,569.5,569.5,3,569.5
2014-09-02,569.5,585.26,585.26,585.26,7,585.26
2014-09-09,585.26,594.58,594.58,594.58,57,594.58
2014-09-11,594.58,599.1,599.1,599.1,3,599.1
