date,open,high,low,close,volume,adj_close
2009-06-15,26000,26000,26000,26000,30,26000
2009-08-20,26000,26000,26000,26000,30,26000
2009-08-28,26000,26000,26000,26000,30,26000
2009-09-30,26000,26000,26000,26000,30,26000
2009-11-13,26000,26000,26000,26000,14,26000
2010-02-12,26000,26000,26000,26000,30,26000
2010-03-26,26000,26000,26000,26000,20,26000
2010-04-23,26000,26000,26000,26000,33,26000
2010-06-11,26000,35000,35000,35000,30,35000
2010-06-18,35000,35000,35000,35000,23,35000
2010-06-21,35000,30000,30000,30000,30,30000
2010-08-24,30000,26000,26000,26000,33,26000
2010-10-13,26000,30000,30000,30000,30,30000
2010-11-11,30000,27001,27001,27001,53,27001
2011-02-03,27001,27001,27001,27001,15,27001
2011-02-18,27001,27001,27001,27001,15,27001
2011-03-25,27001,29000,29000,29000,35,29000
2011-04-29,29000,28000,28000,28000,30,28000
2011-05-16,28000,28000,28000,28000,30,28000
2011-06-17,28000,27000,27000,27000,30,27000
2011-07-20,27000,27000,27000,27000,20,27000
2011-08-30,27000,27000,27000,27000,80,27000
2012-01-17,27000,27000,27000,27000,16,27000
2012-03-13,27000,27000,27000,27000,30,27000
2012-03-26,27000,27000,27000,27000,8,27000
2012-03-30,27000,27000,27000,27000,60,27000
2012-07-04,27000,27000,27000,27000,1,27000
2012-10-01,27000,27000,27000,27000,17,27000
2012-11-08,27000,30000,30000,30000,30,30000
2013-03-14,30000,28000,28000,28000,30,28000
2013-05-03,28000,28000,28000,28000,30,28000
2013-05-16,28000,28000,28000,28000,30,28000
2013-07-18,28000,27000,27000,27000,60,27000
2013-07-26,27000,27000,27000,27000,108,27000
2014-12-22,27000,27000,27000,27000,30,27000
2015-05-05,27000,27000,27000,27000,8,27000
2015-08-13,27000,27000,27000,27000,20,27000
2015-11-04,27000,27010,27010,27010,30,27010
2016-03-14,27010,30000,30000,30000,30,30000
2016-08-08,30000,30000,30000,30000,30,30000
2017-01-04,30000,30000,30000,30000,33,30000
2017-03-24,30000,30000,30000,30000,126,30000
2017-06-30,30000,30000,30000,30000,30,30000
2017-07-24,30000,30000,30000,30000,30,30000
2018-02-16,30000,29000,29000,29000,75,29000
2018-02-27,29000,28500,28500,28500,33,28500
2018-06-26,28500,28500,28500,28500,30,28500
2019-05-09,28500,27000,27000,27000,30,27000
2019-08-12,27000,27000,27000,27000,76,27000
2019-10-22,27000,27000,27000,27000,0,27000
2019-11-19,27000,27000,27000,27000,0,27000
2019-11-20,27000,27000,27000,27000,0,27000
2019-11-21,27000,27000,27000,27000,0,27000
2019-11-23,27000,27000,27000,27000,0,27000
2019-12-20,27000,27000,27000,27000,0,27000
2020-02-03,27000,30000,30000,27000,30,27000
