date,open,high,low,close,volume,adj_close
2009-06-03,305,301,301,301,9345,301
2009-06-04,301,302,301,302,6285,302
2009-06-05,302,305,302,302,30720,302
2009-06-08,302,301,301,301,66380,301
2009-06-09,301,300,300,300,3495,300
2009-06-10,300,305,304.99,305,71280,305
2009-06-11,305,305,303,305,66089,305
2009-06-12,305,304,304,304,32597,304
2009-06-15,304,304,304,304,905,304
2009-06-17,304,298,298,298,22800,298
2009-06-22,298,298,298,298,1004,298
2009-06-24,298,295,295,295,78410,295
2009-06-30,295,290,290,290,8538,290
2009-07-01,290,290,290,290,31498,290
2009-07-02,290,290,285,285,34702,285
2009-07-06,285,286,286,286,30000,286
2009-07-13,286,284.9,284.9,284.9,4910,284.9
2009-07-14,284.9,284,284,284,9190,284
2009-07-17,284,284,284,284,357,284
2009-07-20,284,275,270,275,291121,275
2009-07-21,275,275,275,275,41275,275
2009-07-22,275,270,270,270,6000,270
2009-07-23,270,275,270,270,32000,270
2009-07-24,270,270,270,270,36275,270
2009-07-27,270,268,268,268,23200,268
2009-07-28,268,268,268,268,10800,268
2009-07-29,268,265,265,265,8634,265
2009-07-30,265,267,265,267,68514,267
2009-07-31,267,280,268,280,209542,280
2009-08-03,280,290,290,290,70000,290
2009-08-04,290,291,285,285,75500,285
2009-08-05,285,290,285,290,80752,290
2009-08-06,290,291,289,290,74544,290
2009-08-07,290,290,290,290,21537,290
2009-08-10,290,290,290,290,50650,290
2009-08-11,290,290,290,290,14130,290
2009-08-12,290,310,305,310,200357,310
2009-08-13,310,330,310,330,540963,330
2009-08-14,330,337,325,330,51885,330
2009-08-17,330,328,324.99,325,186625,325
2009-08-18,325,328.1,325,328.1,432726,328.1
2009-08-19,328.1,334.5,328.5,334,241914,334
2009-08-20,334,334.4,333,333,161216,333
2009-08-21,333,334.5,325.1,325.1,72449,325.1
2009-08-24,325.1,324.1,320,323,30512,323
2009-08-25,323,320,320,320,42957,320
2009-08-27,320,323,319.99,319.99,109237,319.99
2009-08-28,319.99,321,319,320,433724,320
2009-09-03,320,320,320,320,30250,320
2009-09-04,320,320,320,320,15000,320
2009-09-07,320,320,320,320,5250,320
2009-09-08,320,320,320,320,21600,320
2009-09-09,320,320,320,320,21500,320
2009-09-11,320,320,312,313.04,98738,313.04
2009-09-14,313.04,313.04,313.04,313.04,620,313.04
2009-09-15,313.04,313,313,313,600000,313
2009-09-16,313,313.05,313.05,313.05,94750,313.05
2009-09-21,313.05,320,320,320,25000,320
2009-09-22,320,320,320,320,27000,320
2009-09-23,320,320,320,320,20000,320
2009-09-25,320,320,319.9,320,108412,320
2009-09-30,320,320,320,320,2115,320
2009-10-01,320,319.9,319.9,319.9,27885,319.9
2009-10-02,319.9,320,319.9,320,10400,320
2009-10-05,320,320,320,320,21296,320
2009-10-06,320,325,325,325,22000,325
2009-10-07,325,340,340,340,138300,340
2009-10-08,340,345,340,345,81604,345
2009-10-09,345,348,345,346,114186,346
2009-10-13,346,354,354,354,19626,354
2009-10-14,354,354,353,353,41660,353
2009-10-15,353,353,353,353,17123,353
2009-10-16,353,380,350,350,1488527,350
2009-10-19,350,352,349,350,33655,350
2009-10-20,350,350,349,349,42442,349
2009-10-21,349,349,349,349,211266,349
2009-10-26,349,346,346,346,8946,346
2009-10-29,346,331,331,331,30000,331
2009-10-30,331,365,329,365,267117,365
2009-11-02,365,340,340,340,65823,340
2009-11-03,340,345,345,345,19403,345
2009-11-04,345,345,345,345,153000,345
2009-11-05,345,345,345,345,6000,345
2009-11-06,345,345,345,345,4000,345
2009-11-09,345,342,342,342,25295,342
2009-11-10,342,340,340,340,329061,340
2009-11-11,340,340,340,340,170590,340
2009-11-13,340,340,339,340,174520,340
2009-11-16,340,340,340,340,400,340
2009-11-17,340,335,335,335,45989,335
2009-11-18,335,335,335,335,3611,335
2009-11-20,335,333,333,333,3400,333
2009-11-23,333,333,333,333,15670,333
2009-11-24,333,333,333,333,6000,333
2009-11-25,333,333,333,333,1000,333
2009-11-26,333,333,320,320,49698,320
