date,open,high,low,close,volume,adj_close
2012-05-24,30.39,30.39,30.39,30.39,100,30.39
2012-06-01,30.39,30.25,30.25,30.25,350,30.25
2012-06-07,30.25,28.04,28.04,28.04,100,28.04
2012-07-13,28.04,28.75,28.75,28.75,695,28.75
2012-07-18,28.75,30.12,30.12,30.12,510,30.12
2012-07-23,30.12,31.5,31.5,31.5,510,31.5
2012-08-03,31.5,33.9,33.9,33.9,695,33.9
2012-08-10,33.9,35,34.85,34.85,598,34.85
2012-08-23,34.85,34.56,34.56,34.56,578,34.56
2012-08-30,34.56,32.68,32.68,32.68,153,32.68
2012-09-14,32.68,37.9,36.64,37.64,1329,37.64
2012-09-26,37.64,33.7,33.7,33.7,580,33.7
2012-09-28,33.7,33.82,33.66,33.66,731,33.66
2012-10-04,33.66,33.79,33.79,33.79,150,33.79
2012-10-05,33.79,33.64,33.64,33.64,190,33.64
2012-10-10,33.64,33.85,33.85,33.85,176,33.85
2012-10-18,33.85,35.48,35.3,35.48,733,35.48
2012-10-24,35.48,33.1,33.1,33.1,301,33.1
2012-10-25,33.1,32.73,32.73,32.73,90,32.73
2013-01-03,32.73,36.4,36.04,36.4,1057,36.4
2013-01-08,36.4,35.79,35.79,35.79,238,35.79
2013-01-28,35.79,40.16,40.16,40.16,190,40.16
2013-02-27,40.16,41.13,41.13,41.13,98,41.13
2013-02-28,41.13,41.12,41.12,41.12,485,41.12
2013-03-04,41.12,40.24,40.24,40.24,247,40.24
2013-03-11,40.24,42,42,42,732,42
2013-03-14,42,41.88,41.88,41.88,94,41.88
2013-03-19,41.88,39.54,39.54,39.54,756,39.54
2013-03-22,39.54,39.64,39.64,39.64,125,39.64
2013-04-05,39.64,38.42,38.42,38.42,520,38.42
2013-04-10,38.42,40.03,40.03,40.03,1276,40.03
2013-04-15,40.03,38.9,38.9,38.9,640,38.9
2013-04-17,38.9,37.5,37.5,37.5,532,37.5
2013-04-22,37.5,39.07,39.07,39.07,532,39.07
2013-04-23,39.07,39.81,39.81,39.81,640,39.81
2013-05-09,39.81,43.4,43.4,43.4,317,43.4
2013-05-24,43.4,42.85,42.82,42.82,810,42.82
2013-05-30,42.82,42.28,42.28,42.28,473,42.28
2013-06-03,42.28,42.3,41.65,41.75,637,41.75
2013-06-18,41.75,44.08,44.08,44.08,1061,44.08
2013-06-20,44.08,42.3,42.3,42.3,470,42.3
2013-06-26,42.3,41.55,41.55,41.55,480,41.55
2013-07-02,41.55,43.21,43.21,43.21,950,43.21
